Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	ms	Ticks	deg/s	no_units	deg/s	no_units	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
-0.5652173913043478	2781.0	-5.739130434782608	2305.0	2.75	2000.0	-0.06146926536731634	41.0	42.0	0.5697151424287856	9.765625	380.0	-0.06296851574212893	32768.0	26.982159406418212	-16.0	0.48780487804878053	490111.87744140625	1.6059986E7	-10.609756097560977	876.0	-26.707317073170735	348.0	4010.25641025641	2737.0	-344.0	0.8229665071770335	-1140.0	-8.985645933014354	146.19119890832485	0.0	3756.0	-2.727272727272727	
-0.5434782608695652	2768.0	-5.5978260869565215	2303.0	2.793478260869565	1996.0	-0.06146926536731634	41.0	40.0	0.5652173913043478	19.53125	377.0	-0.05997001499250375	32768.0	26.982159406418212	-67.0	2.0426829268292686	490121.64306640625	1.6060306E7	-13.140243902439025	982.0	-29.939024390243905	431.0	4002.930402930403	2732.0	-352.0	0.8421052631578947	-1100.0	-8.813397129186603	97.58091473362514	4784912.0	3684.0	-2.631578947368421	
-0.5217391304347826	2761.0	-5.521739130434782	2301.0	2.869565217391304	1989.0	-0.05847076461769115	39.0	33.0	0.5592203898050975	29.296875	373.0	-0.04947526236881559	32768.0	26.982159406418212	-118.0	3.5975609756097566	490131.40869140625	1.6060626E7	-15.823170731707318	1111.0	-33.8719512195122	519.0	3986.813186813187	2721.0	-372.0	0.8899521531100478	-1052.0	-8.727272727272727	97.58091473362514	4784912.0	3648.0	-2.5167464114832536	
-0.5760869565217391	2766.0	-5.576086956521739	2306.0	3.0	1977.0	-0.05997001499250375	40.0	29.0	0.5622188905547226	39.0625	375.0	-0.043478260869565216	32768.0	26.982159406418212	-160.0	4.878048780487806	490141.17431640625	1.6060946E7	-18.932926829268293	1264.0	-38.53658536585366	621.0	4001.4652014652015	2731.0	-412.0	0.985645933014354	-1108.0	-8.736842105263158	97.58091473362514	4784912.0	3652.0	-2.650717703349282	
-0.6847826086956521	2761.0	-5.521739130434782	2316.0	3.0760869565217392	1970.0	-0.06596701649175413	44.0	34.0	0.56071964017991	48.828125	374.0	-0.050974512743628186	32768.0	26.982159406418212	-224.0	6.829268292682928	490150.93994140625	1.6061266E7	-21.890243902439025	1521.0	-46.3719512195122	718.0	3983.8827838827838	2719.0	-492.0	1.1770334928229664	-1152.0	-8.669856459330143	97.58091473362514	4784912.0	3624.0	-2.755980861244019	
-0.5108695652173912	2756.0	-5.467391304347826	2300.0	3.184782608695652	1960.0	-0.06596701649175413	44.0	34.0	0.56071964017991	58.59375	374.0	-0.050974512743628186	32768.0	26.982159406418212	-301.0	9.176829268292684	490160.70556640625	1.6061586E7	-24.695121951219516	1738.0	-52.987804878048784	810.0	4010.25641025641	2737.0	-524.0	1.2535885167464114	-1128.0	-8.497607655502392	97.58091473362514	4784912.0	3552.0	-2.6985645933014353	
-0.4782608695652174	2742.0	-5.315217391304348	2297.0	3.3369565217391304	1946.0	-0.06296851574212893	42.0	35.0	0.5577211394302848	68.359375	372.0	-0.05247376311844078	32768.0	26.982159406418212	-379.0	11.55487804878049	490170.47119140625	1.6061906E7	-28.750000000000004	1937.0	-59.054878048780495	943.0	3970.6959706959706	2710.0	-600.0	1.4354066985645932	-1056.0	-8.344497607655502	97.56785716190448	4786208.0	3488.0	-2.526315789473684	
