Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	deg/s	no_units	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
-1.0978260869565217	2820.0	2354.0	-6.163043478260869	2011.0	2.630434782608696	-2.0	0.0029985007496251873	46.0	0.5697151424287856	9.765625	380.0	-0.06896551724137931	26.982159406418212	32768.0	-3.5670731707317076	117.0	2394090.0	73061.82861328125	-672.0	0.030487804878048783	20.48780487804878	-1.0	4000.0	2730.0	0.6124401913875598	-256.0	-1292.0	-9.454545454545455	0.0	146.19119890832485	-3.090909090909091	3952.0	
-1.065217391304348	2802.0	2351.0	-5.967391304347826	2017.0	2.5652173913043477	-3.0	0.004497751124437781	36.0	0.5637181409295352	19.53125	376.0	-0.05397301349325337	26.982159406418212	32768.0	-2.439024390243903	80.0	2394410.0	73071.59423828125	-549.0	0.48780487804878053	16.73780487804878	-16.0	3983.8827838827838	2719.0	0.5837320574162679	-244.0	-1304.0	-9.425837320574162	4780960.0	97.62073263022727	-3.1196172248803826	3940.0	
-1.108695652173913	2821.0	2355.0	-6.173913043478261	2024.0	2.4891304347826084	-5.0	0.0074962518740629685	40.0	0.5667166416791604	29.296875	378.0	-0.05997001499250375	26.982159406418212	32768.0	-1.9207317073170733	63.0	2394730.0	73081.35986328125	-383.0	0.7926829268292683	11.676829268292684	-26.0	3970.6959706959706	2710.0	0.5454545454545454	-228.0	-1328.0	-9.492822966507177	4780960.0	97.62073263022727	-3.177033492822966	3968.0	
-1.141304347826087	2818.0	2358.0	-6.141304347826087	2019.0	2.543478260869565	-2.0	0.0029985007496251873	32.0	0.5562218890554722	39.0625	371.0	-0.047976011994003	26.982159406418212	32768.0	-1.0975609756097562	36.0	2395050.0	73091.12548828125	-167.0	0.9451219512195123	5.091463414634147	-31.0	3994.139194139194	2726.0	0.6124401913875598	-256.0	-1360.0	-9.454545454545455	4780960.0	97.62073263022727	-3.253588516746411	3952.0	
-1.141304347826087	2826.0	2358.0	-6.228260869565217	2014.0	2.5978260869565215	2.0	-0.0029985007496251873	46.0	0.5637181409295352	48.828125	376.0	-0.06896551724137931	26.982159406418212	32768.0	-0.9451219512195123	31.0	2395370.0	73100.89111328125	19.0	1.402439024390244	-0.5792682926829269	-46.0	4002.930402930403	2732.0	0.5837320574162679	-244.0	-1368.0	-9.55023923444976	4780960.0	97.62073263022727	-3.2727272727272725	3992.0	
-1.141304347826087	2836.0	2358.0	-6.33695652173913	2026.0	2.467391304347826	2.0	-0.0029985007496251873	46.0	0.5637181409295352	58.59375	376.0	-0.06896551724137931	26.982159406418212	32768.0	-1.1890243902439026	39.0	2395690.0	73110.65673828125	175.0	1.1890243902439026	-5.335365853658537	-39.0	3973.6263736263736	2712.0	0.5645933014354066	-236.0	-1372.0	-9.569377990430622	4780960.0	97.62073263022727	-3.2822966507177034	4000.0	
-1.065217391304348	2833.0	2351.0	-6.304347826086956	2026.0	2.467391304347826	0.0	0.0	46.0	0.5652173913043478	68.359375	377.0	-0.06896551724137931	26.982159406418212	32768.0	-0.8841463414634148	29.0	2396010.0	73120.42236328125	219.0	1.8597560975609757	-6.676829268292684	-61.0	4008.7912087912086	2736.0	0.4688995215311005	-196.0	-1352.0	-9.607655502392344	4782128.0	97.60896453098603	-3.2344497607655502	4016.0	
-0.8804347826086957	2833.0	2334.0	-6.304347826086956	2017.0	2.5652173913043477	0.0	0.0	46.0	0.5652173913043478	78.125	377.0	-0.06896551724137931	26.982159406418212	32768.0	-0.3353658536585366	11.0	2396330.0	73130.18798828125	199.0	2.2865853658536586	-6.067073170731708	-75.0	3998.5347985347985	2729.0	0.5933014354066986	-248.0	-1260.0	-9.626794258373206	4782128.0	97.60896453098603	-3.014354066985646	4024.0	
-0.7065217391304348	2830.0	2318.0	-6.271739130434782	2012.0	2.619565217391304	3.0	-0.004497751124437781	42.0	0.5712143928035982	87.890625	381.0	-0.06296851574212893	26.982159406418212	32768.0	0.48780487804878053	-16.0	2396650.0	73139.95361328125	82.0	2.439024390243903	-2.5000000000000004	-80.0	3973.6263736263736	2712.0	0.6794258373205742	-284.0	-1172.0	-9.559808612440191	4782128.0	97.60896453098603	-2.803827751196172	3996.0	
-0.6739130434782609	2819.0	2315.0	-6.1521739130434785	2003.0	2.717391304347826	0.0	0.0	40.0	0.5697151424287856	97.65625	380.0	-0.05997001499250375	26.982159406418212	32768.0	1.0365853658536586	-34.0	2396970.0	73149.71923828125	-63.0	2.2865853658536586	1.9207317073170733	-75.0	3983.8827838827838	2719.0	0.7368421052631579	-308.0	-1136.0	-9.521531100478468	4782128.0	97.60896453098603	-2.7177033492822966	3980.0	
-0.6847826086956521	2828.0	2316.0	-6.25	2007.0	2.6739130434782608	0.0	0.0	47.0	0.5667166416791604	107.421875	378.0	-0.0704647676161919	26.982159406418212	32768.0	0.853658536585366	-28.0	2397290.0	73159.48486328125	-205.0	1.981707317073171	6.250000000000001	-65.0	3979.4871794871797	2716.0	0.708133971291866	-296.0	-1148.0	-9.55023923444976	4782128.0	97.60896453098603	-2.7464114832535884	3992.0	
-0.7065217391304348	2833.0	2318.0	-6.304347826086956	2007.0	2.6739130434782608	-7.0	0.010494752623688156	43.0	0.5637181409295352	117.1875	376.0	-0.06446776611694152	26.982159406418212	32768.0	1.1890243902439026	-39.0	2397610.0	73169.25048828125	-306.0	1.6158536585365855	9.329268292682928	-53.0	4007.326007326007	2735.0	0.6794258373205742	-284.0	-1176.0	-9.531100478468899	4782960.0	97.60058180449272	-2.813397129186603	3984.0	
-0.7826086956521738	2839.0	2325.0	-6.369565217391304	2004.0	2.7065217391304346	-3.0	0.004497751124437781	40.0	0.568215892053973	126.953125	379.0	-0.05997001499250375	26.982159406418212	32768.0	1.1585365853658538	-38.0	2397930.0	73179.01611328125	-374.0	1.128048780487805	11.402439024390246	-37.0	4011.7216117216117	2738.0	0.6602870813397129	-276.0	-1200.0	-9.636363636363637	4782960.0	97.60058180449272	-2.8708133971291865	4028.0	
-0.8804347826086957	2835.0	2334.0	-6.326086956521739	2013.0	2.608695652173913	-1.0	0.0014992503748125937	35.0	0.568215892053973	136.71875	379.0	-0.05247376311844078	26.982159406418212	32768.0	1.3719512195121952	-45.0	2398250.0	73188.78173828125	-390.0	0.7317073170731708	11.890243902439025	-24.0	3979.4871794871797	2716.0	0.6411483253588517	-268.0	-1212.0	-9.674641148325358	4782960.0	97.60058180449272	-2.8995215311004783	4044.0	
-0.9130434782608695	2843.0	2337.0	-6.413043478260869	2020.0	2.532608695652174	1.0	-0.0014992503748125937	39.0	0.5667166416791604	146.484375	378.0	-0.05847076461769115	26.982159406418212	32768.0	1.2804878048780488	-42.0	2398570.0	73198.54736328125	-349.0	0.7317073170731708	10.640243902439025	-24.0	3992.673992673993	2725.0	0.6028708133971291	-252.0	-1264.0	-9.626794258373206	4782960.0	97.60058180449272	-3.0239234449760763	4024.0	
-1.076086956521739	2836.0	2352.0	-6.33695652173913	2017.0	2.5652173913043477	-2.0	0.0029985007496251873	42.0	0.5772113943028485	156.25	385.0	-0.06296851574212893	26.982159406418212	32768.0	0.6402439024390244	-21.0	2398890.0	73208.31298828125	-245.0	-0.1829268292682927	7.469512195121952	6.0	3978.021978021978	2715.0	0.5933014354066986	-248.0	-1324.0	-9.645933014354066	4782960.0	97.60058180449272	-3.1674641148325358	4032.0	
-1.065217391304348	2841.0	2351.0	-6.391304347826087	2016.0	2.5760869565217392	-3.0	0.004497751124437781	38.0	0.5697151424287856	166.015625	380.0	-0.05697151424287856	26.982159406418212	32768.0	0.8231707317073171	-27.0	2399210.0	73218.07861328125	-70.0	-0.1829268292682927	2.1341463414634148	6.0	3995.6043956043954	2727.0	0.6507177033492823	-272.0	-1316.0	-9.732057416267942	4783424.0	97.59590683293723	-3.1483253588516744	4068.0	
-1.0326086956521738	2823.0	2348.0	-6.195652173913043	2015.0	2.5869565217391304	-2.0	0.0029985007496251873	46.0	0.5727136431784108	175.78125	382.0	-0.06896551724137931	26.982159406418212	32768.0	0.3353658536585366	-11.0	2399530.0	73227.84423828125	72.0	0.3658536585365854	-2.1951219512195124	-12.0	3976.5567765567766	2714.0	0.6220095693779905	-260.0	-1284.0	-9.703349282296651	4783424.0	97.59590683293723	-3.0717703349282295	4056.0	
-0.858695652173913	2835.0	2332.0	-6.326086956521739	2019.0	2.543478260869565	-4.0	0.005997001499250375	35.0	0.5727136431784108	185.546875	382.0	-0.05247376311844078	26.982159406418212	32768.0	0.5792682926829269	-19.0	2399850.0	73237.60986328125	159.0	-0.12195121951219513	-4.847560975609756	4.0	3963.3699633699634	2705.0	0.5837320574162679	-244.0	-1208.0	-9.636363636363637	4783424.0	97.59590683293723	-2.889952153110048	4028.0	
-0.7391304347826086	2834.0	2321.0	-6.315217391304348	2025.0	2.4782608695652173	-2.0	0.0029985007496251873	36.0	0.568215892053973	195.3125	379.0	-0.05397301349325337	26.982159406418212	32768.0	0.7621951219512196	-25.0	2400170.0	73247.37548828125	189.0	-0.5182926829268293	-5.76219512195122	17.0	3973.6263736263736	2712.0	0.507177033492823	-212.0	-1192.0	-9.645933014354066	4783424.0	97.59590683293723	-2.851674641148325	4032.0	
