Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
1897.0	-11.021739130434783	3267.0	3.869565217391304	2090.0	1.7717391304347825	-0.0704647676161919	47.0	432.0	0.5892053973013494	9.765625	393.0	-0.6476761619190404	32768.0	26.982159406418212	3242.0	-98.84146341463415	6283543.0	191758.51440429688	71.0	0.5487804878048781	-2.164634146341464	-18.0	2720.0	3985.3479853479853	24.0	-0.057416267942583726	2.0095693779904304	-5800.0	0.0	146.19119890832485	-13.875598086124402	-840.0	
1914.0	-10.826086956521738	3249.0	3.684782608695652	2081.0	1.8695652173913042	-0.07646176911544228	51.0	427.0	0.5937031484257871	19.53125	396.0	-0.6401799100449775	32768.0	26.982159406418212	3471.0	-105.82317073170732	6283863.0	191768.28002929688	277.0	0.06097560975609757	-8.445121951219512	-2.0	2738.0	4011.7216117216117	0.0	0.0	1.8277511961722488	-5768.0	4775440.0	97.67634963595067	-13.799043062200957	-764.0	
1931.0	-10.771739130434783	3244.0	3.5	2078.0	1.9021739130434783	-0.07196401799100449	48.0	418.0	0.6056971514242878	29.296875	404.0	-0.6266866566716641	32768.0	26.982159406418212	3622.0	-110.42682926829269	6284183.0	191778.04565429688	310.0	-1.3719512195121952	-9.451219512195124	45.0	2744.0	4020.5128205128203	68.0	-0.16267942583732056	1.645933014354067	-5700.0	4775440.0	97.67634963595067	-13.636363636363637	-688.0	
1954.0	-10.717391304347826	3239.0	3.25	2101.0	1.6521739130434783	-0.06746626686656672	45.0	415.0	0.6041979010494752	39.0625	403.0	-0.6221889055472264	32768.0	26.982159406418212	3827.0	-116.67682926829269	6284503.0	191787.81127929688	256.0	-1.0670731707317074	-7.8048780487804885	35.0	2721.0	3986.813186813187	120.0	-0.28708133971291866	1.3492822966507176	-5676.0	4775440.0	97.67634963595067	-13.578947368421051	-564.0	
1984.0	-10.33695652173913	3204.0	2.9239130434782608	2082.0	1.858695652173913	-0.07196401799100449	48.0	410.0	0.608695652173913	48.828125	406.0	-0.6146926536731634	32768.0	26.982159406418212	4011.0	-122.28658536585367	6284823.0	191797.57690429688	136.0	-2.103658536585366	-4.146341463414634	69.0	2722.0	3988.2783882783883	20.0	-0.04784688995215311	0.9473684210526315	-5516.0	4775440.0	97.67634963595067	-13.196172248803828	-396.0	
2014.0	-9.989130434782608	3172.0	2.5978260869565215	2088.0	1.7934782608695652	-0.06896551724137931	46.0	408.0	0.6011994002998501	58.59375	401.0	-0.6116941529235382	32768.0	26.982159406418212	4144.0	-126.34146341463416	6285143.0	191807.34252929688	-59.0	-1.3109756097560976	1.7987804878048783	43.0	2713.0	3975.091575091575	36.0	-0.08612440191387559	0.5550239234449761	-5360.0	4775440.0	97.67634963595067	-12.822966507177034	-232.0	
2043.0	-9.630434782608695	3139.0	2.282608695652174	2098.0	1.684782608695652	-0.06896551724137931	46.0	408.0	0.6011994002998501	68.359375	401.0	-0.6116941529235382	32768.0	26.982159406418212	4310.0	-131.40243902439025	6285463.0	191817.10815429688	-261.0	0.12195121951219513	7.957317073170732	-4.0	2714.0	3976.5567765567766	84.0	-0.20095693779904306	0.20095693779904306	-5232.0	4776736.0	97.66329163442396	-12.516746411483252	-84.0	
2058.0	-9.380434782608695	3116.0	2.119565217391304	2100.0	1.6630434782608696	-0.06746626686656672	45.0	399.0	0.6176911544227885	78.125	412.0	-0.5982008995502248	32768.0	26.982159406418212	4464.0	-136.09756097560978	6285783.0	191826.87377929688	-363.0	2.164634146341464	11.067073170731708	-71.0	2705.0	3963.3699633699634	64.0	-0.15311004784688995	-0.03827751196172249	-5168.0	4776736.0	97.66329163442396	-12.363636363636363	16.0	
2072.0	-9.380434782608695	3116.0	1.967391304347826	2094.0	1.7282608695652173	-0.06746626686656672	45.0	399.0	0.6176911544227885	87.890625	412.0	-0.5982008995502248	32768.0	26.982159406418212	4596.0	-140.1219512195122	6286103.0	191836.63940429688	-336.0	4.634146341463415	10.24390243902439	-152.0	2702.0	3958.9743589743593	36.0	-0.08612440191387559	-0.15311004784688995	-5068.0	4776736.0	97.66329163442396	-12.124401913875598	64.0	
2069.0	-9.25	3104.0	2.0	2091.0	1.7608695652173914	-0.07196401799100449	48.0	387.0	0.6281859070464767	97.65625	419.0	-0.5802098950524738	32768.0	26.982159406418212	4721.0	-143.9329268292683	6286423.0	191846.40502929688	-258.0	6.036585365853659	7.865853658536586	-198.0	2722.0	3988.2783882783883	40.0	-0.09569377990430622	-0.19138755980861244	-5040.0	4776736.0	97.66329163442396	-12.057416267942584	80.0	
2073.0	-9.0	3081.0	1.9565217391304348	2071.0	1.9782608695652173	-0.07196401799100449	48.0	375.0	0.6371814092953523	107.421875	425.0	-0.5622188905547226	32768.0	26.982159406418212	4868.0	-148.41463414634148	6286743.0	191856.17065429688	-185.0	7.134146341463415	5.640243902439025	-234.0	2733.0	4004.3956043956046	40.0	-0.09569377990430622	-0.21052631578947367	-4988.0	4776736.0	97.66329163442396	-11.933014354066986	88.0	
2080.0	-8.706521739130434	3054.0	1.8804347826086956	2068.0	2.010869565217391	-0.0704647676161919	47.0	377.0	0.6371814092953523	117.1875	425.0	-0.5652173913043478	32768.0	26.982159406418212	5018.0	-152.9878048780488	6287063.0	191865.93627929688	-98.0	7.500000000000001	2.987804878048781	-246.0	2711.0	3972.161172161172	-56.0	0.1339712918660287	-0.2296650717703349	-4824.0	4777760.0	97.65297424270841	-11.54066985645933	96.0	
2095.0	-8.597826086956522	3044.0	1.717391304347826	2044.0	2.2717391304347827	-0.06596701649175413	44.0	369.0	0.6401799100449775	126.953125	427.0	-0.553223388305847	32768.0	26.982159406418212	5123.0	-156.18902439024393	6287383.0	191875.70190429688	-76.0	7.957317073170732	2.3170731707317076	-261.0	2734.0	4005.860805860806	-132.0	0.3157894736842105	-0.4019138755980861	-4740.0	4777760.0	97.65297424270841	-11.339712918660286	168.0	
2103.0	-8.782608695652174	3061.0	1.6304347826086956	2045.0	2.260869565217391	-0.06446776611694152	43.0	359.0	0.6476761619190404	136.71875	432.0	-0.5382308845577212	32768.0	26.982159406418212	5243.0	-159.84756097560978	6287703.0	191885.46752929688	-32.0	8.78048780487805	0.9756097560975611	-288.0	2705.0	3963.3699633699634	-172.0	0.41148325358851673	-0.4880382775119617	-4804.0	4777760.0	97.65297424270841	-11.492822966507177	204.0	
2098.0	-8.728260869565217	3056.0	1.684782608695652	2035.0	2.369565217391304	-0.07496251874062969	50.0	352.0	0.6446776611694153	146.484375	430.0	-0.527736131934033	32768.0	26.982159406418212	5319.0	-162.16463414634148	6288023.0	191895.23315429688	114.0	8.536585365853659	-3.4756097560975614	-280.0	2719.0	3983.8827838827838	-220.0	0.5263157894736842	-0.5167464114832536	-4852.0	4777760.0	97.65297424270841	-11.607655502392344	216.0	
2101.0	-8.217391304347826	3009.0	1.6521739130434783	2045.0	2.260869565217391	-0.07346326836581708	49.0	343.0	0.656671664167916	156.25	438.0	-0.5142428785607196	32768.0	26.982159406418212	5365.0	-163.56707317073173	6288343.0	191904.99877929688	180.0	6.4939024390243905	-5.487804878048781	-213.0	2714.0	3976.5567765567766	-200.0	0.4784688995215311	-0.5358851674641149	-4684.0	4777760.0	97.65297424270841	-11.205741626794257	224.0	
2123.0	-7.869565217391304	2977.0	1.4130434782608696	2057.0	2.130434782608696	-0.06596701649175413	44.0	337.0	0.6611694152923538	166.015625	441.0	-0.505247376311844	32768.0	26.982159406418212	5453.0	-166.25000000000003	6288663.0	191914.76440429688	-28.0	6.676829268292684	0.853658536585366	-219.0	2717.0	3980.952380952381	-120.0	0.28708133971291866	-0.7942583732057416	-4416.0	4778480.0	97.64571984864078	-10.564593301435407	332.0	
2142.0	-7.673913043478261	2959.0	1.2065217391304348	2070.0	1.9891304347826086	-0.0704647676161919	47.0	328.0	0.6581709145427286	175.78125	439.0	-0.4917541229385307	32768.0	26.982159406418212	5587.0	-170.33536585365854	6288983.0	191924.53002929688	-379.0	8.170731707317074	11.55487804878049	-268.0	2726.0	3994.139194139194	-24.0	0.057416267942583726	-1.1578947368421053	-4312.0	4778480.0	97.64571984864078	-10.31578947368421	484.0	
