Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
2793.0	-1.2608695652173914	2369.0	-5.869565217391304	3.9782608695652173	1887.0	129.0	-0.1934032983508246	40.0	0.5112443778110944	9.765625	341.0	-0.05997001499250375	32768.0	26.982159406418212	93.0	-2.8353658536585367	3559387.0	108623.87084960938	528.0	1.402439024390244	-46.0	-16.097560975609756	2715.0	3978.021978021978	2.076555023923445	-868.0	-9.167464114832535	-1380.0	0.0	146.19119890832485	3832.0	-3.3014354066985643	
2806.0	-1.2391304347826086	2367.0	-6.010869565217392	4.0	1885.0	133.0	-0.19940029985007496	39.0	0.5157421289355322	19.53125	344.0	-0.05847076461769115	32768.0	26.982159406418212	62.0	-1.8902439024390245	3559707.0	108633.63647460938	359.0	1.0060975609756098	-33.0	-10.945121951219512	2722.0	3988.2783882783883	2.124401913875598	-888.0	-9.272727272727272	-1404.0	4768400.0	97.74728301729131	3876.0	-3.3588516746411483	
2811.0	-1.4891304347826086	2390.0	-6.065217391304348	4.043478260869565	1881.0	132.0	-0.19790104947526235	32.0	0.5097451274362819	29.296875	340.0	-0.047976011994003	32768.0	26.982159406418212	26.0	-0.7926829268292683	3560027.0	108643.40209960938	260.0	1.0365853658536586	-34.0	-7.926829268292684	2728.0	3997.069597069597	2.0574162679425836	-860.0	-9.330143540669857	-1500.0	4768400.0	97.74728301729131	3900.0	-3.588516746411483	
2807.0	-1.7717391304347825	2416.0	-6.021739130434782	3.858695652173913	1898.0	130.0	-0.19490254872563717	36.0	0.5247376311844077	39.0625	350.0	-0.05397301349325337	32768.0	26.982159406418212	32.0	-0.9756097560975611	3560347.0	108653.16772460938	258.0	0.39634146341463417	-13.0	-7.865853658536586	2711.0	3972.161172161172	1.971291866028708	-824.0	-9.291866028708133	-1652.0	4768400.0	97.74728301729131	3884.0	-3.952153110047847	
2800.0	-2.010869565217391	2438.0	-5.945652173913043	3.793478260869565	1904.0	137.0	-0.20539730134932532	34.0	0.512743628185907	48.828125	342.0	-0.050974512743628186	32768.0	26.982159406418212	57.0	-1.7378048780487807	3560667.0	108662.93334960938	290.0	0.4573170731707317	-15.0	-8.841463414634147	2719.0	3983.8827838827838	1.8373205741626792	-768.0	-9.282296650717702	-1748.0	4768400.0	97.74728301729131	3880.0	-4.181818181818182	
2812.0	-2.0760869565217392	2444.0	-6.076086956521739	3.717391304347826	1911.0	125.0	-0.1874062968515742	38.0	0.5157421289355322	58.59375	344.0	-0.05697151424287856	32768.0	26.982159406418212	79.0	-2.408536585365854	3560987.0	108672.69897460938	360.0	1.0670731707317074	-35.0	-10.975609756097562	2698.0	3953.1135531135533	1.84688995215311	-772.0	-9.291866028708133	-1788.0	4768400.0	97.74728301729131	3884.0	-4.277511961722488	
2793.0	-1.9565217391304348	2433.0	-5.869565217391304	3.8804347826086953	1896.0	125.0	-0.1874062968515742	38.0	0.5157421289355322	68.359375	344.0	-0.05697151424287856	32768.0	26.982159406418212	80.0	-2.439024390243903	3561307.0	108682.46459960938	402.0	1.2195121951219514	-40.0	-12.256097560975611	2716.0	3979.4871794871797	1.9425837320574162	-812.0	-9.23444976076555	-1700.0	4769232.0	97.73889989089338	3860.0	-4.0669856459330145	
2798.0	-1.4130434782608696	2383.0	-5.923913043478261	3.8260869565217392	1901.0	136.0	-0.20389805097451275	34.0	0.5157421289355322	78.125	344.0	-0.050974512743628186	32768.0	26.982159406418212	73.0	-2.2256097560975614	3561627.0	108692.23022460938	383.0	1.5853658536585367	-52.0	-11.676829268292684	2708.0	3967.765567765568	2.0669856459330145	-864.0	-9.119617224880383	-1556.0	4769232.0	97.73889989089338	3812.0	-3.7224880382775116	
2789.0	-1.391304347826087	2381.0	-5.826086956521739	3.9130434782608696	1893.0	136.0	-0.20389805097451275	34.0	0.5157421289355322	87.890625	344.0	-0.050974512743628186	32768.0	26.982159406418212	50.0	-1.5243902439024393	3561947.0	108701.99584960938	296.0	1.5548780487804879	-51.0	-9.02439024390244	2698.0	3953.1135531135533	2.124401913875598	-888.0	-8.995215311004785	-1480.0	4769232.0	97.73889989089338	3760.0	-3.54066985645933	
