Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2629.0	0.9782608695652174	2163.0	-4.08695652173913	1370.0	9.597826086956522	-0.36881559220389803	246.0	122.0	0.39430284857571213	9.765625	-0.1829085457271364	263.0	32768.0	26.982159406418212	45.0	-1.3719512195121952	160196.0	4888.7939453125	-1158.0	-4.878048780487806	160.0	35.30487804878049	2714.0	3976.5567765567766	-3300.0	7.894736842105263	-360.0	-7.167464114832535	0.0	146.19119890832485	2996.0	-0.8612440191387559	
2614.0	0.9130434782608695	2169.0	-3.9239130434782608	1353.0	9.782608695652174	-0.3658170914542728	244.0	123.0	0.39730134932533734	19.53125	-0.18440779610194902	265.0	32768.0	26.982159406418212	-80.0	2.439024390243903	160516.0	4898.5595703125	-1057.0	-9.26829268292683	304.0	32.22560975609756	2724.0	3991.2087912087914	-3396.0	8.124401913875598	-392.0	-6.918660287081339	4761376.0	97.81805691577674	2892.0	-0.937799043062201	
2604.0	0.41304347826086957	2215.0	-3.8152173913043477	1376.0	9.532608695652174	-0.3583208395802099	239.0	119.0	0.3958020989505247	29.296875	-0.17841079460269865	264.0	32768.0	26.982159406418212	-261.0	7.957317073170732	160836.0	4908.3251953125	-822.0	-14.176829268292684	465.0	25.0609756097561	2706.0	3964.835164835165	-3304.0	7.904306220095694	-620.0	-6.746411483253588	4761376.0	97.81805691577674	2820.0	-1.4832535885167464	
2620.0	-0.20652173913043478	2272.0	-3.9891304347826084	1396.0	9.315217391304348	-0.3658170914542728	244.0	118.0	0.39730134932533734	39.0625	-0.17691154422788605	265.0	32768.0	26.982159406418212	-319.0	9.725609756097562	161156.0	4918.0908203125	-526.0	-19.725609756097562	647.0	16.03658536585366	2708.0	3967.765567765568	-3228.0	7.722488038277512	-932.0	-6.880382775119617	4761376.0	97.81805691577674	2876.0	-2.229665071770335	
2652.0	-0.8695652173913043	2333.0	-4.33695652173913	1450.0	8.728260869565217	-0.36881559220389803	246.0	116.0	0.4077961019490255	48.828125	-0.17391304347826086	272.0	32768.0	26.982159406418212	-279.0	8.506097560975611	161476.0	4927.8564453125	-208.0	-21.646341463414636	710.0	6.341463414634147	2707.0	3966.3003663003665	-2948.0	7.052631578947368	-1208.0	-7.358851674641148	4761376.0	97.81805691577674	3076.0	-2.889952153110048	
2683.0	-1.108695652173913	2355.0	-4.673913043478261	1532.0	7.83695652173913	-0.3568215892053973	238.0	117.0	0.3958020989505247	58.59375	-0.17541229385307347	264.0	32768.0	26.982159406418212	-284.0	8.658536585365855	161796.0	4937.6220703125	-200.0	-22.682926829268293	744.0	6.097560975609757	2710.0	3970.6959706959706	-2532.0	6.057416267942584	-1308.0	-7.789473684210526	4761376.0	97.81805691577674	3256.0	-3.129186602870813	
2673.0	-1.0217391304347825	2347.0	-4.565217391304348	1595.0	7.1521739130434785	-0.3568215892053973	238.0	117.0	0.3958020989505247	68.359375	-0.17541229385307347	264.0	32768.0	26.982159406418212	-275.0	8.384146341463415	162116.0	4947.3876953125	-463.0	-24.542682926829272	805.0	14.115853658536587	2715.0	3978.021978021978	-2228.0	5.330143540669856	-1240.0	-7.85645933014354	4762528.0	97.8064492331379	3284.0	-2.9665071770334928	
