Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
3.7717391304347827	2411.0	-1.717391304347826	1906.0	7.782608695652174	1537.0	329.0	-0.4932533733133433	233.0	0.06446776611694152	9.765625	43.0	-0.3493253373313343	26.982159406418212	32768.0	13.140243902439025	-431.0	2854093.0	87100.00610351562	154.0	-10.487804878048781	344.0	-4.695121951219512	2695.0	3948.7179487179487	-2544.0	6.086124401913875	932.0	-4.3349282296650715	0.0	146.19119890832485	1812.0	2.229665071770335	
3.7717391304347827	2427.0	-1.891304347826087	1906.0	7.945652173913043	1522.0	324.0	-0.48575712143928035	237.0	0.07346326836581708	19.53125	49.0	-0.35532233883058467	26.982159406418212	32768.0	14.664634146341465	-481.0	2854413.0	87109.77172851562	-19.0	-9.329268292682928	306.0	0.5792682926829269	2716.0	3979.4871794871797	-2596.0	6.2105263157894735	916.0	-4.650717703349282	4765456.0	97.77694658223274	1944.0	2.1913875598086126	
3.3804347826086953	2441.0	-2.043478260869565	1942.0	8.206521739130434	1498.0	324.0	-0.48575712143928035	227.0	0.06896551724137931	29.296875	46.0	-0.3403298350824588	26.982159406418212	32768.0	15.27439024390244	-501.0	2854733.0	87119.53735351562	-41.0	-9.05487804878049	297.0	1.2500000000000002	2684.0	3932.6007326007325	-2720.0	6.507177033492822	740.0	-4.746411483253588	4765456.0	97.77694658223274	1984.0	1.770334928229665	
3.1304347826086953	2431.0	-1.934782608695652	1965.0	8.5	1471.0	323.0	-0.48425787106446777	224.0	0.06896551724137931	39.0625	46.0	-0.335832083958021	26.982159406418212	32768.0	15.426829268292684	-506.0	2855053.0	87129.30297851562	121.0	-9.298780487804878	305.0	-3.689024390243903	2695.0	3948.7179487179487	-2860.0	6.842105263157895	612.0	-4.688995215311005	4765456.0	97.77694658223274	1960.0	1.464114832535885	
3.0652173913043477	2436.0	-1.9891304347826086	1971.0	8.771739130434783	1446.0	328.0	-0.4917541229385307	229.0	0.06446776611694152	48.828125	43.0	-0.34332833583208394	26.982159406418212	32768.0	15.03048780487805	-493.0	2855373.0	87139.06860351562	283.0	-9.26829268292683	304.0	-8.628048780487806	2705.0	3963.3699633699634	-2968.0	7.100478468899521	640.0	-4.842105263157895	4765456.0	97.77694658223274	2024.0	1.5311004784688995	
3.0	2459.0	-2.2391304347826084	1977.0	8.826086956521738	1441.0	328.0	-0.4917541229385307	229.0	0.06446776611694152	58.59375	43.0	-0.34332833583208394	26.982159406418212	32768.0	13.475609756097562	-442.0	2855693.0	87148.83422851562	299.0	-9.725609756097562	319.0	-9.115853658536587	2694.0	3947.252747252747	-3004.0	7.186602870813397	588.0	-4.976076555023924	4765456.0	97.77694658223274	2080.0	1.4066985645933014	
2.782608695652174	2456.0	-2.2065217391304346	1997.0	8.706521739130434	1452.0	325.0	-0.4872563718140929	229.0	0.06896551724137931	68.359375	46.0	-0.34332833583208394	26.982159406418212	32768.0	12.713414634146343	-417.0	2856013.0	87158.59985351562	387.0	-8.506097560975611	279.0	-11.79878048780488	2710.0	3970.6959706959706	-2932.0	7.0143540669856455	484.0	-5.119617224880383	4766880.0	97.76259840695042	2140.0	1.1578947368421053	
2.6956521739130435	2485.0	-2.5217391304347827	2005.0	8.445652173913043	1476.0	325.0	-0.4872563718140929	229.0	0.06896551724137931	78.125	46.0	-0.34332833583208394	26.982159406418212	32768.0	9.878048780487806	-324.0	2856333.0	87168.36547851562	444.0	-7.439024390243903	244.0	-13.536585365853659	2711.0	3972.161172161172	-2808.0	6.717703349282297	428.0	-5.349282296650718	4766880.0	97.76259840695042	2236.0	1.0239234449760766	
2.75	2494.0	-2.619565217391304	2000.0	8.206521739130434	1498.0	320.0	-0.47976011994003	228.0	0.06296851574212893	87.890625	42.0	-0.34182908545727136	26.982159406418212	32768.0	10.152439024390246	-333.0	2856653.0	87178.13110351562	510.0	-4.176829268292684	137.0	-15.54878048780488	2699.0	3954.578754578755	-2728.0	6.526315789473684	484.0	-5.464114832535885	4766880.0	97.76259840695042	2284.0	1.1578947368421053	
2.9565217391304346	2513.0	-2.8260869565217392	1981.0	8.271739130434783	1492.0	320.0	-0.47976011994003	228.0	0.0704647676161919	97.65625	47.0	-0.34182908545727136	26.982159406418212	32768.0	8.689024390243903	-285.0	2856973.0	87187.89672851562	528.0	-1.6158536585365855	53.0	-16.097560975609756	2705.0	3963.3699633699634	-2780.0	6.650717703349282	552.0	-5.569377990430622	4766880.0	97.76259840695042	2328.0	1.3205741626794258	
2.891304347826087	2519.0	-2.891304347826087	1987.0	8.402173913043478	1480.0	319.0	-0.47826086956521735	221.0	0.06596701649175413	107.421875	44.0	-0.3313343328335832	26.982159406418212	32768.0	7.5304878048780495	-247.0	2857293.0	87197.66235351562	538.0	1.0060975609756098	-33.0	-16.402439024390244	2695.0	3948.7179487179487	-2804.0	6.708133971291866	544.0	-5.69377990430622	4766880.0	97.76259840695042	2380.0	1.3014354066985645	
2.7717391304347827	2516.0	-2.858695652173913	1998.0	8.42391304347826	1478.0	319.0	-0.47826086956521735	219.0	0.06746626686656672	117.1875	45.0	-0.328335832083958	26.982159406418212	32768.0	6.859756097560976	-225.0	2857613.0	87207.42797851562	637.0	3.26219512195122	-107.0	-19.420731707317074	2704.0	3961.904761904762	-2820.0	6.746411483253588	496.0	-5.751196172248804	4767952.0	97.75179701846753	2404.0	1.186602870813397	
2.6630434782608696	2493.0	-2.608695652173913	2008.0	8.51086956521739	1470.0	319.0	-0.47826086956521735	223.0	0.06296851574212893	126.953125	42.0	-0.33433283358320837	26.982159406418212	32768.0	6.219512195121951	-204.0	2857933.0	87217.19360351562	786.0	4.451219512195123	-146.0	-23.963414634146343	2694.0	3947.252747252747	-2832.0	6.77511961722488	452.0	-5.588516746411483	4767952.0	97.75179701846753	2336.0	1.0813397129186602	
2.793478260869565	2512.0	-2.8152173913043477	1996.0	8.532608695652174	1468.0	323.0	-0.48425787106446777	220.0	0.05847076461769115	136.71875	39.0	-0.3298350824587706	26.982159406418212	32768.0	5.060975609756098	-166.0	2858253.0	87226.95922851562	856.0	5.27439024390244	-173.0	-26.09756097560976	2696.0	3950.1831501831502	-2880.0	6.889952153110047	468.0	-5.645933014354067	4767952.0	97.75179701846753	2360.0	1.1196172248803826	
2.967391304347826	2518.0	-2.880434782608696	1980.0	8.51086956521739	1470.0	323.0	-0.48425787106446777	221.0	0.06296851574212893	146.484375	42.0	-0.3313343328335832	26.982159406418212	32768.0	4.603658536585367	-151.0	2858573.0	87236.72485351562	926.0	6.128048780487806	-201.0	-28.231707317073173	2692.0	3944.3223443223446	-2872.0	6.8708133971291865	532.0	-5.70334928229665	4767952.0	97.75179701846753	2384.0	1.2727272727272727	
3.4130434782608696	2528.0	-2.9891304347826084	1939.0	8.315217391304348	1488.0	326.0	-0.48875562218890556	224.0	0.05847076461769115	156.25	39.0	-0.335832083958021	26.982159406418212	32768.0	5.640243902439025	-185.0	2858893.0	87246.49047851562	942.0	6.646341463414635	-218.0	-28.719512195121954	2685.0	3934.065934065934	-2804.0	6.708133971291866	692.0	-5.789473684210526	4767952.0	97.75179701846753	2420.0	1.6555023923444976	
3.5978260869565215	2536.0	-3.0760869565217392	1922.0	8.369565217391305	1483.0	319.0	-0.47826086956521735	223.0	0.046476761619190406	166.015625	31.0	-0.33433283358320837	26.982159406418212	32768.0	7.0426829268292686	-231.0	2859213.0	87256.25610351562	907.0	7.8048780487804885	-256.0	-27.652439024390247	2693.0	3945.787545787546	-2796.0	6.688995215311005	828.0	-5.904306220095694	4768560.0	97.74567087571711	2468.0	1.9808612440191387	
3.6630434782608696	2536.0	-3.0760869565217392	1916.0	8.576086956521738	1464.0	308.0	-0.46176911544227883	221.0	0.04497751124437781	175.78125	30.0	-0.3313343328335832	26.982159406418212	32768.0	7.713414634146342	-253.0	2859533.0	87266.02172851562	865.0	7.347560975609757	-241.0	-26.371951219512198	2710.0	3970.6959706959706	-2876.0	6.880382775119617	844.0	-5.818181818181818	4768560.0	97.74567087571711	2432.0	2.0191387559808613	
3.5760869565217392	2533.0	-3.043478260869565	1924.0	8.66304347826087	1456.0	314.0	-0.4707646176911544	226.0	0.04047976011994003	185.546875	27.0	-0.33883058470764615	26.982159406418212	32768.0	8.01829268292683	-263.0	2859853.0	87275.78735351562	810.0	7.286585365853659	-239.0	-24.695121951219516	2677.0	3922.3443223443223	-2924.0	6.9952153110047846	820.0	-5.7990430622009566	4768560.0	97.74567087571711	2424.0	1.9617224880382775	
3.5217391304347827	2525.0	-2.9565217391304346	1929.0	8.717391304347826	1451.0	312.0	-0.4677661169415292	225.0	0.04047976011994003	195.3125	27.0	-0.3373313343328336	26.982159406418212	32768.0	8.201219512195122	-269.0	2860173.0	87285.55297851562	801.0	7.225609756097562	-237.0	-24.420731707317074	2693.0	3945.787545787546	-2944.0	7.043062200956937	816.0	-5.818181818181818	4768560.0	97.74567087571711	2432.0	1.9521531100478469	
3.4456521739130435	2520.0	-2.902173913043478	1936.0	8.91304347826087	1433.0	315.0	-0.472263868065967	225.0	0.037481259370314844	205.078125	25.0	-0.3373313343328336	26.982159406418212	32768.0	9.146341463414634	-300.0	2860493.0	87295.31860351562	807.0	6.097560975609757	-200.0	-24.603658536585368	2705.0	3963.3699633699634	-3032.0	7.253588516746412	764.0	-5.837320574162679	4768560.0	97.74567087571711	2440.0	1.8277511961722488	
3.5652173913043477	2541.0	-3.1304347826086953	1925.0	8.98913043478261	1426.0	320.0	-0.47976011994003	223.0	0.029985007496251874	214.84375	20.0	-0.33433283358320837	26.982159406418212	32768.0	10.000000000000002	-328.0	2860813.0	87305.08422851562	842.0	5.701219512195123	-187.0	-25.670731707317074	2691.0	3942.857142857143	-3068.0	7.339712918660287	824.0	-6.0	4769040.0	97.74083445637248	2508.0	1.971291866028708	
3.543478260869565	2529.0	-3.0	1927.0	9.130434782608695	1413.0	309.0	-0.46326836581709147	227.0	0.03298350824587706	224.609375	22.0	-0.3403298350824588	26.982159406418212	32768.0	11.158536585365855	-366.0	2861133.0	87314.84985351562	824.0	5.152439024390245	-169.0	-25.121951219512198	2707.0	3966.3003663003665	-3116.0	7.454545454545454	820.0	-6.00956937799043	4769040.0	97.74083445637248	2512.0	1.9617224880382775	
3.608695652173913	2529.0	-3.0	1921.0	9.17391304347826	1409.0	313.0	-0.46926536731634183	223.0	0.034482758620689655	234.375	23.0	-0.33433283358320837	26.982159406418212	32768.0	11.859756097560977	-389.0	2861453.0	87324.61547851562	765.0	4.5426829268292686	-149.0	-23.323170731707318	2712.0	3973.6263736263736	-3112.0	7.444976076555023	860.0	-5.84688995215311	4769040.0	97.74083445637248	2444.0	2.0574162679425836	
3.7391304347826084	2526.0	-2.967391304347826	1909.0	9.16304347826087	1410.0	316.0	-0.4737631184407796	224.0	0.026986506746626684	244.140625	18.0	-0.335832083958021	26.982159406418212	32768.0	12.347560975609758	-405.0	2861773.0	87334.38110351562	621.0	3.414634146341464	-112.0	-18.932926829268293	2696.0	3950.1831501831502	-3128.0	7.483253588516746	924.0	-5.837320574162679	4769040.0	97.74083445637248	2440.0	2.2105263157894735	
3.782608695652174	2534.0	-3.0543478260869565	1905.0	9.206521739130434	1406.0	319.0	-0.47826086956521735	222.0	0.0239880059970015	253.90625	16.0	-0.3328335832083958	26.982159406418212	32768.0	12.621951219512196	-414.0	2862093.0	87344.14672851562	434.0	2.530487804878049	-83.0	-13.231707317073171	2700.0	3956.0439560439563	-3156.0	7.55023923444976	928.0	-5.875598086124402	4769040.0	97.74083445637248	2456.0	2.2200956937799043	
3.6304347826086953	2520.0	-2.902173913043478	1919.0	9.217391304347826	1405.0	308.0	-0.46176911544227883	225.0	0.03298350824587706	263.671875	22.0	-0.3373313343328336	26.982159406418212	32768.0	13.109756097560977	-430.0	2862413.0	87353.91235351562	212.0	1.402439024390244	-46.0	-6.463414634146342	2693.0	3945.787545787546	-3164.0	7.569377990430621	888.0	-5.779904306220096	4769552.0	97.7356756179631	2416.0	2.124401913875598	
3.5978260869565215	2518.0	-2.880434782608696	1922.0	9.130434782608695	1413.0	315.0	-0.472263868065967	223.0	0.014992503748125937	273.4375	10.0	-0.33433283358320837	26.982159406418212	32768.0	12.439024390243903	-408.0	2862733.0	87363.67797851562	-14.0	-0.06097560975609757	2.0	0.426829268292683	2697.0	3951.6483516483518	-3128.0	7.483253588516746	852.0	-5.712918660287081	4769552.0	97.7356756179631	2388.0	2.0382775119617222	
3.4891304347826084	2501.0	-2.6956521739130435	1932.0	9.119565217391305	1414.0	312.0	-0.4677661169415292	222.0	0.026986506746626684	283.203125	18.0	-0.3328335832083958	26.982159406418212	32768.0	12.01219512195122	-394.0	2863053.0	87373.44360351562	-245.0	-1.1585365853658538	38.0	7.469512195121952	2692.0	3944.3223443223446	-3092.0	7.3971291866028706	824.0	-5.684210526315789	4769552.0	97.7356756179631	2376.0	1.971291866028708	
3.184782608695652	2506.0	-2.75	1960.0	9.108695652173912	1415.0	310.0	-0.46476761619190404	224.0	0.022488755622188904	292.96875	15.0	-0.335832083958021	26.982159406418212	32768.0	10.853658536585368	-356.0	2863373.0	87383.20922851562	-468.0	-2.8963414634146343	95.0	14.26829268292683	2687.0	3936.9963369963366	-3108.0	7.435406698564593	712.0	-5.617224880382775	4769552.0	97.7356756179631	2348.0	1.7033492822966507	
3.0543478260869565	2491.0	-2.5869565217391304	1972.0	9.01086956521739	1424.0	315.0	-0.472263868065967	215.0	0.017991004497751123	302.734375	12.0	-0.32233883058470764	26.982159406418212	32768.0	9.542682926829269	-313.0	2863693.0	87392.97485351562	-638.0	-3.963414634146342	130.0	19.451219512195124	2703.0	3960.4395604395604	-3072.0	7.349282296650717	608.0	-5.454545454545454	4769552.0	97.7356756179631	2280.0	1.4545454545454546	
3.369565217391304	2501.0	-2.6956521739130435	1943.0	8.858695652173912	1438.0	319.0	-0.47826086956521735	220.0	0.02848575712143928	312.5	19.0	-0.3298350824587706	26.982159406418212	32768.0	8.231707317073171	-270.0	2864013.0	87402.74047851562	-811.0	-3.932926829268293	129.0	24.725609756097562	2715.0	3978.021978021978	-2992.0	7.157894736842105	716.0	-5.454545454545454	4769600.0	97.73519197733279	2280.0	1.7129186602870812	
