Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
-3.0652173913043477	1652.0	2535.0	6.532608695652174	1569.0	7.434782608695652	42.0	-0.06296851574212893	0.24737631184407796	606.0	9.765625	165.0	-0.9085457271364318	26.982159406418212	32768.0	-1934.0	58.963414634146346	5291479.0	161483.12377929688	2595.0	21.34146341463415	-700.0	-79.1158536585366	2699.0	3954.578754578755	-2412.0	5.770334928229665	-2176.0	4.976076555023924	146.19119890832485	0.0	-2080.0	-5.205741626794258	
-2.8152173913043477	1648.0	2512.0	6.576086956521739	1574.0	7.380434782608695	38.0	-0.05697151424287856	0.239880059970015	601.0	19.53125	160.0	-0.9010494752623688	26.982159406418212	32768.0	-1913.0	58.32317073170732	5291799.0	161492.88940429688	2490.0	18.262195121951223	-599.0	-75.91463414634147	2699.0	3954.578754578755	-2380.0	5.69377990430622	-2064.0	5.033492822966507	97.78645833307031	4764512.0	-2104.0	-4.937799043062201	
-2.6739130434782608	1647.0	2499.0	6.58695652173913	1581.0	7.304347826086956	37.0	-0.05547226386806597	0.23238380809595202	599.0	29.296875	155.0	-0.8980509745127436	26.982159406418212	32768.0	-1881.0	57.34756097560976	5292119.0	161502.65502929688	2391.0	15.853658536585368	-520.0	-72.89634146341464	2692.0	3944.3223443223446	-2348.0	5.617224880382775	-2008.0	5.023923444976076	97.78645833307031	4764512.0	-2100.0	-4.803827751196172	
-2.5869565217391304	1648.0	2491.0	6.576086956521739	1589.0	7.217391304347826	30.0	-0.04497751124437781	0.22788605697151423	594.0	39.0625	152.0	-0.8905547226386806	26.982159406418212	32768.0	-1844.0	56.21951219512196	5292439.0	161512.42065429688	2309.0	13.871951219512196	-455.0	-70.39634146341464	2693.0	3945.787545787546	-2344.0	5.607655502392344	-1968.0	5.0047846889952154	97.78645833307031	4764512.0	-2092.0	-4.708133971291866	
-2.543478260869565	1646.0	2487.0	6.5978260869565215	1579.0	7.326086956521739	27.0	-0.04047976011994003	0.21739130434782608	596.0	48.828125	145.0	-0.8935532233883058	26.982159406418212	32768.0	-1811.0	55.213414634146346	5292759.0	161522.18627929688	2242.0	13.567073170731708	-445.0	-68.35365853658537	2707.0	3966.3003663003665	-2356.0	5.636363636363636	-1896.0	4.92822966507177	97.78645833307031	4764512.0	-2060.0	-4.535885167464115	
-2.3369565217391304	1657.0	2468.0	6.478260869565217	1579.0	7.326086956521739	38.0	-0.05697151424287856	0.2128935532233883	599.0	58.59375	142.0	-0.8980509745127436	26.982159406418212	32768.0	-1767.0	53.8719512195122	5293079.0	161531.95190429688	2163.0	13.78048780487805	-452.0	-65.94512195121952	2689.0	3939.92673992674	-2364.0	5.655502392344498	-1840.0	4.92822966507177	97.78645833307031	4764512.0	-2060.0	-4.401913875598086	
-2.2391304347826084	1646.0	2459.0	6.5978260869565215	1570.0	7.423913043478261	38.0	-0.05697151424287856	0.2128935532233883	599.0	68.359375	142.0	-0.8980509745127436	26.982159406418212	32768.0	-1726.0	52.6219512195122	5293399.0	161541.71752929688	2042.0	14.695121951219514	-482.0	-62.25609756097562	2701.0	3957.509157509158	-2420.0	5.789473684210526	-1812.0	4.985645933014354	97.77452834546897	4765696.0	-2084.0	-4.3349282296650715	
