Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
1382.0	-12.206521739130434	9.467391304347826	3376.0	1634.0	6.728260869565217	149.0	-0.22338830584707645	434.0	0.5472263868065966	9.765625	365.0	-0.6506746626686657	32768.0	26.982159406418212	4750.0	-144.81707317073173	8058178.0	245916.07666015625	-50.457317073170735	-2290.0	1655.0	69.81707317073172	2714.0	3976.5567765567766	5.033492822966507	-2104.0	-6276.0	8.30622009569378	146.19119890832485	0.0	-3472.0	-15.014354066985645	
1383.0	-12.641304347826086	9.456521739130434	3416.0	1616.0	6.923913043478261	139.0	-0.2083958020989505	423.0	0.553223388305847	19.53125	369.0	-0.6341829085457271	32768.0	26.982159406418212	5196.0	-158.41463414634148	8058498.0	245925.84228515625	-53.38414634146342	-1960.0	1751.0	59.75609756097562	2692.0	3944.3223443223446	5.301435406698564	-2216.0	-6448.0	8.31578947368421	97.80451462388226	4762720.0	-3476.0	-15.425837320574162	
1391.0	-12.75	9.369565217391305	3426.0	1602.0	7.076086956521739	131.0	-0.19640179910044978	412.0	0.568215892053973	29.296875	379.0	-0.6176911544227885	32768.0	26.982159406418212	5637.0	-171.859756097561	8058818.0	245935.60791015625	-57.28658536585366	-1806.0	1879.0	55.060975609756106	2689.0	3939.92673992674	5.483253588516746	-2292.0	-6536.0	8.191387559808613	97.80451462388226	4762720.0	-3424.0	-15.636363636363635	
1401.0	-12.945652173913043	9.26086956521739	3444.0	1580.0	7.315217391304348	142.0	-0.2128935532233883	405.0	0.5787106446776612	39.0625	386.0	-0.6071964017991004	32768.0	26.982159406418212	6123.0	-186.6768292682927	8059138.0	245945.37353515625	-61.79878048780488	-1872.0	2027.0	57.07317073170732	2691.0	3942.857142857143	5.751196172248804	-2404.0	-6584.0	8.057416267942584	97.80451462388226	4762720.0	-3368.0	-15.751196172248804	
1415.0	-13.108695652173912	9.108695652173912	3459.0	1597.0	7.130434782608695	135.0	-0.20239880059970014	400.0	0.5802098950524738	48.828125	387.0	-0.5997001499250375	32768.0	26.982159406418212	6626.0	-202.01219512195124	8059458.0	245955.13916015625	-65.82317073170732	-2053.0	2159.0	62.591463414634156	2698.0	3953.1135531135533	5.483253588516746	-2292.0	-6636.0	7.885167464114832	97.80451462388226	4762720.0	-3296.0	-15.875598086124402	
1439.0	-13.195652173913043	8.847826086956522	3467.0	1625.0	6.826086956521739	131.0	-0.19640179910044978	382.0	0.5982008995502248	58.59375	399.0	-0.5727136431784108	32768.0	26.982159406418212	7148.0	-217.9268292682927	8059778.0	245964.90478515625	-69.32926829268294	-2343.0	2274.0	71.4329268292683	2712.0	3973.6263736263736	5.157894736842105	-2156.0	-6768.0	7.5311004784688995	97.80451462388226	4762720.0	-3148.0	-16.19138755980861	
1463.0	-14.097826086956522	8.58695652173913	3550.0	1660.0	6.445652173913043	131.0	-0.19640179910044978	382.0	0.5982008995502248	68.359375	399.0	-0.5727136431784108	32768.0	26.982159406418212	7673.0	-233.93292682926833	8060098.0	245974.67041015625	-70.48780487804879	-2610.0	2312.0	79.57317073170732	2691.0	3942.857142857143	4.794258373205741	-2004.0	-7080.0	7.253588516746412	97.79468038012268	4763696.0	-3032.0	-16.9377990430622	
1470.0	-14.804347826086957	8.51086956521739	3615.0	1707.0	5.934782608695652	121.0	-0.18140929535232383	379.0	0.6221889055472264	78.125	415.0	-0.568215892053973	32768.0	26.982159406418212	8179.0	-249.359756097561	8060418.0	245984.43603515625	-70.3658536585366	-2668.0	2308.0	81.34146341463415	2701.0	3957.509157509158	4.267942583732057	-1784.0	-7472.0	7.148325358851674	97.79468038012268	4763696.0	-2988.0	-17.875598086124402	
1479.0	-15.184782608695652	8.41304347826087	3650.0	1737.0	5.608695652173913	121.0	-0.18140929535232383	379.0	0.6221889055472264	87.890625	415.0	-0.568215892053973	32768.0	26.982159406418212	8657.0	-263.9329268292683	8060738.0	245994.20166015625	-71.18902439024392	-2480.0	2335.0	75.60975609756099	2709.0	3969.2307692307695	3.875598086124402	-1620.0	-7676.0	7.071770334928229	97.79468038012268	4763696.0	-2956.0	-18.363636363636363	
1497.0	-15.630434782608695	8.217391304347826	3691.0	1778.0	5.163043478260869	127.0	-0.19040479760119938	340.0	0.6251874062968515	97.65625	417.0	-0.5097451274362819	32768.0	26.982159406418212	9116.0	-277.9268292682927	8061058.0	246003.96728515625	-72.34756097560977	-2177.0	2373.0	66.3719512195122	2692.0	3944.3223443223446	3.511961722488038	-1468.0	-7792.0	6.803827751196172	97.79468038012268	4763696.0	-2844.0	-18.641148325358852	
1527.0	-15.315217391304348	7.891304347826087	3662.0	1765.0	5.304347826086956	119.0	-0.17841079460269865	325.0	0.6341829085457271	107.421875	423.0	-0.4872563718140929	32768.0	26.982159406418212	9512.0	-290.0	8061378.0	246013.73291015625	-73.07926829268294	-1991.0	2397.0	60.70121951219513	2704.0	3961.904761904762	3.751196172248804	-1568.0	-7768.0	6.583732057416268	97.79468038012268	4763696.0	-2752.0	-18.583732057416267	
1544.0	-15.369565217391305	7.706521739130435	3667.0	1770.0	5.25	116.0	-0.17391304347826086	310.0	0.6446776611694153	117.1875	430.0	-0.46476761619190404	32768.0	26.982159406418212	9935.0	-302.8963414634147	8061698.0	246023.49853515625	-71.67682926829269	-1849.0	2351.0	56.3719512195122	2683.0	3931.135531135531	3.6555023923444976	-1528.0	-7732.0	6.354066985645932	97.7822667102119	4764928.0	-2656.0	-18.497607655502392	
