Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2551.0	1.315217391304348	2132.0	-3.2391304347826084	3.891304347826087	1895.0	33.0	-0.04947526236881559	-30.0	0.17391304347826086	9.765625	0.04497751124437781	116.0	26.982159406418212	32768.0	3195.0	-97.40853658536587	1.5274174E7	466130.79833984375	-24.237804878048784	-3271.0	795.0	99.72560975609757	2696.0	3950.1831501831502	2.114832535885167	-884.0	-6.086124401913875	-288.0	0.0	146.19119890832485	-0.6889952153110047	2544.0	
2575.0	2.2282608695652173	2048.0	-3.5	3.7391304347826084	1909.0	32.0	-0.047976011994003	-34.0	0.1664167916041979	19.53125	0.050974512743628186	111.0	26.982159406418212	32768.0	3137.0	-95.64024390243904	1.5274494E7	466140.56396484375	-19.634146341463417	-2659.0	644.0	81.06707317073172	2701.0	3957.509157509158	1.9234449760765548	-804.0	-6.373205741626794	120.0	4756752.0	97.86464933171023	0.28708133971291866	2664.0	
2608.0	2.5543478260869565	2018.0	-3.858695652173913	3.5978260869565215	1922.0	27.0	-0.04047976011994003	-40.0	0.16041979010494753	29.296875	0.05997001499250375	107.0	26.982159406418212	32768.0	3019.0	-92.04268292682927	1.5274814E7	466150.32958984375	-16.189024390243905	-1999.0	531.0	60.94512195121952	2717.0	3980.952380952381	1.6650717703349283	-696.0	-6.851674641148325	320.0	4756752.0	97.86464933171023	0.7655502392344498	2864.0	
2680.0	3.4891304347826084	1932.0	-4.641304347826087	3.043478260869565	1973.0	27.0	-0.04047976011994003	-38.0	0.14992503748125938	39.0625	0.05697151424287856	100.0	26.982159406418212	32768.0	2729.0	-83.20121951219512	1.5275134E7	466160.09521484375	-9.664634146341465	-1072.0	317.0	32.6829268292683	2694.0	3947.252747252747	1.1004784688995215	-460.0	-7.712918660287081	748.0	4756752.0	97.86464933171023	1.7894736842105263	3224.0	
2778.0	4.369565217391305	1851.0	-5.706521739130435	3.152173913043478	1963.0	30.0	-0.04497751124437781	-37.0	0.1409295352323838	48.828125	0.05547226386806597	94.0	26.982159406418212	32768.0	2338.0	-71.28048780487805	1.5275454E7	466169.86083984375	-2.3170731707317076	-158.0	76.0	4.817073170731708	2699.0	3954.578754578755	1.215311004784689	-508.0	-8.909090909090908	1136.0	4756752.0	97.86464933171023	2.7177033492822966	3724.0	
2799.0	4.33695652173913	1854.0	-5.934782608695652	3.793478260869565	1904.0	29.0	-0.043478260869565216	-32.0	0.1409295352323838	58.59375	0.047976011994003	94.0	26.982159406418212	32768.0	1966.0	-59.93902439024391	1.5275774E7	466179.62646484375	1.6463414634146343	530.0	-54.0	-16.158536585365855	2688.0	3938.4615384615386	1.9425837320574162	-812.0	-9.263157894736842	1128.0	4756752.0	97.86464933171023	2.6985645933014353	3872.0	
2768.0	3.6739130434782608	1915.0	-5.5978260869565215	4.369565217391305	1851.0	29.0	-0.043478260869565216	-31.0	0.13493253373313344	68.359375	0.046476761619190406	90.0	26.982159406418212	32768.0	1650.0	-50.304878048780495	1.5276094E7	466189.39208984375	3.9024390243902443	1053.0	-128.0	-32.10365853658537	2697.0	3951.6483516483518	2.5454545454545454	-1064.0	-8.77511961722488	784.0	4758016.0	97.85191292220865	1.875598086124402	3668.0	
2735.0	2.5760869565217392	2016.0	-5.239130434782608	4.989130434782608	1794.0	29.0	-0.043478260869565216	-31.0	0.13493253373313344	78.125	0.046476761619190406	90.0	26.982159406418212	32768.0	1427.0	-43.50609756097561	1.5276414E7	466199.15771484375	5.000000000000001	1478.0	-164.0	-45.0609756097561	2681.0	3928.205128205128	3.3014354066985643	-1380.0	-8.31578947368421	284.0	4758016.0	97.85191292220865	0.6794258373205742	3476.0	
2707.0	1.5652173913043477	2109.0	-4.934782608695652	5.434782608695652	1753.0	27.0	-0.04047976011994003	-29.0	0.12143928035982009	87.890625	0.043478260869565216	81.0	26.982159406418212	32768.0	1292.0	-39.390243902439025	1.5276734E7	466208.92333984375	4.146341463414634	1822.0	-136.0	-55.54878048780488	2682.0	3929.6703296703295	3.751196172248804	-1568.0	-8.0	-172.0	4758016.0	97.85191292220865	-0.41148325358851673	3344.0	
2657.0	1.1304347826086956	2149.0	-4.391304347826087	5.760869565217392	1723.0	27.0	-0.04047976011994003	-29.0	0.12143928035982009	97.65625	0.043478260869565216	81.0	26.982159406418212	32768.0	1129.0	-34.420731707317074	1.5277054E7	466218.68896484375	4.969512195121951	2009.0	-163.0	-61.25000000000001	2700.0	3956.0439560439563	4.009569377990431	-1676.0	-7.349282296650717	-340.0	4758016.0	97.85191292220865	-0.8133971291866028	3072.0	
2611.0	1.467391304347826	2118.0	-3.891304347826087	5.793478260869565	1720.0	33.0	-0.04947526236881559	-30.0	0.12293853073463268	107.421875	0.04497751124437781	82.0	26.982159406418212	32768.0	950.0	-28.963414634146343	1.5277374E7	466228.45458984375	6.036585365853659	1899.0	-198.0	-57.896341463414636	2713.0	3975.091575091575	4.038277511961723	-1688.0	-7.033492822966507	-268.0	4758016.0	97.85191292220865	-0.6411483253588517	2940.0	
2577.0	2.1739130434782608	2053.0	-3.5217391304347827	5.456521739130435	1751.0	24.0	-0.035982008995502246	-34.0	0.12293853073463268	117.1875	0.050974512743628186	82.0	26.982159406418212	32768.0	826.0	-25.182926829268293	1.5277694E7	466238.22021484375	7.835365853658537	1416.0	-257.0	-43.170731707317074	2686.0	3935.5311355311355	3.789473684210526	-1584.0	-6.545454545454545	72.0	4758448.0	97.84755998495226	0.17224880382775118	2736.0	
2527.0	2.8152173913043477	1994.0	-2.9782608695652173	5.163043478260869	1778.0	23.0	-0.034482758620689655	-28.0	0.1199400299850075	126.953125	0.041979010494752625	80.0	26.982159406418212	32768.0	745.0	-22.713414634146343	1.5278014E7	466247.98583984375	9.05487804878049	688.0	-297.0	-20.975609756097562	2679.0	3925.274725274725	3.4258373205741623	-1432.0	-5.904306220095694	408.0	4758448.0	97.84755998495226	0.9760765550239234	2468.0	
2493.0	3.152173913043478	1963.0	-2.608695652173913	4.771739130434782	1814.0	23.0	-0.034482758620689655	-29.0	0.11244377811094453	136.71875	0.043478260869565216	75.0	26.982159406418212	32768.0	689.0	-21.00609756097561	1.5278334E7	466257.75146484375	11.036585365853659	-32.0	-362.0	0.9756097560975611	2674.0	3917.948717948718	3.0239234449760763	-1264.0	-5.368421052631579	604.0	4758448.0	97.84755998495226	1.444976076555024	2244.0	
2477.0	2.9565217391304346	1981.0	-2.4347826086956523	4.456521739130435	1843.0	26.0	-0.038980509745127435	-28.0	0.11544227886056971	146.484375	0.041979010494752625	77.0	26.982159406418212	32768.0	746.0	-22.743902439024392	1.5278654E7	466267.51708984375	12.408536585365855	-525.0	-407.0	16.00609756097561	2696.0	3950.1831501831502	2.6698564593301435	-1116.0	-5.167464114832535	560.0	4758448.0	97.84755998495226	1.339712918660287	2160.0	
2489.0	2.6739130434782608	2007.0	-2.5652173913043477	4.282608695652174	1859.0	26.0	-0.038980509745127435	-27.0	0.10644677661169415	156.25	0.04047976011994003	71.0	26.982159406418212	32768.0	753.0	-22.957317073170735	1.5278974E7	466277.28271484375	15.884146341463417	-720.0	-521.0	21.951219512195124	2697.0	3951.6483516483518	2.430622009569378	-1016.0	-5.38755980861244	408.0	4758448.0	97.84755998495226	0.9760765550239234	2252.0	
2488.0	2.391304347826087	2033.0	-2.5543478260869565	4.25	1862.0	27.0	-0.04047976011994003	-27.0	0.10944527736131934	166.015625	0.04047976011994003	73.0	26.982159406418212	32768.0	710.0	-21.646341463414636	1.5279294E7	466287.04833984375	21.128048780487806	-716.0	-693.0	21.82926829268293	2692.0	3944.3223443223446	2.4114832535885165	-1008.0	-5.38755980861244	284.0	4759344.0	97.83853169147328	0.6794258373205742	2252.0	
