Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2253.0	3.869565217391304	1897.0	0.0	10.565217391304348	1281.0	176.0	-0.2638680659670165	92.0	0.1664167916041979	9.765625	111.0	-0.13793103448275862	32768.0	26.982159406418212	-79.0	2.408536585365854	7037708.0	214773.8037109375	-0.39634146341463417	-17.0	13.0	0.5182926829268293	2790.0	4087.9120879120874	8.91866028708134	-3728.0	-2.5071770334928227	996.0	0.0	146.19119890832485	2.3827751196172247	1048.0	
2251.0	3.8804347826086953	1896.0	0.021739130434782608	10.532608695652174	1284.0	173.0	-0.2593703148425787	79.0	0.1664167916041979	19.53125	111.0	-0.1184407796101949	32768.0	26.982159406418212	-117.0	3.5670731707317076	7038028.0	214783.5693359375	0.24390243902439027	-55.0	-8.0	1.676829268292683	2776.0	4067.399267399267	8.985645933014354	-3756.0	-2.5071770334928227	1024.0	4749424.0	97.93848936498316	2.449760765550239	1048.0	
2250.0	3.9456521739130435	1890.0	0.03260869565217391	10.565217391304348	1281.0	168.0	-0.2518740629685157	83.0	0.16941529235382308	29.296875	113.0	-0.12443778110944527	32768.0	26.982159406418212	-100.0	3.0487804878048785	7038348.0	214793.3349609375	0.3658536585365854	-43.0	-12.0	1.3109756097560976	2774.0	4064.468864468864	9.023923444976075	-3772.0	-2.4593301435406696	1032.0	4749424.0	97.93848936498316	2.4688995215311005	1028.0	
2249.0	3.9782608695652173	1887.0	0.043478260869565216	10.576086956521738	1280.0	173.0	-0.2593703148425787	85.0	0.17241379310344826	39.0625	115.0	-0.12743628185907047	32768.0	26.982159406418212	-70.0	2.1341463414634148	7038668.0	214803.1005859375	-0.15243902439024393	-28.0	5.0	0.853658536585366	2773.0	4063.003663003663	9.033492822966506	-3776.0	-2.430622009569378	1052.0	4749424.0	97.93848936498316	2.5167464114832536	1016.0	
2248.0	4.0	1885.0	0.05434782608695652	10.521739130434783	1285.0	175.0	-0.2623688155922039	88.0	0.1664167916041979	48.828125	111.0	-0.13193403298350825	32768.0	26.982159406418212	-66.0	2.0121951219512195	7038988.0	214812.8662109375	0.24390243902439027	-29.0	-8.0	0.8841463414634148	2769.0	4057.142857142857	9.043062200956937	-3780.0	-2.4210526315789473	1036.0	4749424.0	97.93848936498316	2.478468899521531	1012.0	
2249.0	3.9782608695652173	1887.0	0.043478260869565216	10.532608695652174	1284.0	171.0	-0.2563718140929535	83.0	0.1679160419790105	58.59375	112.0	-0.12443778110944527	32768.0	26.982159406418212	-51.0	1.5548780487804879	7039308.0	214822.6318359375	0.030487804878048783	-9.0	-1.0	0.27439024390243905	2760.0	4043.9560439560437	8.995215311004785	-3760.0	-2.4114832535885165	1048.0	4749424.0	97.93848936498316	2.5071770334928227	1008.0	
2247.0	3.967391304347826	1888.0	0.06521739130434782	10.467391304347826	1290.0	171.0	-0.2563718140929535	83.0	0.1679160419790105	68.359375	112.0	-0.12443778110944527	32768.0	26.982159406418212	-49.0	1.4939024390243905	7039628.0	214832.3974609375	0.1829268292682927	18.0	-6.0	-0.5487804878048781	2757.0	4039.5604395604396	8.995215311004785	-3760.0	-2.4114832535885165	1040.0	4750368.0	97.92897711545692	2.488038277511962	1008.0	
