Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	ms	Ticks	deg/s	no_units	no_units	deg/s	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	kPa	no_units	m/(s^2)	no_units	
3.4565217391304346	1816.0	4.75	1935.0	1954.0	3.25	133.0	-0.19940029985007496	478.0	-0.16941529235382308	9.765625	-113.0	-0.7166416791604198	32768.0	26.982159406418212	-221.76829268292684	7274.0	212417.41943359375	6960494.0	-126.89024390243904	8346.0	4162.0	-254.45121951219514	2769.0	4057.142857142857	1.4066985645933014	-588.0	664.0	2.7942583732057416	146.19119890832485	0.0	1.588516746411483	-1168.0	
4.141304347826087	1787.0	5.065217391304348	1872.0	1906.0	3.7717391304347827	133.0	-0.19940029985007496	484.0	-0.17691154422788605	19.53125	-118.0	-0.7256371814092953	32768.0	26.982159406418212	-202.37804878048783	6638.0	212427.18505859375	6960814.0	-132.07317073170734	8152.0	4332.0	-248.53658536585368	2784.0	4079.1208791208787	1.8851674641148324	-788.0	1040.0	3.1674641148325358	97.80096784359915	4763072.0	2.488038277511962	-1324.0	
4.619565217391305	1774.0	5.206521739130435	1828.0	1846.0	4.423913043478261	123.0	-0.18440779610194902	478.0	-0.1664167916041979	29.296875	-111.0	-0.7166416791604198	32768.0	26.982159406418212	-185.15243902439025	6073.0	212436.95068359375	6961134.0	-134.9390243902439	7377.0	4426.0	-224.90853658536588	2756.0	4038.095238095238	2.602870813397129	-1088.0	1276.0	3.4066985645933014	97.80096784359915	4763072.0	3.052631578947368	-1424.0	
4.826086956521739	1770.0	5.25	1809.0	1783.0	5.108695652173913	117.0	-0.17541229385307347	482.0	-0.1679160419790105	39.0625	-112.0	-0.7226386806596702	32768.0	26.982159406418212	-169.51219512195124	5560.0	212446.71630859375	6961454.0	-134.02439024390245	6298.0	4396.0	-192.01219512195124	2763.0	4048.3516483516482	3.3779904306220097	-1412.0	1400.0	3.416267942583732	97.80096784359915	4763072.0	3.3492822966507174	-1428.0	
4.717391304347826	1783.0	5.108695652173913	1819.0	1732.0	5.663043478260869	116.0	-0.17391304347826086	487.0	-0.17241379310344826	48.828125	-115.0	-0.7301349325337331	32768.0	26.982159406418212	-152.77439024390245	5011.0	212456.48193359375	6961774.0	-128.2317073170732	5136.0	4206.0	-156.58536585365854	2770.0	4058.6080586080584	3.9617224880382773	-1656.0	1352.0	3.1961722488038276	97.80096784359915	4763072.0	3.2344497607655502	-1336.0	
4.663043478260869	1808.0	4.83695652173913	1824.0	1696.0	6.054347826086956	116.0	-0.17391304347826086	487.0	-0.17241379310344826	58.59375	-115.0	-0.7301349325337331	32768.0	26.982159406418212	-136.40243902439025	4474.0	212466.24755859375	6962094.0	-117.8048780487805	4115.0	3864.0	-125.45731707317074	2765.0	4051.2820512820513	4.449760765550239	-1860.0	1300.0	2.9665071770334928	97.80096784359915	4763072.0	3.110047846889952	-1240.0	
4.5978260869565215	1816.0	4.75	1830.0	1680.0	6.228260869565217	114.0	-0.17091454272863568	489.0	-0.16941529235382308	68.359375	-113.0	-0.7331334332833583	32768.0	26.982159406418212	-120.70121951219514	3959.0	212476.01318359375	6962414.0	-104.02439024390245	3299.0	3412.0	-100.57926829268294	2774.0	4064.468864468864	4.679425837320574	-1956.0	1268.0	2.851674641148325	97.79177847850094	4763984.0	3.0334928229665072	-1192.0	
4.728260869565217	1820.0	4.706521739130435	1818.0	1643.0	6.630434782608695	114.0	-0.17091454272863568	489.0	-0.16941529235382308	78.125	-113.0	-0.7331334332833583	32768.0	26.982159406418212	-103.78048780487806	3404.0	212485.77880859375	6962734.0	-90.1219512195122	2731.0	2956.0	-83.26219512195122	2787.0	4083.5164835164833	5.052631578947368	-2112.0	1308.0	2.8708133971291865	97.79177847850094	4763984.0	3.129186602870813	-1200.0	
4.380434782608695	1814.0	4.771739130434782	1850.0	1566.0	7.467391304347826	106.0	-0.15892053973013492	499.0	-0.17391304347826086	87.890625	-116.0	-0.7481259370314842	32768.0	26.982159406418212	-85.03048780487805	2789.0	212495.54443359375	6963054.0	-73.90243902439025	2461.0	2424.0	-75.03048780487805	2759.0	4042.490842490842	6.038277511961723	-2524.0	1148.0	2.92822966507177	97.79177847850094	4763984.0	2.7464114832535884	-1224.0	
3.3478260869565215	1791.0	5.021739130434782	1945.0	1560.0	7.532608695652174	111.0	-0.1664167916041979	498.0	-0.1679160419790105	97.65625	-112.0	-0.7466266866566716	32768.0	26.982159406418212	-72.8658536585366	2390.0	212505.31005859375	6963374.0	-53.8109756097561	2161.0	1765.0	-65.88414634146342	2773.0	4063.003663003663	6.00956937799043	-2512.0	620.0	3.3588516746411483	97.79177847850094	4763984.0	1.4832535885167464	-1404.0	
2.5760869565217392	1757.0	5.391304347826087	2016.0	1565.0	7.478260869565217	106.0	-0.15892053973013492	501.0	-0.1619190404797601	107.421875	-108.0	-0.7511244377811094	32768.0	26.982159406418212	-63.810975609756106	2093.0	212515.07568359375	6963694.0	-36.920731707317074	2019.0	1211.0	-61.554878048780495	2765.0	4051.2820512820513	5.760765550239234	-2408.0	396.0	3.4449760765550237	97.79177847850094	4763984.0	0.9473684210526315	-1440.0	
2.608695652173913	1724.0	5.75	2013.0	1476.0	8.445652173913043	107.0	-0.16041979010494753	501.0	-0.15592203898050974	117.1875	-104.0	-0.7511244377811094	32768.0	26.982159406418212	-44.66463414634147	1465.0	212524.84130859375	6964014.0	-12.957317073170733	1519.0	425.0	-46.3109756097561	2772.0	4061.5384615384614	6.794258373205741	-2840.0	380.0	3.751196172248804	97.7842013046244	4764736.0	0.9090909090909091	-1568.0	
2.130434782608696	1644.0	6.619565217391304	2057.0	1532.0	7.83695652173913	102.0	-0.15292353823088456	502.0	-0.1649175412293853	126.953125	-110.0	-0.7526236881559221	32768.0	26.982159406418212	-10.823170731707318	355.0	212534.60693359375	6964334.0	2.1341463414634148	2367.0	-70.0	-72.16463414634147	2771.0	4060.07326007326	6.4784688995215305	-2708.0	124.0	4.851674641148326	97.7842013046244	4764736.0	0.2966507177033493	-2028.0	
2.5	1616.0	6.923913043478261	2023.0	1554.0	7.5978260869565215	109.0	-0.1634182908545727	501.0	-0.16041979010494753	136.71875	-107.0	-0.7511244377811094	32768.0	26.982159406418212	11.859756097560977	-389.0	212544.37255859375	6964654.0	-3.689024390243903	2474.0	121.0	-75.42682926829269	2757.0	4039.5604395604396	6.095693779904306	-2548.0	240.0	5.320574162679426	97.7842013046244	4764736.0	0.5741626794258373	-2224.0	
3.641304347826087	1595.0	7.1521739130434785	1918.0	1642.0	6.641304347826087	102.0	-0.15292353823088456	505.0	-0.15892053973013492	146.484375	-106.0	-0.7571214392803598	32768.0	26.982159406418212	19.420731707317074	-637.0	212554.13818359375	6964974.0	16.73780487804878	2270.0	-549.0	-69.20731707317074	2771.0	4060.07326007326	5.349282296650718	-2236.0	768.0	5.521531100478469	97.7842013046244	4764736.0	1.8373205741626792	-2308.0	
5.108695652173913	1517.0	8.0	1783.0	1731.0	5.673913043478261	97.0	-0.1454272863568216	502.0	-0.1664167916041979	156.25	-111.0	-0.7526236881559221	32768.0	26.982159406418212	19.32926829268293	-634.0	212563.90380859375	6965294.0	39.054878048780495	2141.0	-1281.0	-65.27439024390245	2781.0	4074.7252747252746	4.239234449760765	-1772.0	1464.0	6.287081339712919	97.7842013046244	4764736.0	3.5023923444976077	-2628.0	
6.293478260869565	1410.0	9.16304347826087	1674.0	1798.0	4.945652173913043	94.0	-0.1409295352323838	504.0	-0.16041979010494753	166.015625	-107.0	-0.7556221889055472	32768.0	26.982159406418212	20.213414634146343	-663.0	212573.66943359375	6965614.0	42.50000000000001	2021.0	-1394.0	-61.615853658536594	2762.0	4046.8864468864467	3.3014354066985643	-1380.0	2056.0	7.741626794258373	97.77823630933135	4765328.0	4.918660287081339	-3236.0	
6.858695652173913	1317.0	10.17391304347826	1622.0	1845.0	4.434782608695652	87.0	-0.13043478260869565	502.0	-0.17241379310344826	175.78125	-115.0	-0.7526236881559221	32768.0	26.982159406418212	12.957317073170733	-425.0	212583.43505859375	6965934.0	32.5609756097561	1797.0	-1068.0	-54.78658536585366	2774.0	4064.468864468864	2.574162679425837	-1076.0	2348.0	8.966507177033492	97.77823630933135	4765328.0	5.617224880382775	-3748.0	
7.0	1246.0	10.945652173913043	1609.0	1871.0	4.1521739130434785	88.0	-0.13193403298350825	498.0	-0.18140929535232383	185.546875	-121.0	-0.7466266866566716	32768.0	26.982159406418212	4.908536585365854	-161.0	212593.20068359375	6966254.0	31.676829268292686	1451.0	-1039.0	-44.237804878048784	2754.0	4035.164835164835	2.325358851674641	-972.0	2428.0	9.904306220095693	97.77823630933135	4765328.0	5.8086124401913874	-4140.0	
6.9021739130434785	1235.0	11.065217391304348	1618.0	1877.0	4.08695652173913	84.0	-0.12593703148425786	509.0	-0.1829085457271364	195.3125	-122.0	-0.7631184407796102	32768.0	26.982159406418212	4.51219512195122	-148.0	212602.96630859375	6966574.0	15.823170731707318	779.0	-519.0	-23.750000000000004	2767.0	4054.212454212454	2.15311004784689	-900.0	2380.0	9.990430622009569	97.77823630933135	4765328.0	5.69377990430622	-4176.0	
