Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
2582.0	11.66304347826087	1180.0	-3.5760869565217392	2157.0	1.0434782608695652	-0.004497751124437781	3.0	-33.0	0.3088455772113943	9.765625	0.04947526236881559	206.0	26.982159406418212	32768.0	661.0	-20.152439024390247	1.4533323E7	443521.8200683594	4994.0	6.890243902439025	-152.25609756097563	-226.0	2786.0	4082.0512820512818	668.0	-1.5980861244019138	-6.430622009569378	4624.0	146.19119890832485	0.0	2688.0	11.062200956937799	
2709.0	10.358695652173912	1300.0	-4.956521739130435	2181.0	0.7826086956521738	0.0014992503748125937	-1.0	-40.0	0.3088455772113943	19.53125	0.05997001499250375	206.0	26.982159406418212	32768.0	1081.0	-32.957317073170735	1.4533643E7	443531.5856933594	3570.0	-17.103658536585368	-108.84146341463416	561.0	2776.0	4067.399267399267	628.0	-1.5023923444976075	-8.057416267942584	3940.0	97.84755998495226	4758448.0	3368.0	9.425837320574162	
2845.0	10.130434782608695	1321.0	-6.434782608695652	2191.0	0.6739130434782609	0.0	0.0	-38.0	0.3043478260869565	29.296875	0.05697151424287856	203.0	26.982159406418212	32768.0	1614.0	-49.207317073170735	1.4533963E7	443541.3513183594	2557.0	-13.26219512195122	-77.95731707317074	435.0	2767.0	4054.212454212454	644.0	-1.5406698564593302	-9.770334928229664	3848.0	97.84755998495226	4758448.0	4084.0	9.205741626794259	
2875.0	10.054347826086957	1328.0	-6.760869565217391	2166.0	0.9456521739130435	-0.005997001499250375	4.0	-34.0	0.29535232383808097	39.0625	0.050974512743628186	197.0	26.982159406418212	32768.0	1605.0	-48.9329268292683	1.4534283E7	443551.1169433594	1662.0	6.371951219512196	-50.67073170731708	-209.0	2764.0	4049.8168498168498	420.0	-1.0047846889952152	-10.401913875598085	3732.0	97.84755998495226	4758448.0	4348.0	8.92822966507177	
2815.0	9.130434782608695	1413.0	-6.108695652173913	2085.0	1.826086956521739	-0.0014992503748125937	1.0	-37.0	0.2833583208395802	48.828125	0.05547226386806597	189.0	26.982159406418212	32768.0	777.0	-23.689024390243905	1.4534603E7	443560.8825683594	1089.0	26.250000000000004	-33.201219512195124	-861.0	2764.0	4049.8168498168498	72.0	-0.17224880382775118	-9.511961722488039	3240.0	97.84755998495226	4758448.0	3976.0	7.751196172248804	
2716.0	7.83695652173913	1532.0	-5.032608695652174	1990.0	2.858695652173913	-0.0029985007496251873	2.0	-36.0	0.28785607196401797	58.59375	0.05397301349325337	192.0	26.982159406418212	32768.0	629.0	-19.176829268292686	1.4534923E7	443570.6481933594	45.0	25.792682926829272	-1.3719512195121952	-846.0	2774.0	4064.468864468864	-308.0	0.7368421052631579	-8.44976076555024	2756.0	97.84755998495226	4758448.0	3532.0	6.5933014354066986	
2675.0	7.293478260869565	1582.0	-4.58695652173913	1979.0	2.9782608695652173	-0.0029985007496251873	2.0	-36.0	0.28785607196401797	68.359375	0.05397301349325337	192.0	26.982159406418212	32768.0	1013.0	-30.884146341463417	1.4535243E7	443580.4138183594	-772.0	12.225609756097562	23.53658536585366	-401.0	2759.0	4042.490842490842	-344.0	0.8229665071770335	-7.684210526315789	2548.0	97.83933778796252	4759264.0	3212.0	6.095693779904306	
2667.0	7.282608695652174	1583.0	-4.5	1978.0	2.9891304347826084	-0.004497751124437781	3.0	-42.0	0.2818590704647676	78.125	0.06296851574212893	188.0	26.982159406418212	32768.0	996.0	-30.365853658536587	1.4535563E7	443590.1794433594	-1252.0	-3.5975609756097566	38.170731707317074	118.0	2769.0	4057.142857142857	-372.0	0.8899521531100478	-7.607655502392344	2476.0	97.83933778796252	4759264.0	3180.0	5.923444976076555	
2679.0	7.239130434782608	1587.0	-4.630434782608695	2023.0	2.5	-0.004497751124437781	3.0	-42.0	0.2818590704647676	87.890625	0.06296851574212893	188.0	26.982159406418212	32768.0	567.0	-17.28658536585366	1.4535883E7	443599.9450683594	-1923.0	-7.621951219512196	58.62804878048781	250.0	2769.0	4057.142857142857	-172.0	0.41148325358851673	-7.8086124401913874	2376.0	97.83933778796252	4759264.0	3264.0	5.684210526315789	
2704.0	6.608695652173913	1645.0	-4.9021739130434785	2057.0	2.130434782608696	-0.0029985007496251873	2.0	-35.0	0.2863568215892054	97.65625	0.05247376311844078	191.0	26.982159406418212	32768.0	225.0	-6.859756097560976	1.4536203E7	443609.7106933594	-2310.0	-7.865853658536586	70.42682926829269	258.0	2764.0	4049.8168498168498	-20.0	0.04784688995215311	-8.047846889952153	2096.0	97.83933778796252	4759264.0	3364.0	5.0143540669856455	
2731.0	6.0	1701.0	-5.195652173913043	2070.0	1.9891304347826086	0.0029985007496251873	-2.0	-32.0	0.280359820089955	107.421875	0.047976011994003	187.0	26.982159406418212	32768.0	254.0	-7.743902439024391	1.4536523E7	443619.4763183594	-2580.0	-12.743902439024392	78.65853658536587	418.0	2769.0	4057.142857142857	16.0	-0.03827751196172249	-8.229665071770334	1960.0	97.83933778796252	4759264.0	3440.0	4.688995215311005	
2750.0	5.489130434782608	1748.0	-5.4021739130434785	2096.0	1.7065217391304348	0.0	0.0	-41.0	0.2863568215892054	117.1875	0.06146926536731634	191.0	26.982159406418212	32768.0	455.0	-13.871951219512196	1.4536843E7	443629.2419433594	-2738.0	-16.951219512195124	83.47560975609757	556.0	2754.0	4035.164835164835	128.0	-0.3062200956937799	-8.497607655502392	1736.0	97.8304707389054	4760144.0	3552.0	4.15311004784689	
2772.0	5.630434782608695	1735.0	-5.641304347826087	2101.0	1.6521739130434783	0.0014992503748125937	-1.0	-39.0	0.2908545727136432	126.953125	0.05847076461769115	194.0	26.982159406418212	32768.0	570.0	-17.378048780487806	1.4537163E7	443639.0075683594	-2963.0	-16.981707317073173	90.33536585365854	557.0	2790.0	4087.9120879120874	196.0	-0.4688995215311005	-8.832535885167463	1716.0	97.8304707389054	4760144.0	3692.0	4.105263157894736	
2780.0	5.989130434782608	1702.0	-5.728260869565217	2108.0	1.576086956521739	0.0074962518740629685	-5.0	-37.0	0.2833583208395802	136.71875	0.05547226386806597	189.0	26.982159406418212	32768.0	429.0	-13.079268292682928	1.4537483E7	443648.7731933594	-3079.0	-16.25	93.8719512195122	533.0	2769.0	4057.142857142857	232.0	-0.5550239234449761	-9.052631578947368	1888.0	97.8304707389054	4760144.0	3784.0	4.516746411483253	
2807.0	6.217391304347826	1681.0	-6.021739130434782	2112.0	1.5326086956521738	0.004497751124437781	-3.0	-43.0	0.2818590704647676	146.484375	0.06446776611694152	188.0	26.982159406418212	32768.0	576.0	-17.5609756097561	1.4537803E7	443658.5388183594	-3319.0	-17.347560975609756	101.18902439024392	569.0	2763.0	4048.3516483516482	244.0	-0.5837320574162679	-9.368421052631579	2032.0	97.8304707389054	4760144.0	3916.0	4.861244019138756	
2795.0	6.163043478260869	1686.0	-5.891304347826087	2091.0	1.7608695652173914	0.0074962518740629685	-5.0	-35.0	0.2848575712143928	156.25	0.05247376311844078	190.0	26.982159406418212	32768.0	429.0	-13.079268292682928	1.4538123E7	443668.3044433594	-3543.0	-15.853658536585368	108.01829268292684	520.0	2777.0	4068.8644688644686	164.0	-0.3923444976076555	-9.282296650717702	2028.0	97.8304707389054	4760144.0	3880.0	4.851674641148326	
2814.0	5.83695652173913	1716.0	-6.0978260869565215	2071.0	1.9782608695652173	0.01199400299850075	-8.0	-40.0	0.2818590704647676	166.015625	0.05997001499250375	188.0	26.982159406418212	32768.0	300.0	-9.146341463414634	1.4538443E7	443678.0700683594	-3754.0	-18.75	114.45121951219514	615.0	2774.0	4064.468864468864	52.0	-0.12440191387559808	-9.416267942583731	1832.0	97.82386077452071	4760800.0	3936.0	4.382775119617225	
2821.0	5.260869565217392	1769.0	-6.173913043478261	2065.0	2.043478260869565	0.01199400299850075	-8.0	-37.0	0.28785607196401797	175.78125	0.05547226386806597	192.0	26.982159406418212	32768.0	329.0	-10.03048780487805	1.4538763E7	443687.8356933594	-3841.0	-18.414634146341466	117.10365853658537	604.0	2759.0	4042.490842490842	4.0	-0.009569377990430622	-9.483253588516746	1584.0	97.82386077452071	4760800.0	3964.0	3.789473684210526	
2836.0	4.967391304347826	1796.0	-6.33695652173913	2074.0	1.9456521739130435	0.013493253373313342	-9.0	-44.0	0.28785607196401797	185.546875	0.06596701649175413	192.0	26.982159406418212	32768.0	296.0	-9.02439024390244	1.4539083E7	443697.6013183594	-3840.0	-16.158536585365855	117.07317073170732	530.0	2763.0	4048.3516483516482	44.0	-0.10526315789473684	-9.617224880382775	1420.0	97.82386077452071	4760800.0	4020.0	3.3971291866028706	
2836.0	4.858695652173913	1806.0	-6.33695652173913	2079.0	1.891304347826087	0.022488755622188904	-15.0	-49.0	0.2818590704647676	195.3125	0.07346326836581708	188.0	26.982159406418212	32768.0	299.0	-9.115853658536587	1.4539403E7	443707.3669433594	-3840.0	-14.26829268292683	117.07317073170732	468.0	2773.0	4063.003663003663	68.0	-0.16267942583732056	-9.722488038277511	1372.0	97.82386077452071	4760800.0	4064.0	3.2822966507177034	
2837.0	4.782608695652174	1813.0	-6.3478260869565215	2078.0	1.9021739130434783	0.020989505247376312	-14.0	-36.0	0.2893553223388306	205.078125	0.05397301349325337	193.0	26.982159406418212	32768.0	225.0	-6.859756097560976	1.4539723E7	443717.1325683594	-3727.0	-10.975609756097562	113.62804878048782	360.0	2770.0	4058.6080586080584	52.0	-0.12440191387559808	-9.722488038277511	1372.0	97.82386077452071	4760800.0	4064.0	3.2822966507177034	
2814.0	4.815217391304348	1810.0	-6.0978260869565215	2074.0	1.9456521739130435	0.017991004497751123	-12.0	-33.0	0.29235382308845576	214.84375	0.04947526236881559	195.0	26.982159406418212	32768.0	81.0	-2.4695121951219514	1.4540043E7	443726.8981933594	-3582.0	-6.951219512195123	109.20731707317074	228.0	2771.0	4060.07326007326	48.0	-0.11483253588516745	-9.665071770334928	1404.0	97.81918544295608	4761264.0	4040.0	3.3588516746411483	
2828.0	4.760869565217392	1815.0	-6.25	2066.0	2.032608695652174	0.022488755622188904	-15.0	-41.0	0.28785607196401797	224.609375	0.06146926536731634	192.0	26.982159406418212	32768.0	5.0	-0.15243902439024393	1.4540363E7	443736.6638183594	-3378.0	-5.975609756097562	102.98780487804879	196.0	2761.0	4045.421245421245	-16.0	0.03827751196172249	-9.626794258373206	1376.0	97.81918544295608	4761264.0	4024.0	3.291866028708134	
2830.0	4.684782608695652	1822.0	-6.271739130434782	2058.0	2.119565217391304	0.026986506746626684	-18.0	-40.0	0.2893553223388306	234.375	0.05997001499250375	193.0	26.982159406418212	32768.0	114.0	-3.4756097560975614	1.4540683E7	443746.4294433594	-3215.0	-5.060975609756098	98.01829268292684	166.0	2769.0	4057.142857142857	-32.0	0.07655502392344497	-9.665071770334928	1320.0	97.81918544295608	4761264.0	4040.0	3.1578947368421053	
2834.0	4.663043478260869	1824.0	-6.315217391304348	2051.0	2.1956521739130435	0.031484257871064465	-21.0	-37.0	0.30134932533733133	244.140625	0.05547226386806597	201.0	26.982159406418212	32768.0	222.0	-6.7682926829268295	1.4541003E7	443756.1950683594	-3028.0	-3.628048780487805	92.31707317073172	119.0	2773.0	4063.003663003663	-76.0	0.18181818181818182	-9.674641148325358	1288.0	97.81918544295608	4761264.0	4044.0	3.0813397129186604	
2835.0	4.6521739130434785	1825.0	-6.326086956521739	2051.0	2.1956521739130435	0.02848575712143928	-19.0	-45.0	0.29535232383808097	253.90625	0.06746626686656672	197.0	26.982159406418212	32768.0	173.0	-5.27439024390244	1.4541323E7	443765.9606933594	-2846.0	-1.5548780487804879	86.76829268292684	51.0	2764.0	4049.8168498168498	-104.0	0.24880382775119617	-9.674641148325358	1296.0	97.81918544295608	4761264.0	4044.0	3.1004784688995213	
2828.0	4.771739130434782	1814.0	-6.25	2037.0	2.3478260869565215	0.02848575712143928	-19.0	-36.0	0.29385307346326833	263.671875	0.05397301349325337	196.0	26.982159406418212	32768.0	65.0	-1.981707317073171	1.4541643E7	443775.7263183594	-2632.0	0.15243902439024393	80.2439024390244	-5.0	2776.0	4067.399267399267	-112.0	0.2679425837320574	-9.569377990430622	1276.0	97.81451011892952	4761728.0	4000.0	3.052631578947368	
2817.0	4.641304347826087	1826.0	-6.130434782608695	2027.0	2.4565217391304346	0.031484257871064465	-21.0	-40.0	0.2863568215892054	273.4375	0.05997001499250375	191.0	26.982159406418212	32768.0	22.0	-0.6707317073170732	1.4541963E7	443785.4919433594	-2427.0	0.27439024390243905	73.9939024390244	-9.0	2755.0	4036.6300366300366	-172.0	0.41148325358851673	-9.4066985645933	1280.0	97.81451011892952	4761728.0	3932.0	3.062200956937799	
2797.0	4.576086956521739	1832.0	-5.913043478260869	2022.0	2.510869565217391	0.035982008995502246	-24.0	-38.0	0.2863568215892054	283.203125	0.05697151424287856	191.0	26.982159406418212	32768.0	60.0	-1.829268292682927	1.4542283E7	443795.2575683594	-2187.0	-1.676829268292683	66.67682926829269	55.0	2763.0	4048.3516483516482	-224.0	0.5358851674641149	-9.272727272727272	1260.0	97.81451011892952	4761728.0	3876.0	3.014354066985646	
