Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2925.0	6.076086956521739	-7.304347826086956	1694.0	8.434782608695652	1477.0	-0.2698650674662669	180.0	42.0	0.1889055472263868	9.765625	126.0	-0.06296851574212893	26.982159406418212	32768.0	-5994.0	182.7439024390244	6306975.0	192473.60229492188	4714.0	-394.6036585365854	12943.0	-143.71951219512195	2777.0	4068.8644688644686	-2900.0	6.937799043062201	-10.91866028708134	2044.0	0.0	146.19119890832485	4.889952153110047	4564.0	
3044.0	6.206521739130435	-8.597826086956522	1682.0	6.771739130434782	1630.0	-0.23238380809595202	155.0	18.0	0.1889055472263868	19.53125	126.0	-0.026986506746626684	26.982159406418212	32768.0	-5711.0	174.1158536585366	6307295.0	192483.36791992188	6604.0	-388.14024390243907	12731.0	-201.34146341463418	2763.0	4048.3516483516482	-2152.0	5.148325358851674	-12.497607655502392	2040.0	4757760.0	97.85449244366619	4.880382775119617	5224.0	
3157.0	6.760869565217391	-9.826086956521738	1631.0	5.489130434782608	1748.0	-0.20389805097451275	136.0	9.0	0.1934032983508246	29.296875	129.0	-0.013493253373313342	26.982159406418212	32768.0	-5910.0	180.1829268292683	6307615.0	192493.13354492188	8055.0	-383.1707317073171	12568.0	-245.57926829268294	2776.0	4067.399267399267	-1544.0	3.69377990430622	-14.095693779904305	2272.0	4757760.0	97.85449244366619	5.435406698564593	5892.0	
3282.0	7.608695652173913	-11.184782608695652	1553.0	4.478260869565217	1841.0	-0.17991004497751123	120.0	0.0	0.19940029985007496	39.0625	133.0	0.0	26.982159406418212	32768.0	-6491.0	197.89634146341464	6307935.0	192502.89916992188	8380.0	-374.969512195122	12299.0	-255.4878048780488	2764.0	4049.8168498168498	-1080.0	2.5837320574162677	-15.425837320574162	2600.0	4757760.0	97.85449244366619	6.220095693779904	6448.0	
3374.0	8.282608695652174	-12.184782608695652	1491.0	3.9456521739130435	1890.0	-0.14692653673163417	98.0	-10.0	0.19940029985007496	48.828125	133.0	0.014992503748125937	26.982159406418212	32768.0	-7101.0	216.49390243902442	6308255.0	192512.66479492188	7835.0	-364.87804878048786	11968.0	-238.87195121951223	2770.0	4058.6080586080584	-820.0	1.9617224880382775	-16.66985645933014	2904.0	4757760.0	97.85449244366619	6.947368421052631	6968.0	
3484.0	8.847826086956522	-13.380434782608695	1439.0	3.6956521739130435	1913.0	-0.14692653673163417	98.0	-10.0	0.19940029985007496	58.59375	133.0	0.014992503748125937	26.982159406418212	32768.0	-7431.0	226.5548780487805	6308575.0	192522.43041992188	7059.0	-349.359756097561	11459.0	-215.21341463414637	2765.0	4051.2820512820513	-712.0	1.7033492822966507	-17.933014354066984	3160.0	4757760.0	97.85449244366619	7.559808612440191	7496.0	
3564.0	8.869565217391305	-14.25	1437.0	3.7065217391304346	1912.0	-0.10044977511244378	67.0	-15.0	0.2098950524737631	68.359375	140.0	0.022488755622188904	26.982159406418212	32768.0	-7436.0	226.70731707317074	6308895.0	192532.19604492188	6311.0	-329.4207317073171	10805.0	-192.40853658536588	2769.0	4057.142857142857	-736.0	1.7607655502392343	-19.129186602870814	3236.0	4758800.0	97.84401315201897	7.741626794258373	7996.0	
