Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
4.858695652173913	2807.0	1806.0	-6.021739130434782	1906.0	3.7717391304347827	-18.0	0.026986506746626684	-40.0	0.2893553223388306	9.765625	0.05997001499250375	193.0	26.982159406418212	32768.0	37.0	-1.128048780487805	1.3702195E7	418157.8063964844	-187.0	-1.5548780487804879	5.701219512195123	51.0	2770.0	4058.6080586080584	-784.0	1.875598086124402	1388.0	-9.358851674641148	0.0	146.19119890832485	3912.0	3.3205741626794256	
4.804347826086956	2799.0	1811.0	-5.934782608695652	1907.0	3.760869565217391	-20.0	0.029985007496251874	-41.0	0.28785607196401797	19.53125	0.06146926536731634	192.0	26.982159406418212	32768.0	27.0	-0.8231707317073171	1.3702515E7	418167.5720214844	-193.0	-1.402439024390244	5.884146341463415	46.0	2776.0	4067.399267399267	-764.0	1.8277511961722488	1388.0	-9.349282296650717	4752528.0	97.90721191611814	3908.0	3.3205741626794256	
4.771739130434782	2805.0	1814.0	-6.0	1908.0	3.75	-20.0	0.029985007496251874	-49.0	0.2863568215892054	29.296875	0.07346326836581708	191.0	26.982159406418212	32768.0	36.0	-1.0975609756097562	1.3702835E7	418177.3376464844	-202.0	-1.4634146341463417	6.158536585365854	48.0	2767.0	4054.212454212454	-772.0	1.84688995215311	1380.0	-9.39712918660287	4752528.0	97.90721191611814	3928.0	3.3014354066985643	
4.793478260869565	2814.0	1812.0	-6.0978260869565215	1910.0	3.7282608695652173	-21.0	0.031484257871064465	-41.0	0.280359820089955	39.0625	0.06146926536731634	187.0	26.982159406418212	32768.0	39.0	-1.1890243902439026	1.3703155E7	418187.1032714844	-211.0	-1.4634146341463417	6.432926829268293	48.0	2755.0	4036.6300366300366	-764.0	1.8277511961722488	1364.0	-9.39712918660287	4752528.0	97.90721191611814	3928.0	3.263157894736842	
4.75	2800.0	1816.0	-5.945652173913043	1904.0	3.793478260869565	-23.0	0.034482758620689655	-47.0	0.2788605697151424	48.828125	0.0704647676161919	186.0	26.982159406418212	32768.0	42.0	-1.2804878048780488	1.3703475E7	418196.8688964844	-218.0	-1.2804878048780488	6.646341463414635	42.0	2764.0	4049.8168498168498	-756.0	1.8086124401913874	1364.0	-9.435406698564593	4752528.0	97.90721191611814	3944.0	3.263157894736842	
4.793478260869565	2815.0	1812.0	-6.108695652173913	1903.0	3.8043478260869565	-23.0	0.034482758620689655	-47.0	0.2788605697151424	58.59375	0.0704647676161919	186.0	26.982159406418212	32768.0	37.0	-1.128048780487805	1.3703795E7	418206.6345214844	-213.0	-1.1890243902439026	6.4939024390243905	39.0	2776.0	4067.399267399267	-764.0	1.8277511961722488	1372.0	-9.444976076555024	4752528.0	97.90721191611814	3948.0	3.2822966507177034	
4.717391304347826	2813.0	1819.0	-6.08695652173913	1906.0	3.7717391304347827	-24.0	0.035982008995502246	-41.0	0.2908545727136432	68.359375	0.06146926536731634	194.0	26.982159406418212	32768.0	45.0	-1.3719512195121952	1.3704115E7	418216.4001464844	-212.0	-1.2195121951219514	6.463414634146342	40.0	2761.0	4045.421245421245	-780.0	1.8660287081339713	1360.0	-9.425837320574162	4753424.0	97.89818343692053	3940.0	3.253588516746411	
