Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	local_flux	no_units	local_flux	no_units	ms	local_flux	no_units	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
2720.0	6.010869565217392	1700.0	-5.076086956521739	3.5543478260869565	1926.0	-0.20389805097451275	136.0	-0.019490254872563718	71.0	9.765625	-0.10644677661169415	-13.0	32768.0	26.982159406418212	315.0	-9.603658536585368	1.6567625E7	505603.7902832031	-7.591463414634147	22.0	-0.6707317073170732	249.0	4058.6080586080584	2770.0	-692.0	1.6555023923444976	1920.0	-8.267942583732058	0.0	146.19119890832485	4.5933014354066986	3456.0	
2723.0	6.08695652173913	1693.0	-5.108695652173913	3.5760869565217392	1924.0	-0.20089955022488756	134.0	-0.020989505247376312	70.0	19.53125	-0.10494752623688156	-14.0	32768.0	26.982159406418212	281.0	-8.567073170731708	1.6567945E7	505613.5559082031	-5.426829268292684	154.0	-4.695121951219512	178.0	4054.212454212454	2767.0	-692.0	1.6555023923444976	1928.0	-8.325358851674642	4753040.0	97.90205278170619	4.6124401913875595	3480.0	
2713.0	6.130434782608695	1689.0	-5.0	3.6304347826086953	1919.0	-0.1889055472263868	126.0	-0.025487256371814093	64.0	29.296875	-0.095952023988006	-17.0	32768.0	26.982159406418212	235.0	-7.164634146341464	1.6568265E7	505623.3215332031	-3.7500000000000004	258.0	-7.865853658536586	123.0	4063.003663003663	2773.0	-712.0	1.7033492822966507	1960.0	-8.344497607655502	4753040.0	97.90205278170619	4.688995215311005	3488.0	
2718.0	6.239130434782608	1679.0	-5.054347826086956	3.5543478260869565	1926.0	-0.19790104947526235	132.0	-0.022488755622188904	65.0	39.0625	-0.09745127436281859	-15.0	32768.0	26.982159406418212	214.0	-6.52439024390244	1.6568585E7	505633.0871582031	-1.7987804878048783	316.0	-9.634146341463415	59.0	4045.421245421245	2761.0	-692.0	1.6555023923444976	2036.0	-8.354066985645932	4753040.0	97.90205278170619	4.8708133971291865	3492.0	
2715.0	6.489130434782608	1656.0	-5.021739130434782	3.532608695652174	1928.0	-0.19940029985007496	133.0	-0.019490254872563718	73.0	48.828125	-0.10944527736131934	-13.0	32768.0	26.982159406418212	173.0	-5.27439024390244	1.6568905E7	505642.8527832031	-0.426829268292683	349.0	-10.640243902439025	14.0	4065.9340659340655	2775.0	-672.0	1.6076555023923444	2116.0	-8.248803827751196	4753040.0	97.90205278170619	5.062200956937799	3448.0	
2713.0	6.673913043478261	1639.0	-5.0	3.4456521739130435	1936.0	-0.20239880059970014	135.0	-0.02848575712143928	70.0	58.59375	-0.10494752623688156	-19.0	32768.0	26.982159406418212	143.0	-4.359756097560976	1.6569225E7	505652.6184082031	-0.7926829268292683	337.0	-10.27439024390244	26.0	4070.32967032967	2778.0	-588.0	1.4066985645933014	2200.0	-8.17224880382775	4753040.0	97.90205278170619	5.263157894736842	3416.0	
2714.0	6.8478260869565215	1623.0	-5.010869565217392	3.282608695652174	1951.0	-0.20239880059970014	135.0	-0.02848575712143928	70.0	68.359375	-0.10494752623688156	-19.0	32768.0	26.982159406418212	120.0	-3.658536585365854	1.6569545E7	505662.3840332031	-1.707317073170732	205.0	-6.250000000000001	56.0	4060.07326007326	2771.0	-520.0	1.244019138755981	2304.0	-8.181818181818182	4753936.0	97.89302431857072	5.511961722488038	3420.0	
2720.0	6.913043478260869	1617.0	-5.076086956521739	3.2717391304347827	1952.0	-0.1874062968515742	125.0	-0.026986506746626684	76.0	78.125	-0.11394302848575712	-18.0	32768.0	26.982159406418212	161.0	-4.908536585365854	1.6569865E7	505672.1496582031	-2.7439024390243905	52.0	-1.5853658536585367	90.0	4036.6300366300366	2755.0	-584.0	1.3971291866028708	2316.0	-8.239234449760765	4753936.0	97.89302431857072	5.5406698564593295	3444.0	
2730.0	6.8478260869565215	1623.0	-5.184782608695652	3.5760869565217392	1924.0	-0.1874062968515742	125.0	-0.026986506746626684	76.0	87.890625	-0.11394302848575712	-18.0	32768.0	26.982159406418212	177.0	-5.396341463414634	1.6570185E7	505681.9152832031	-3.2926829268292686	-43.0	1.3109756097560976	108.0	4032.234432234432	2752.0	-688.0	1.645933014354067	2280.0	-8.363636363636363	4753936.0	97.89302431857072	5.454545454545454	3496.0	
2732.0	6.760869565217391	1631.0	-5.206521739130435	3.717391304347826	1911.0	-0.20089955022488756	134.0	-0.026986506746626684	67.0	97.65625	-0.10044977511244378	-18.0	32768.0	26.982159406418212	121.0	-3.689024390243903	1.6570505E7	505691.6809082031	-3.079268292682927	-58.0	1.7682926829268295	101.0	4043.9560439560437	2760.0	-800.0	1.9138755980861244	2252.0	-8.488038277511961	4753936.0	97.89302431857072	5.38755980861244	3548.0	
2755.0	6.771739130434782	1630.0	-5.456521739130435	3.967391304347826	1888.0	-0.19640179910044978	131.0	-0.01649175412293853	68.0	107.421875	-0.10194902548725637	-11.0	32768.0	26.982159406418212	35.0	-1.0670731707317074	1.6570825E7	505701.4465332031	-1.0060975609756098	13.0	-0.39634146341463417	33.0	4068.8644688644686	2777.0	-856.0	2.047846889952153	2216.0	-8.650717703349281	4753936.0	97.89302431857072	5.301435406698564	3616.0	
2765.0	6.434782608695652	1661.0	-5.565217391304348	4.010869565217392	1884.0	-0.1934032983508246	129.0	-0.026986506746626684	64.0	117.1875	-0.095952023988006	-18.0	32768.0	26.982159406418212	3.0	-0.09146341463414635	1.6571145E7	505711.2121582031	2.7439024390243905	191.0	-5.823170731707318	-90.0	4058.6080586080584	2770.0	-892.0	2.1339712918660285	2116.0	-8.803827751196172	4754960.0	97.88270610940624	5.062200956937799	3680.0	
2776.0	6.195652173913043	1683.0	-5.684782608695652	4.076086956521739	1878.0	-0.19490254872563717	130.0	-0.02848575712143928	70.0	126.953125	-0.10494752623688156	-19.0	32768.0	26.982159406418212	-153.0	4.664634146341464	1.6571465E7	505720.9777832031	6.646341463414635	426.0	-12.987804878048781	-218.0	4061.5384615384614	2772.0	-924.0	2.2105263157894735	2064.0	-8.966507177033492	4754960.0	97.88270610940624	4.937799043062201	3748.0	
2811.0	6.141304347826087	1688.0	-6.065217391304348	4.184782608695652	1868.0	-0.20239880059970014	135.0	-0.025487256371814093	72.0	136.71875	-0.10794602698650674	-17.0	32768.0	26.982159406418212	-277.0	8.445121951219512	1.6571785E7	505730.7434082031	11.341463414634147	703.0	-21.432926829268293	-372.0	4065.9340659340655	2775.0	-928.0	2.2200956937799043	1972.0	-9.272727272727272	4754960.0	97.88270610940624	4.717703349282297	3876.0	
2847.0	6.282608695652174	1675.0	-6.456521739130435	4.163043478260869	1870.0	-0.1934032983508246	129.0	-0.020989505247376312	68.0	146.484375	-0.10194902548725637	-14.0	32768.0	26.982159406418212	-471.0	14.359756097560977	1.6572105E7	505740.5090332031	14.908536585365855	835.0	-25.457317073170735	-489.0	4042.490842490842	2759.0	-956.0	2.2870813397129184	1980.0	-9.741626794258373	4754960.0	97.88270610940624	4.7368421052631575	4072.0	
