Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	local_flux	no_units	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	ms	Ticks	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
1822.0	4.08695652173913	1877.0	4.684782608695652	3.4456521739130435	1936.0	0.0239880059970015	-16.0	0.17841079460269865	617.0	9.765625	119.0	-0.9250374812593702	32768.0	26.982159406418212	6932.0	-211.34146341463418	124057.43408203125	4065114.0	-26.82926829268293	1180.0	880.0	-35.97560975609756	2765.0	4051.2820512820513	-620.0	1.4832535885167464	1148.0	2.77511961722488	146.19119890832485	0.0	-1160.0	2.7464114832535884	
1845.0	3.793478260869565	1904.0	4.434782608695652	3.3043478260869565	1949.0	0.026986506746626684	-18.0	0.19490254872563717	613.0	19.53125	130.0	-0.9190404797601199	32768.0	26.982159406418212	7110.0	-216.76829268292684	124067.19970703125	4065434.0	-29.207317073170735	-222.0	958.0	6.7682926829268295	2772.0	4061.5384615384614	-576.0	1.3779904306220094	984.0	2.488038277511962	98.02877667670992	4740464.0	-1040.0	2.354066985645933	
1892.0	3.2065217391304346	1958.0	3.9239130434782608	3.1630434782608696	1962.0	0.026986506746626684	-18.0	0.21139430284857572	616.0	29.296875	141.0	-0.9235382308845577	32768.0	26.982159406418212	7206.0	-219.69512195121953	124076.96533203125	4065754.0	-32.31707317073171	-1273.0	1060.0	38.8109756097561	2748.0	4026.3736263736264	-496.0	1.186602870813397	748.0	1.9138755980861244	98.02877667670992	4740464.0	-800.0	1.7894736842105263	
1925.0	2.630434782608696	2011.0	3.5652173913043477	3.1630434782608696	1962.0	0.020989505247376312	-14.0	0.239880059970015	608.0	39.0625	160.0	-0.9115442278860569	32768.0	26.982159406418212	7357.0	-224.2987804878049	124086.73095703125	4066074.0	-33.41463414634147	-1882.0	1096.0	57.37804878048781	2764.0	4049.8168498168498	-496.0	1.186602870813397	428.0	1.4736842105263157	98.02877667670992	4740464.0	-616.0	1.0239234449760766	
1943.0	1.9021739130434783	2078.0	3.369565217391304	3.184782608695652	1960.0	0.025487256371814093	-17.0	0.25037481259370314	607.0	48.828125	167.0	-0.9100449775112444	32768.0	26.982159406418212	7518.0	-229.20731707317074	124096.49658203125	4066394.0	-36.18902439024391	-1893.0	1187.0	57.713414634146346	2759.0	4042.490842490842	-496.0	1.186602870813397	60.0	1.3205741626794258	98.02877667670992	4740464.0	-552.0	0.14354066985645933	
1950.0	1.1521739130434783	2147.0	3.293478260869565	3.141304347826087	1964.0	0.01649175412293853	-11.0	0.26686656671664166	608.0	58.59375	178.0	-0.9115442278860569	32768.0	26.982159406418212	7689.0	-234.4207317073171	124106.26220703125	4066714.0	-42.6219512195122	-1311.0	1398.0	39.96951219512196	2751.0	4030.7692307692305	-516.0	1.2344497607655502	-276.0	1.186602870813397	98.02877667670992	4740464.0	-496.0	-0.6602870813397129	
1908.0	0.7065217391304348	2188.0	3.75	2.8152173913043477	1994.0	0.01649175412293853	-11.0	0.26686656671664166	608.0	68.359375	178.0	-0.9115442278860569	32768.0	26.982159406418212	7795.0	-237.65243902439028	124116.02783203125	4067034.0	-46.89024390243903	-194.0	1538.0	5.914634146341464	2766.0	4052.747252747253	-384.0	0.9186602870813396	-544.0	1.8181818181818181	98.01910290171892	4741424.0	-760.0	-1.3014354066985645	
1850.0	0.14130434782608695	2240.0	4.380434782608695	3.293478260869565	1950.0	0.005997001499250375	-4.0	0.3103448275862069	601.0	78.125	207.0	-0.9010494752623688	32768.0	26.982159406418212	7818.0	-238.35365853658539	124125.79345703125	4067354.0	-50.335365853658544	1169.0	1651.0	-35.640243902439025	2755.0	4036.6300366300366	-616.0	1.4736842105263157	-772.0	2.5454545454545454	98.01910290171892	4741424.0	-1064.0	-1.84688995215311	
1818.0	-0.043478260869565216	2257.0	4.728260869565217	3.141304347826087	1964.0	0.005997001499250375	-4.0	0.3103448275862069	601.0	87.890625	207.0	-0.9010494752623688	32768.0	26.982159406418212	7837.0	-238.93292682926833	124135.55908203125	4067674.0	-56.92073170731708	2427.0	1867.0	-73.9939024390244	2751.0	4030.7692307692305	-540.0	1.2918660287081338	-832.0	2.832535885167464	98.01910290171892	4741424.0	-1184.0	-1.9904306220095693	
1828.0	0.09782608695652173	2244.0	4.619565217391305	2.9782608695652173	1979.0	0.005997001499250375	-4.0	0.32083958020989506	601.0	97.65625	214.0	-0.9010494752623688	32768.0	26.982159406418212	7779.0	-237.16463414634148	124145.32470703125	4067994.0	-66.52439024390245	3660.0	2182.0	-111.58536585365854	2767.0	4054.212454212454	-408.0	0.9760765550239234	-712.0	2.574162679425837	98.01910290171892	4741424.0	-1076.0	-1.7033492822966507	
1873.0	0.3913043478260869	2217.0	4.130434782608695	2.891304347826087	1987.0	-0.005997001499250375	4.0	0.3373313343328336	595.0	107.421875	225.0	-0.8920539730134932	32768.0	26.982159406418212	7595.0	-231.55487804878052	124155.09033203125	4068314.0	-76.98170731707317	4793.0	2525.0	-146.12804878048783	2749.0	4027.838827838828	-404.0	0.9665071770334928	-688.0	2.2870813397129184	98.01910290171892	4741424.0	-956.0	-1.645933014354067	
1885.0	0.18478260869565216	2236.0	4.0	3.0652173913043477	1971.0	-0.017991004497751123	12.0	0.36431784107946025	582.0	117.1875	243.0	-0.8725637181409295	32768.0	26.982159406418212	7276.0	-221.82926829268294	124164.85595703125	4068634.0	-84.23780487804879	5586.0	2763.0	-170.3048780487805	2760.0	4043.9560439560437	-468.0	1.1196172248803826	-708.0	1.9521531100478469	98.01023530299014	4742304.0	-816.0	-1.69377990430622	
1879.0	-0.15217391304347827	2267.0	4.065217391304348	3.1630434782608696	1962.0	-0.03298350824587706	22.0	0.3748125937031484	575.0	126.953125	250.0	-0.8620689655172413	32768.0	26.982159406418212	7027.0	-214.2378048780488	124174.62158203125	4068954.0	-91.46341463414635	6015.0	3000.0	-183.38414634146343	2756.0	4038.095238095238	-540.0	1.2918660287081338	-892.0	2.0956937799043063	98.01023530299014	4742304.0	-876.0	-2.1339712918660285	
1858.0	-0.7717391304347826	2324.0	4.293478260869565	3.0652173913043477	1971.0	-0.035982008995502246	24.0	0.38830584707646176	573.0	136.71875	259.0	-0.8590704647676162	32768.0	26.982159406418212	6743.0	-205.57926829268294	124184.38720703125	4069274.0	-98.47560975609757	6157.0	3230.0	-187.71341463414635	2749.0	4027.838827838828	-532.0	1.2727272727272727	-1168.0	2.2870813397129184	98.01023530299014	4742304.0	-956.0	-2.7942583732057416	
