Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	local_flux	no_units	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
-0.7934782608695652	1942.0	2326.0	3.3804347826086953	1594.0	7.163043478260869	251.0	-0.37631184407796103	0.4032983508245877	363.0	9.765625	-0.5442278860569715	269.0	32768.0	26.982159406418212	-9923.0	302.5304878048781	980001.0	29907.257080078125	-11178.0	34.93902439024391	-1146.0	340.7926829268293	2767.0	4054.212454212454	5.645933014354067	-2360.0	-1216.0	1.263157894736842	0.0	146.19119890832485	-528.0	-2.909090909090909	
-1.434782608695652	1895.0	2385.0	3.891304347826087	1657.0	6.478260869565217	233.0	-0.3493253373313343	0.42278860569715143	367.0	19.53125	-0.5502248875562219	282.0	32768.0	26.982159406418212	-10671.0	325.3353658536586	980321.0	29917.022705078125	-12046.0	25.396341463414636	-833.0	367.25609756097566	2763.0	4048.3516483516482	4.861244019138756	-2032.0	-1500.0	1.7990430622009568	4777376.0	97.65684326029937	-752.0	-3.588516746411483	
-2.2282608695652173	1829.0	2458.0	4.608695652173913	1668.0	6.358695652173913	232.0	-0.34782608695652173	0.4467766116941529	369.0	29.296875	-0.553223388305847	298.0	32768.0	26.982159406418212	-10804.0	329.39024390243907	980641.0	29926.788330078125	-13491.0	19.969512195121954	-655.0	411.31097560975616	2750.0	4029.3040293040294	4.803827751196172	-2008.0	-1800.0	2.5645933014354068	4777376.0	97.65684326029937	-1072.0	-4.30622009569378	
-2.8478260869565215	1773.0	2515.0	5.217391304347826	1691.0	6.108695652173913	214.0	-0.32083958020989506	0.46026986506746626	379.0	39.0625	-0.568215892053973	307.0	32768.0	26.982159406418212	-9702.0	295.7926829268293	980961.0	29936.553955078125	-14895.0	-5.579268292682928	183.0	454.11585365853665	2759.0	4042.490842490842	4.430622009569378	-1852.0	-1932.0	3.3588516746411483	4777376.0	97.65684326029937	-1404.0	-4.62200956937799	
-2.902173913043478	1707.0	2520.0	5.934782608695652	1817.0	4.739130434782608	214.0	-0.32083958020989506	0.46026986506746626	379.0	48.828125	-0.568215892053973	307.0	32768.0	26.982159406418212	-8132.0	247.9268292682927	981281.0	29946.319580078125	-15686.0	-38.41463414634147	1260.0	478.2317073170732	2745.0	4021.978021978022	2.9186602870813396	-1220.0	-1932.0	4.172248803827751	4777376.0	97.65684326029937	-1744.0	-4.62200956937799	
-2.7065217391304346	1663.0	2502.0	6.413043478260869	1906.0	3.7717391304347827	190.0	-0.2848575712143928	0.512743628185907	391.0	58.59375	-0.5862068965517241	342.0	32768.0	26.982159406418212	-7027.0	214.2378048780488	981601.0	29956.085205078125	-16856.0	-60.1829268292683	1974.0	513.9024390243903	2769.0	4057.142857142857	1.7511961722488039	-732.0	-1912.0	4.708133971291866	4777376.0	97.65684326029937	-1968.0	-4.574162679425837	
-2.641304347826087	1630.0	2496.0	6.771739130434782	2008.0	2.6630434782608696	190.0	-0.2848575712143928	0.512743628185907	391.0	68.359375	-0.5862068965517241	342.0	32768.0	26.982159406418212	-6482.0	197.62195121951223	981921.0	29965.850830078125	-19080.0	-81.28048780487805	2666.0	581.7073170731708	2742.0	4017.5824175824173	0.6028708133971291	-252.0	-1964.0	5.215311004784689	4778112.0	97.64942764778543	-2180.0	-4.698564593301435	
