Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
2.967391304347826	2243.0	0.10869565217391304	1980.0	1609.0	7.0	257.0	-0.38530734632683655	0.3193403298350824	121.0	9.765625	213.0	-0.18140929535232383	32768.0	26.982159406418212	-3642.0	111.03658536585367	5517774.0	168389.09912109375	473.0	10.091463414634147	-331.0	-14.420731707317074	2761.0	4045.421245421245	5.167464114832535	-2160.0	-2.3827751196172247	516.0	146.19119890832485	0.0	996.0	1.2344497607655502	
2.967391304347826	2227.0	0.2826086956521739	1980.0	1621.0	6.869565217391304	251.0	-0.37631184407796103	0.32233883058470764	118.0	19.53125	215.0	-0.17691154422788605	32768.0	26.982159406418212	-4194.0	127.8658536585366	5518094.0	168398.86474609375	-110.0	2.987804878048781	-98.0	3.353658536585366	2758.0	4041.0256410256407	5.090909090909091	-2128.0	-2.229665071770335	520.0	97.59381115848002	4783632.0	932.0	1.244019138755981	
2.967391304347826	2218.0	0.3804347826086956	1980.0	1638.0	6.684782608695652	252.0	-0.3778110944527736	0.3298350824587706	123.0	29.296875	220.0	-0.18440779610194902	32768.0	26.982159406418212	-4677.0	142.59146341463415	5518414.0	168408.63037109375	-724.0	-3.079268292682927	101.0	22.073170731707318	2749.0	4027.838827838828	4.899521531100478	-2048.0	-2.1626794258373203	584.0	97.59381115848002	4783632.0	904.0	1.3971291866028708	
3.2282608695652173	2224.0	0.31521739130434784	1956.0	1670.0	6.33695652173913	251.0	-0.37631184407796103	0.328335832083958	125.0	39.0625	219.0	-0.1874062968515742	32768.0	26.982159406418212	-5106.0	155.6707317073171	5518734.0	168418.39599609375	-1363.0	-9.756097560975611	320.0	41.554878048780495	2745.0	4021.978021978022	4.564593301435407	-1908.0	-2.1626794258373203	644.0	97.59381115848002	4783632.0	904.0	1.5406698564593302	
3.402173913043478	2210.0	0.46739130434782605	1940.0	1709.0	5.913043478260869	251.0	-0.37631184407796103	0.328335832083958	125.0	48.828125	219.0	-0.1874062968515742	32768.0	26.982159406418212	-5464.0	166.58536585365854	5519054.0	168428.16162109375	-2068.0	-14.420731707317074	473.0	63.04878048780488	2748.0	4026.3736263736264	4.143540669856459	-1732.0	-1.9904306220095693	748.0	97.59381115848002	4783632.0	832.0	1.7894736842105263	
3.619565217391304	2200.0	0.5760869565217391	1920.0	1732.0	5.663043478260869	249.0	-0.3733133433283358	0.36881559220389803	127.0	58.59375	246.0	-0.19040479760119938	32768.0	26.982159406418212	-5922.0	180.5487804878049	5519374.0	168437.92724609375	-2826.0	-16.28048780487805	534.0	86.15853658536587	2759.0	4042.490842490842	3.8851674641148324	-1624.0	-1.875598086124402	840.0	97.59381115848002	4783632.0	784.0	2.0095693779904304	
3.7391304347826084	2183.0	0.7608695652173912	1909.0	1751.0	5.456521739130435	249.0	-0.3733133433283358	0.36881559220389803	127.0	68.359375	246.0	-0.19040479760119938	32768.0	26.982159406418212	-6498.0	198.109756097561	5519694.0	168447.69287109375	-3615.0	-16.52439024390244	542.0	110.21341463414635	2736.0	4008.7912087912086	3.7703349282296648	-1576.0	-1.5598086124401913	860.0	97.58252678359486	4784752.0	652.0	2.0574162679425836	
3.619565217391304	2142.0	1.2065217391304348	1920.0	1754.0	5.423913043478261	239.0	-0.3583208395802099	0.36731634182908546	128.0	78.125	245.0	-0.191904047976012	32768.0	26.982159406418212	-7271.0	221.6768292682927	5520014.0	168457.45849609375	-4393.0	-16.707317073170735	548.0	133.9329268292683	2745.0	4021.978021978022	3.7033492822966507	-1548.0	-1.062200956937799	784.0	97.58252678359486	4784752.0	444.0	1.875598086124402	
3.217391304347826	2087.0	1.8043478260869565	1957.0	1751.0	5.456521739130435	236.0	-0.3538230884557721	0.37631184407796103	129.0	87.890625	251.0	-0.1934032983508246	32768.0	26.982159406418212	-8094.0	246.76829268292684	5520334.0	168467.22412109375	-4939.0	-17.713414634146343	581.0	150.57926829268294	2749.0	4027.838827838828	3.751196172248804	-1568.0	-0.36363636363636365	564.0	97.58252678359486	4784752.0	152.0	1.3492822966507176	
2.3478260869565215	2014.0	2.5978260869565215	2037.0	1741.0	5.565217391304348	238.0	-0.3568215892053973	0.41079460269865065	134.0	97.65625	274.0	-0.20089955022488756	32768.0	26.982159406418212	-8875.0	270.57926829268297	5520654.0	168476.98974609375	-5294.0	-21.250000000000004	697.0	161.40243902439025	2749.0	4027.838827838828	3.8468899521531097	-1608.0	0.09569377990430622	156.0	97.58252678359486	4784752.0	-40.0	0.37320574162679426	
1.1739130434782608	1944.0	3.358695652173913	2145.0	1733.0	5.6521739130434785	235.0	-0.3523238380809595	0.42728635682158916	137.0	107.421875	285.0	-0.20539730134932532	32768.0	26.982159406418212	-9511.0	289.969512195122	5520974.0	168486.75537109375	-5469.0	-34.176829268292686	1121.0	166.7378048780488	2758.0	4041.0256410256407	3.866028708133971	-1616.0	0.8899521531100478	-124.0	97.58252678359486	4784752.0	-372.0	-0.2966507177033493	
