Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	ms	Ticks	no_units	deg/s	deg/s	no_units	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	kPa	no_units	m/(s^2)	no_units	
2025.0	5.489130434782608	2.4782608695652173	1748.0	1336.0	9.967391304347826	-0.2788605697151424	186.0	435.0	-0.1409295352323838	9.765625	-94.0	-0.6521739130434783	26.982159406418212	32768.0	-11.097560975609758	364.0	347871.9482421875	1.1399068E7	4261.0	-84.32926829268294	-129.90853658536585	2766.0	4036.6300366300366	2755.0	7.177033492822966	-3000.0	2508.0	-0.15311004784688995	146.19119890832485	0.0	6.0	64.0	
1855.0	7.33695652173913	4.326086956521739	1578.0	1419.0	9.065217391304348	-0.2893553223388306	193.0	427.0	-0.1394302848575712	19.53125	-93.0	-0.6401799100449775	26.982159406418212	32768.0	-74.75609756097562	2452.0	347881.7138671875	1.1399388E7	3746.0	-192.6829268292683	-114.20731707317074	6320.0	4041.0256410256407	2758.0	7.215311004784689	-3016.0	2360.0	2.277511961722488	97.61073780315769	4781952.0	5.645933014354067	-952.0	
1882.0	12.184782608695652	4.032608695652174	1132.0	1592.0	7.184782608695652	-0.28785607196401797	192.0	414.0	-0.1454272863568216	29.296875	-97.0	-0.6206896551724138	26.982159406418212	32768.0	4.51219512195122	-148.0	347891.4794921875	1.1399708E7	2575.0	-144.5426829268293	-78.50609756097562	4741.0	4048.3516483516482	2763.0	5.84688995215311	-2444.0	4472.0	2.229665071770335	97.61073780315769	4781952.0	10.698564593301436	-932.0	
2052.0	13.021739130434781	2.1847826086956523	1055.0	1569.0	7.434782608695652	-0.27436281859070466	183.0	402.0	-0.15442278860569714	39.0625	-103.0	-0.6026986506746627	26.982159406418212	32768.0	70.57926829268294	-2315.0	347901.2451171875	1.1400028E7	463.0	-95.33536585365854	-14.115853658536587	3127.0	4026.3736263736264	2748.0	5.952153110047846	-2488.0	5044.0	-0.08612440191387559	97.61073780315769	4781952.0	12.066985645933014	36.0	
2150.0	11.01086956521739	1.1195652173913042	1240.0	1534.0	7.815217391304348	-0.27586206896551724	184.0	396.0	-0.15292353823088456	48.828125	-102.0	-0.5937031484257871	26.982159406418212	32768.0	80.67073170731707	-2646.0	347911.0107421875	1.1400348E7	-1216.0	-76.73780487804879	37.07317073170732	2517.0	4051.2820512820513	2765.0	6.220095693779904	-2600.0	4240.0	-1.3971291866028708	97.61073780315769	4781952.0	10.143540669856458	584.0	
2157.0	8.619565217391305	1.0434782608695652	1460.0	1599.0	7.108695652173913	-0.27586206896551724	184.0	396.0	-0.15292353823088456	58.59375	-102.0	-0.5937031484257871	26.982159406418212	32768.0	63.018292682926834	-2067.0	347920.7763671875	1.1400668E7	-2397.0	-54.451219512195124	73.07926829268294	1786.0	4051.2820512820513	2765.0	5.511961722488038	-2304.0	3184.0	-1.38755980861244	97.61073780315769	4781952.0	7.617224880382775	580.0	
2114.0	7.423913043478261	1.5108695652173914	1570.0	1685.0	6.173913043478261	-0.29235382308845576	195.0	387.0	-0.15142428785607195	68.359375	-101.0	-0.5802098950524738	26.982159406418212	32768.0	52.43902439024391	-1720.0	347930.5419921875	1.1400988E7	-3229.0	-27.012195121951223	98.44512195121952	886.0	4038.095238095238	2756.0	4.526315789473684	-1892.0	2584.0	-0.7368421052631579	97.6004205984515	4782976.0	6.181818181818182	308.0	
2006.0	7.1521739130434785	2.684782608695652	1595.0	1700.0	6.010869565217392	-0.29235382308845576	195.0	387.0	-0.15142428785607195	78.125	-101.0	-0.5802098950524738	26.982159406418212	32768.0	46.82926829268293	-1536.0	347940.3076171875	1.1401308E7	-3626.0	-23.628048780487806	110.54878048780489	775.0	4020.5128205128203	2744.0	4.2105263157894735	-1760.0	2512.0	0.7177033492822966	97.6004205984515	4782976.0	6.00956937799043	-300.0	
1902.0	7.304347826086956	3.8152173913043477	1581.0	1694.0	6.076086956521739	-0.29685157421289354	198.0	380.0	-0.15142428785607195	87.890625	-101.0	-0.5697151424287856	26.982159406418212	32768.0	39.207317073170735	-1286.0	347950.0732421875	1.1401628E7	-4318.0	-55.213414634146346	131.64634146341464	1811.0	4021.978021978022	2745.0	3.9808612440191387	-1664.0	2604.0	1.9808612440191387	97.6004205984515	4782976.0	6.229665071770334	-828.0	
1876.0	7.5	4.0978260869565215	1563.0	1758.0	5.380434782608695	-0.31334332833583206	209.0	378.0	-0.1394302848575712	97.65625	-93.0	-0.5667166416791604	26.982159406418212	32768.0	37.04268292682927	-1215.0	347959.8388671875	1.1401948E7	-5602.0	-105.15243902439025	170.7926829268293	3449.0	4029.3040293040294	2750.0	3.1004784688995213	-1296.0	2652.0	2.0574162679425836	97.6004205984515	4782976.0	6.344497607655502	-860.0	
1960.0	7.576086956521739	3.184782608695652	1556.0	1820.0	4.706521739130435	-0.32233883058470764	215.0	373.0	-0.12593703148425786	107.421875	-84.0	-0.5592203898050975	26.982159406418212	32768.0	36.707317073170735	-1204.0	347969.6044921875	1.1402268E7	-6718.0	-121.64634146341464	204.81707317073173	3990.0	4046.8864468864467	2762.0	2.7464114832535884	-1148.0	2652.0	1.464114832535885	97.6004205984515	4782976.0	6.344497607655502	-612.0	
2081.0	7.58695652173913	1.8695652173913042	1555.0	1807.0	4.8478260869565215	-0.3193403298350824	213.0	358.0	-0.1199400299850075	117.1875	-80.0	-0.5367316341829085	26.982159406418212	32768.0	37.957317073170735	-1245.0	347979.3701171875	1.1402588E7	-7759.0	-126.64634146341464	236.55487804878052	4154.0	4048.3516483516482	2763.0	2.9665071770334928	-1240.0	2664.0	0.03827751196172249	97.59219910223604	4783792.0	6.373205741626794	-16.0	
2196.0	7.195652173913043	0.6195652173913043	1591.0	1817.0	4.739130434782608	-0.35082458770614694	234.0	353.0	-0.10344827586206896	126.953125	-69.0	-0.5292353823088456	26.982159406418212	32768.0	39.268292682926834	-1288.0	347989.1357421875	1.1402908E7	-9016.0	-122.19512195121952	274.8780487804878	4008.0	4049.8168498168498	2764.0	2.9473684210526314	-1232.0	2548.0	-1.588516746411483	97.59219910223604	4783792.0	6.095693779904306	664.0	
