Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	deg/s	no_units	deg/s	no_units	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
-7.021739130434782	2002.0	2.7282608695652173	2899.0	2239.0	0.15217391304347827	86.0	-0.12893553223388304	165.0	0.6656671664167916	9.765625	-0.24737631184407796	444.0	26.982159406418212	32768.0	-223.26219512195124	7323.0	5223816.0	159418.212890625	185.91463414634148	-2798.0	85.3048780487805	-6098.0	4027.838827838828	2749.0	752.0	-1.7990430622009568	-4072.0	0.5837320574162679	0.0	146.19119890832485	-9.741626794258373	-244.0	
-6.206521739130435	2018.0	2.5543478260869565	2824.0	2231.0	0.2391304347826087	89.0	-0.13343328335832083	153.0	0.6626686656671664	19.53125	-0.22938530734632684	442.0	26.982159406418212	32768.0	-213.87195121951223	7015.0	5224136.0	159427.978515625	192.34756097560978	-2974.0	90.67073170731709	-6309.0	4033.6996336996335	2753.0	764.0	-1.8277511961722488	-3740.0	0.43062200956937796	4788144.0	97.54835151615802	-8.947368421052632	-180.0	
-5.380434782608695	2045.0	2.260869565217391	2748.0	2191.0	0.6739130434782609	89.0	-0.13343328335832083	145.0	0.6551724137931034	29.296875	-0.21739130434782608	437.0	26.982159406418212	32768.0	-203.1707317073171	6664.0	5224456.0	159437.744140625	193.2926829268293	-3304.0	100.73170731707317	-6340.0	4038.095238095238	2756.0	572.0	-1.368421052631579	-3324.0	0.009569377990430622	4788144.0	97.54835151615802	-7.952153110047846	-4.0	
-4.663043478260869	2088.0	1.7934782608695652	2682.0	2195.0	0.6304347826086957	90.0	-0.13493253373313344	144.0	0.6551724137931034	39.0625	-0.21589205397301348	437.0	26.982159406418212	32768.0	-189.93902439024393	6230.0	5224776.0	159447.509765625	205.88414634146343	-3140.0	95.73170731707317	-6753.0	4019.047619047619	2743.0	532.0	-1.2727272727272727	-2944.0	-0.5358851674641149	4788144.0	97.54835151615802	-7.043062200956937	224.0	
-3.9239130434782608	2132.0	1.315217391304348	2614.0	2168.0	0.9239130434782609	90.0	-0.13493253373313344	144.0	0.6551724137931034	48.828125	-0.21589205397301348	437.0	26.982159406418212	32768.0	-171.3719512195122	5621.0	5225096.0	159457.275390625	221.9817073170732	-3162.0	96.40243902439025	-7281.0	4043.9560439560437	2760.0	420.0	-1.0047846889952152	-2648.0	-1.0430622009569377	4788144.0	97.54835151615802	-6.3349282296650715	436.0	
-3.641304347826087	2176.0	0.8369565217391304	2588.0	2145.0	1.1739130434782608	89.0	-0.13343328335832083	136.0	0.6446776611694153	58.59375	-0.20389805097451275	430.0	26.982159406418212	32768.0	-148.32317073170734	4865.0	5225416.0	159467.041015625	229.14634146341464	-3194.0	97.37804878048782	-7516.0	4027.838827838828	2749.0	336.0	-0.8038277511961722	-2548.0	-1.6363636363636362	4788144.0	97.54835151615802	-6.095693779904306	684.0	
-3.8043478260869565	2211.0	0.45652173913043476	2603.0	2147.0	1.1521739130434783	89.0	-0.13343328335832083	136.0	0.6446776611694153	68.359375	-0.20389805097451275	430.0	26.982159406418212	32768.0	-122.65243902439026	4023.0	5225736.0	159476.806640625	234.45121951219514	-3190.0	97.25609756097562	-7690.0	4020.5128205128203	2744.0	368.0	-0.8803827751196172	-2632.0	-2.0095693779904304	4789136.0	97.53835693860754	-6.296650717703349	840.0	
