Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2597.0	-2.152173913043478	-3.7391304347826084	2451.0	8.195652173913043	1499.0	-0.45577211394302847	304.0	179.0	0.4512743628185907	9.765625	-0.26836581709145424	301.0	32768.0	26.982159406418212	253.0	-7.713414634146342	1087661.0	33192.779541015625	5455.0	-23.353658536585368	766.0	-166.3109756097561	2738.0	4011.7216117216117	-2796.0	6.688995215311005	-1812.0	-6.574162679425837	0.0	146.19119890832485	2748.0	-4.3349282296650715	
2591.0	-1.6195652173913042	-3.6739130434782608	2402.0	7.913043478260869	1525.0	-0.45727136431784104	305.0	179.0	0.4257871064467766	19.53125	-0.26836581709145424	284.0	32768.0	26.982159406418212	255.0	-7.77439024390244	1087981.0	33202.545166015625	5566.0	-20.884146341463417	685.0	-169.69512195121953	2752.0	4032.234432234432	-2656.0	6.354066985645932	-1572.0	-6.602870813397129	4779776.0	97.6326619850586	2760.0	-3.7607655502392343	
2601.0	-1.4891304347826086	-3.782608695652174	2390.0	7.978260869565217	1519.0	-0.4467766116941529	298.0	178.0	0.416791604197901	29.296875	-0.26686656671664166	278.0	32768.0	26.982159406418212	219.0	-6.676829268292684	1088301.0	33212.310791015625	5490.0	-18.201219512195124	597.0	-167.37804878048783	2732.0	4002.930402930403	-2652.0	6.344497607655502	-1476.0	-6.698564593301435	4779776.0	97.6326619850586	2800.0	-3.5311004784688995	
2621.0	-1.7391304347826086	-4.0	2413.0	7.956521739130435	1521.0	-0.46026986506746626	307.0	172.0	0.4017991004497751	39.0625	-0.2578710644677661	268.0	32768.0	26.982159406418212	76.0	-2.3170731707317076	1088621.0	33222.076416015625	5502.0	-19.634146341463417	644.0	-167.7439024390244	2740.0	4014.6520146520147	-2660.0	6.363636363636363	-1588.0	-6.956937799043062	4779776.0	97.6326619850586	2908.0	-3.799043062200957	
2634.0	-1.9456521739130435	-4.141304347826087	2432.0	7.619565217391304	1552.0	-0.4587706146926537	306.0	176.0	0.3823088455772114	48.828125	-0.2638680659670165	255.0	32768.0	26.982159406418212	118.0	-3.5975609756097566	1088941.0	33231.842041015625	5203.0	-16.219512195121954	532.0	-158.62804878048783	2739.0	4013.186813186813	-2512.0	6.00956937799043	-1704.0	-7.033492822966507	4779776.0	97.6326619850586	2940.0	-4.0765550239234445	
2607.0	-1.5	-3.8478260869565215	2391.0	7.902173913043478	1526.0	-0.4587706146926537	306.0	176.0	0.3823088455772114	58.59375	-0.2638680659670165	255.0	32768.0	26.982159406418212	747.0	-22.77439024390244	1089261.0	33241.607666015625	4367.0	-9.756097560975611	320.0	-133.14024390243904	2744.0	4020.5128205128203	-2604.0	6.229665071770334	-1428.0	-6.77511961722488	4779776.0	97.6326619850586	2832.0	-3.416267942583732	
2583.0	0.17391304347826086	-3.5869565217391304	2237.0	7.956521739130435	1521.0	-0.46476761619190404	310.0	172.0	0.3568215892053973	68.359375	-0.2578710644677661	238.0	32768.0	26.982159406418212	711.0	-21.676829268292686	1089581.0	33251.373291015625	3493.0	-10.823170731707318	355.0	-106.4939024390244	2748.0	4026.3736263736264	-2620.0	6.267942583732057	-632.0	-6.526315789473684	4781008.0	97.62024900876938	2728.0	-1.5119617224880382	
