Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	deg/s	no_units	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
1941.0	-6.065217391304348	2811.0	3.391304347826087	1574.0	7.380434782608695	-0.2908545727136432	194.0	437.0	0.43928035982008995	9.765625	-0.6551724137931034	293.0	32768.0	26.982159406418212	36.28048780487805	-1190.0	1.0684773E7	326073.3947753906	111.52439024390245	275.0	-8.384146341463415	-3658.0	2735.0	4007.326007326007	-2396.0	5.732057416267942	1.2918660287081338	-3512.0	0.0	146.19119890832485	-8.401913875598085	-540.0	
1870.0	-6.217391304347826	2825.0	4.163043478260869	1556.0	7.576086956521739	-0.2893553223388306	193.0	446.0	0.42728635682158916	19.53125	-0.6686656671664167	285.0	32768.0	26.982159406418212	28.53658536585366	-936.0	1.0685093E7	326083.1604003906	93.38414634146342	621.0	-18.932926829268293	-3063.0	2742.0	4017.5824175824173	-2452.0	5.866028708133971	2.248803827751196	-3588.0	4778128.0	97.64926643902838	-8.583732057416267	-940.0	
1826.0	-6.108695652173913	2815.0	4.641304347826087	1585.0	7.260869565217391	-0.2893553223388306	193.0	453.0	0.4257871064467766	29.296875	-0.6791604197901049	284.0	32768.0	26.982159406418212	9.878048780487806	-324.0	1.0685413E7	326092.9260253906	75.0609756097561	1062.0	-32.37804878048781	-2462.0	2746.0	4023.4432234432234	-2320.0	5.55023923444976	2.889952153110048	-3508.0	4778128.0	97.64926643902838	-8.392344497607656	-1208.0	
1858.0	-5.83695652173913	2790.0	4.293478260869565	1637.0	6.695652173913043	-0.2818590704647676	188.0	446.0	0.4212893553223388	39.0625	-0.6686656671664167	281.0	32768.0	26.982159406418212	-1.7987804878048783	59.0	1.0685733E7	326102.6916503906	67.13414634146342	1336.0	-40.73170731707317	-2202.0	2744.0	4020.5128205128203	-2120.0	5.071770334928229	2.478468899521531	-3396.0	4778128.0	97.64926643902838	-8.124401913875598	-1036.0	
1945.0	-5.032608695652174	2716.0	3.3478260869565215	1636.0	6.706521739130435	-0.2848575712143928	190.0	450.0	0.424287856071964	48.828125	-0.6746626686656672	283.0	32768.0	26.982159406418212	-0.5487804878048781	18.0	1.0686053E7	326112.4572753906	71.58536585365854	1382.0	-42.13414634146342	-2348.0	2747.0	4024.908424908425	-2144.0	5.1291866028708135	1.4066985645933014	-3088.0	4778128.0	97.64926643902838	-7.38755980861244	-588.0	
2001.0	-4.663043478260869	2682.0	2.7391304347826084	1592.0	7.184782608695652	-0.2848575712143928	190.0	450.0	0.424287856071964	58.59375	-0.6746626686656672	283.0	32768.0	26.982159406418212	8.902439024390246	-292.0	1.0686373E7	326122.2229003906	78.96341463414635	1291.0	-39.35975609756098	-2590.0	2733.0	4004.3956043956046	-2356.0	5.636363636363636	0.7559808612440191	-2928.0	4778128.0	97.64926643902838	-7.0047846889952154	-316.0	
1959.0	-4.869565217391305	2701.0	3.1956521739130435	1578.0	7.33695652173913	-0.2833583208395802	189.0	457.0	0.416791604197901	68.359375	-0.6851574212893553	278.0	32768.0	26.982159406418212	21.06707317073171	-691.0	1.0686693E7	326131.9885253906	82.37804878048782	820.0	-25.000000000000004	-2702.0	2733.0	4004.3956043956046	-2432.0	5.818181818181818	1.2248803827751196	-3072.0	4779200.0	97.63846547272378	-7.349282296650717	-512.0	
1917.0	-5.1521739130434785	2727.0	3.652173913043478	1548.0	7.663043478260869	-0.2833583208395802	189.0	457.0	0.416791604197901	78.125	-0.6851574212893553	278.0	32768.0	26.982159406418212	30.365853658536587	-996.0	1.0687013E7	326141.7541503906	87.07317073170732	701.0	-21.371951219512198	-2856.0	2746.0	4023.4432234432234	-2580.0	6.172248803827751	1.7990430622009568	-3180.0	4779200.0	97.63846547272378	-7.607655502392344	-752.0	
1916.0	-5.9021739130434785	2796.0	3.6630434782608696	1531.0	7.8478260869565215	-0.27436281859070466	183.0	455.0	0.4122938530734633	87.890625	-0.6821589205397302	275.0	32768.0	26.982159406418212	43.90243902439025	-1440.0	1.0687333E7	326151.5197753906	90.0609756097561	826.0	-25.182926829268293	-2954.0	2744.0	4020.5128205128203	-2624.0	6.277511961722488	1.7416267942583732	-3564.0	4779200.0	97.63846547272378	-8.526315789473683	-728.0	
1915.0	-6.380434782608695	2840.0	3.6739130434782608	1558.0	7.554347826086956	-0.27586206896551724	184.0	470.0	0.40929535232383807	97.65625	-0.704647676161919	273.0	32768.0	26.982159406418212	49.11585365853659	-1611.0	1.0687653E7	326161.2854003906	88.84146341463415	1067.0	-32.53048780487805	-2914.0	2739.0	4013.186813186813	-2480.0	5.9330143540669855	1.8086124401913874	-3688.0	4779200.0	97.63846547272378	-8.822966507177034	-756.0	
1903.0	-5.739130434782608	2781.0	3.8043478260869565	1579.0	7.326086956521739	-0.27136431784107945	181.0	476.0	0.4032983508245877	107.421875	-0.7136431784107946	269.0	32768.0	26.982159406418212	54.81707317073171	-1798.0	1.0687973E7	326171.0510253906	87.5609756097561	1365.0	-41.61585365853659	-2872.0	2749.0	4027.838827838828	-2404.0	5.751196172248804	1.9043062200956937	-3556.0	4779200.0	97.63846547272378	-8.507177033492823	-796.0	
1894.0	-4.6521739130434785	2681.0	3.902173913043478	1593.0	7.173913043478261	-0.2623688155922039	175.0	476.0	0.41079460269865065	117.1875	-0.7136431784107946	274.0	32768.0	26.982159406418212	53.26219512195122	-1747.0	1.0688293E7	326180.8166503906	80.0609756097561	1543.0	-47.04268292682927	-2626.0	2740.0	4014.6520146520147	-2300.0	5.502392344497608	2.028708133971292	-3020.0	4780064.0	97.62976024558215	-7.224880382775119	-848.0	
