Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
819.0	-0.45652173913043476	2295.0	15.58695652173913	2262.0	-0.09782608695652173	-10.0	0.014992503748125937	543.0	0.4287856071964018	9.765625	286.0	-0.8140929535232384	32768.0	26.982159406418212	2.1341463414634148	-70.0	1.2963995E7	395629.7302246094	-1828.0	2.7439024390243905	-90.0	55.73170731707317	4024.908424908425	2747.0	908.0	-2.172248803827751	-928.0	15.062200956937799	0.0	146.19119890832485	-6296.0	-2.2200956937799043	
803.0	-0.717391304347826	2319.0	15.76086956521739	2270.0	-0.18478260869565216	-9.0	0.013493253373313342	539.0	0.43478260869565216	19.53125	290.0	-0.808095952023988	32768.0	26.982159406418212	0.15243902439024393	-5.0	1.2964315E7	395639.4958496094	-1218.0	-8.109756097560977	266.0	37.13414634146342	4020.5128205128203	2744.0	920.0	-2.200956937799043	-1080.0	15.330143540669855	4784352.0	97.58655691244059	-6408.0	-2.5837320574162677	
829.0	-0.8913043478260869	2335.0	15.478260869565217	2296.0	-0.46739130434782605	-15.0	0.022488755622188904	538.0	0.42728635682158916	29.296875	285.0	-0.8065967016491754	32768.0	26.982159406418212	0.9756097560975611	-32.0	1.2964635E7	395649.2614746094	-334.0	-11.341463414634147	372.0	10.182926829268293	4014.6520146520147	2740.0	1016.0	-2.430622009569378	-1208.0	15.033492822966506	4784352.0	97.58655691244059	-6284.0	-2.889952153110048	
866.0	-0.9347826086956521	2339.0	15.076086956521738	2296.0	-0.46739130434782605	-10.0	0.014992503748125937	536.0	0.4287856071964018	39.0625	286.0	-0.8035982008995503	32768.0	26.982159406418212	1.3719512195121952	-45.0	1.2964955E7	395659.0270996094	374.0	-15.914634146341465	522.0	-11.402439024390246	4017.5824175824173	2742.0	1048.0	-2.5071770334928227	-1232.0	14.583732057416267	4784352.0	97.58655691244059	-6096.0	-2.9473684210526314	
900.0	-0.34782608695652173	2285.0	14.706521739130434	2245.0	0.08695652173913043	-10.0	0.014992503748125937	536.0	0.4287856071964018	48.828125	286.0	-0.8035982008995503	32768.0	26.982159406418212	6.585365853658537	-216.0	1.2965275E7	395668.7927246094	546.0	-20.121951219512198	660.0	-16.646341463414636	4002.930402930403	2732.0	804.0	-1.9234449760765548	-924.0	14.143540669856458	4784352.0	97.58655691244059	-5912.0	-2.2105263157894735	
947.0	0.8369565217391304	2176.0	14.195652173913043	2210.0	0.46739130434782605	-6.0	0.008995502248875561	538.0	0.424287856071964	58.59375	283.0	-0.8065967016491754	32768.0	26.982159406418212	13.109756097560977	-430.0	1.2965595E7	395678.5583496094	405.0	-16.890243902439025	554.0	-12.347560975609758	4033.6996336996335	2753.0	612.0	-1.464114832535885	-400.0	13.511961722488039	4784352.0	97.58655691244059	-5648.0	-0.9569377990430622	
988.0	1.6956521739130435	2097.0	13.75	2190.0	0.6847826086956521	-6.0	0.008995502248875561	538.0	0.424287856071964	68.359375	283.0	-0.8065967016491754	32768.0	26.982159406418212	12.713414634146343	-417.0	1.2965915E7	395688.3239746094	33.0	-14.786585365853659	485.0	-1.0060975609756098	4024.908424908425	2747.0	568.0	-1.3588516746411483	64.0	12.976076555023923	4785120.0	97.57881907000451	-5424.0	0.15311004784688995	
