Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	deg/s	no_units	ms	Ticks	deg/s	no_units	deg/s	no_units	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
-0.5434782608695652	1261.0	2303.0	10.782608695652174	2073.0	1.9565217391304348	109.0	-0.1634182908545727	556.0	0.3088455772113943	9.765625	-0.833583208395802	206.0	32768.0	26.982159406418212	-4.817073170731708	158.0	302903.5949707031	9925545.0	1.2804878048780488	43.0	-1.3109756097560976	-42.0	2724.0	3991.2087912087914	0.11483253588516745	-48.0	-1024.0	9.703349282296651	0.0	146.19119890832485	-4056.0	-2.449760765550239	
-0.5217391304347826	1256.0	2301.0	10.83695652173913	2073.0	1.9565217391304348	117.0	-0.17541229385307347	562.0	0.3193403298350824	19.53125	-0.8425787106446776	213.0	32768.0	26.982159406418212	-5.640243902439025	185.0	302913.3605957031	9925865.0	1.1585365853658538	57.0	-1.7378048780487807	-38.0	2739.0	4013.186813186813	0.09569377990430622	-40.0	-1012.0	9.760765550239235	4790976.0	97.51981870050362	-4080.0	-2.4210526315789473	
-0.5217391304347826	1256.0	2301.0	10.83695652173913	2069.0	2.0	119.0	-0.17841079460269865	564.0	0.3148425787106447	29.296875	-0.8455772113943029	210.0	32768.0	26.982159406418212	-6.250000000000001	205.0	302923.1262207031	9926185.0	1.2195121951219514	72.0	-2.1951219512195124	-40.0	2747.0	4024.908424908425	0.10526315789473684	-44.0	-1016.0	9.799043062200957	4790976.0	97.51981870050362	-4096.0	-2.430622009569378	
-0.5	1251.0	2299.0	10.891304347826086	2074.0	1.9456521739130435	112.0	-0.1679160419790105	553.0	0.31784107946026985	39.0625	-0.8290854572713643	212.0	32768.0	26.982159406418212	-6.798780487804879	223.0	302932.8918457031	9926505.0	1.2195121951219514	76.0	-2.3170731707317076	-40.0	2720.0	3985.3479853479853	0.1339712918660287	-56.0	-1012.0	9.85645933014354	4790976.0	97.51981870050362	-4120.0	-2.4210526315789473	
-0.5869565217391304	1244.0	2307.0	10.967391304347826	2066.0	2.032608695652174	115.0	-0.17241379310344826	562.0	0.31334332833583206	48.828125	-0.8425787106446776	209.0	32768.0	26.982159406418212	-7.652439024390245	251.0	302942.6574707031	9926825.0	1.2195121951219514	71.0	-2.164634146341464	-40.0	2732.0	4002.930402930403	0.12440191387559808	-52.0	-1008.0	9.84688995215311	4790976.0	97.51981870050362	-4116.0	-2.4114832535885165	
-0.46739130434782605	1253.0	2296.0	10.869565217391305	2070.0	1.9891304347826086	115.0	-0.17241379310344826	562.0	0.31334332833583206	58.59375	-0.8425787106446776	209.0	32768.0	26.982159406418212	-8.719512195121952	286.0	302952.4230957031	9927145.0	1.4329268292682928	71.0	-2.164634146341464	-47.0	2719.0	3983.8827838827838	0.14354066985645933	-60.0	-1000.0	9.84688995215311	4790976.0	97.51981870050362	-4116.0	-2.3923444976076556	
-0.4891304347826087	1247.0	2298.0	10.934782608695652	2070.0	1.9891304347826086	117.0	-0.17541229385307347	554.0	0.3073463268365817	68.359375	-0.8305847076461769	205.0	32768.0	26.982159406418212	-9.146341463414634	300.0	302962.1887207031	9927465.0	1.5243902439024393	65.0	-1.981707317073171	-50.0	2732.0	4002.930402930403	0.1339712918660287	-56.0	-988.0	9.818181818181818	4792080.0	97.50869581454	-4104.0	-2.3636363636363638	
