Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
1688.0	-15.043478260869565	3637.0	6.141304347826087	1928.0	3.532608695652174	129.0	-0.1934032983508246	0.5787106446776612	337.0	9.765625	386.0	-0.505247376311844	32768.0	26.982159406418212	-187.9878048780488	6166.0	1.553041E7	473950.50048828125	1163.0	-56.737804878048784	-35.457317073170735	1861.0	2691.0	3942.857142857143	-768.0	1.8373205741626792	4.7272727272727275	-7480.0	146.19119890832485	0.0	-1976.0	-17.894736842105264	
1733.0	-15.369565217391305	3667.0	5.6521739130434785	1952.0	3.2717391304347827	121.0	-0.18140929535232383	0.5937031484257871	324.0	19.53125	396.0	-0.48575712143928035	32768.0	26.982159406418212	-199.4207317073171	6541.0	1.553073E7	473960.26611328125	922.0	-54.35975609756098	-28.10975609756098	1783.0	2711.0	3972.161172161172	-636.0	1.5215311004784688	4.114832535885167	-7696.0	98.0465120146665	4738704.0	-1720.0	-18.411483253588518	
1812.0	-15.576086956521738	3686.0	4.793478260869565	1950.0	3.293478260869565	124.0	-0.18590704647676162	0.5982008995502248	315.0	29.296875	399.0	-0.472263868065967	32768.0	26.982159406418212	-214.90853658536588	7049.0	1.553105E7	473970.03173828125	1150.0	-52.31707317073171	-35.0609756097561	1716.0	2682.0	3929.6703296703295	-668.0	1.5980861244019138	3.215311004784689	-7812.0	98.0465120146665	4738704.0	-1344.0	-18.688995215311003	
1914.0	-15.152173913043478	3647.0	3.684782608695652	1938.0	3.4239130434782608	138.0	-0.20689655172413793	0.6011994002998501	299.0	39.0625	401.0	-0.4482758620689655	32768.0	26.982159406418212	-227.31707317073173	7456.0	1.553137E7	473979.79736328125	1711.0	-49.176829268292686	-52.16463414634147	1613.0	2689.0	3939.92673992674	-724.0	1.7320574162679425	1.8086124401913874	-7648.0	98.0465120146665	4738704.0	-756.0	-18.296650717703347	
1953.0	-14.41304347826087	3579.0	3.260869565217391	1898.0	3.858695652173913	140.0	-0.2098950524737631	0.5832083958020989	284.0	48.828125	389.0	-0.4257871064467766	32768.0	26.982159406418212	-234.5426829268293	7693.0	1.553169E7	473989.56298828125	2389.0	-47.5609756097561	-72.83536585365854	1560.0	2696.0	3950.1831501831502	-892.0	2.1339712918660285	1.1674641148325358	-7252.0	98.0465120146665	4738704.0	-488.0	-17.349282296650717	
1988.0	-13.217391304347826	3469.0	2.880434782608696	1873.0	4.130434782608695	137.0	-0.20539730134932532	0.5937031484257871	278.0	58.59375	396.0	-0.416791604197901	32768.0	26.982159406418212	-243.84146341463418	7998.0	1.553201E7	473999.32861328125	2957.0	-46.493902439024396	-90.15243902439025	1525.0	2682.0	3929.6703296703295	-1032.0	2.4688995215311005	0.9282296650717703	-6740.0	98.0465120146665	4738704.0	-388.0	-16.124401913875598	
2023.0	-11.945652173913043	3352.0	2.5	1843.0	4.456521739130435	143.0	-0.2143928035982009	0.5832083958020989	259.0	68.359375	389.0	-0.38830584707646176	32768.0	26.982159406418212	-255.12195121951223	8368.0	1.553233E7	474009.09423828125	3218.0	-48.78048780487806	-98.10975609756099	1600.0	2698.0	3953.1135531135533	-1152.0	2.755980861244019	0.2679425837320574	-6164.0	98.03474218737225	4739872.0	-112.0	-14.746411483253588	
