Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
3.293478260869565	2447.0	1950.0	-2.108695652173913	3.793478260869565	1904.0	190.0	-0.2848575712143928	42.0	0.19640179910044978	9.765625	-0.06296851574212893	131.0	26.982159406418212	32768.0	-100.09146341463415	3283.0	1.2251282E7	373879.45556640625	-419.0	10.03048780487805	-329.0	12.77439024390244	3934.065934065934	2685.0	1.9617224880382775	-820.0	640.0	-4.698564593301435	0.0	146.19119890832485	1.5311004784688995	1964.0	
2.8478260869565215	2453.0	1991.0	-2.1739130434782608	4.021739130434782	1883.0	189.0	-0.2833583208395802	41.0	0.1934032983508246	19.53125	-0.06146926536731634	129.0	26.982159406418212	32768.0	-86.58536585365854	2840.0	1.2251602E7	373889.22119140625	-362.0	10.335365853658537	-339.0	11.036585365853659	3958.9743589743593	2702.0	2.1818181818181817	-912.0	452.0	-4.918660287081339	4769200.0	97.73922231838358	1.0813397129186602	2056.0	
2.7282608695652173	2477.0	2002.0	-2.4347826086956523	3.8043478260869565	1903.0	188.0	-0.2818590704647676	44.0	0.19490254872563717	29.296875	-0.06596701649175413	130.0	26.982159406418212	32768.0	-74.57317073170732	2446.0	1.2251922E7	373898.98681640625	-235.0	10.579268292682928	-347.0	7.164634146341464	3944.3223443223446	2692.0	1.894736842105263	-792.0	372.0	-5.215311004784689	4769200.0	97.73922231838358	0.8899521531100478	2180.0	
2.7282608695652173	2490.0	2002.0	-2.5760869565217392	4.467391304347826	1842.0	186.0	-0.2788605697151424	45.0	0.191904047976012	39.0625	-0.06746626686656672	128.0	26.982159406418212	32768.0	-59.96951219512196	1967.0	1.2252242E7	373908.75244140625	-263.0	8.810975609756099	-289.0	8.01829268292683	3941.3919413919416	2690.0	2.574162679425837	-1076.0	348.0	-5.483253588516746	4769200.0	97.73922231838358	0.8325358851674641	2292.0	
3.793478260869565	2512.0	1904.0	-2.8152173913043477	5.065217391304348	1787.0	187.0	-0.280359820089955	45.0	0.17841079460269865	48.828125	-0.06746626686656672	119.0	26.982159406418212	32768.0	-41.98170731707317	1377.0	1.2252562E7	373918.51806640625	-440.0	5.3048780487804885	-174.0	13.414634146341465	3942.857142857143	2691.0	3.2248803827751193	-1348.0	872.0	-5.69377990430622	4769200.0	97.73922231838358	2.0861244019138754	2380.0	
4.228260869565217	2566.0	1864.0	-3.402173913043478	5.663043478260869	1732.0	187.0	-0.280359820089955	45.0	0.17841079460269865	58.59375	-0.06746626686656672	119.0	26.982159406418212	32768.0	-30.51829268292683	1001.0	1.2252882E7	373928.28369140625	-824.0	2.0121951219512195	-66.0	25.121951219512198	3938.4615384615386	2688.0	3.818181818181818	-1596.0	1128.0	-6.354066985645932	4769200.0	97.73922231838358	2.6985645933014353	2656.0	
3.3804347826086953	2616.0	1942.0	-3.9456521739130435	5.978260869565217	1703.0	188.0	-0.2818590704647676	43.0	0.17841079460269865	68.359375	-0.06446776611694152	119.0	26.982159406418212	32768.0	-27.164634146341466	891.0	1.2253202E7	373938.04931640625	-1055.0	-1.2804878048780488	42.0	32.16463414634146	3964.835164835165	2706.0	4.0669856459330145	-1700.0	688.0	-6.976076555023923	4770096.0	97.73019436220987	1.645933014354067	2916.0	
2.510869565217391	2650.0	2022.0	-4.315217391304348	5.891304347826087	1711.0	188.0	-0.2818590704647676	43.0	0.17841079460269865	78.125	-0.06446776611694152	119.0	26.982159406418212	32768.0	-20.57926829268293	675.0	1.2253522E7	373947.81494140625	-984.0	-3.4451219512195124	113.0	30.000000000000004	3963.3699633699634	2705.0	4.0669856459330145	-1700.0	252.0	-7.4066985645933014	4770096.0	97.73019436220987	0.6028708133971291	3096.0	
