Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
804.0	-12.043478260869565	3361.0	15.75	3.793478260869565	1904.0	88.0	-0.13193403298350825	0.6446776611694153	397.0	9.765625	430.0	-0.5952023988005997	26.982159406418212	32768.0	11551.0	-352.1646341463415	5917673.0	180593.04809570312	767.0	-51.554878048780495	-23.384146341463417	1691.0	3951.6483516483518	2697.0	2.1339712918660285	-892.0	15.157894736842104	-6236.0	0.0	146.19119890832485	-14.91866028708134	-6336.0	
781.0	-11.945652173913043	3352.0	16.0	4.054347826086956	1880.0	80.0	-0.1199400299850075	0.656671664167916	376.0	19.53125	438.0	-0.5637181409295352	26.982159406418212	32768.0	11949.0	-364.2987804878049	5917993.0	180602.81372070312	1235.0	-53.50609756097561	-37.65243902439025	1755.0	3922.3443223443223	2677.0	2.3827751196172247	-996.0	15.454545454545453	-6168.0	4780912.0	97.62121625176584	-14.75598086124402	-6460.0	
779.0	-11.478260869565217	3309.0	16.02173913043478	4.489130434782608	1840.0	90.0	-0.13493253373313344	0.6596701649175412	357.0	29.296875	440.0	-0.5352323838080959	26.982159406418212	32768.0	12335.0	-376.06707317073176	5918313.0	180612.57934570312	1382.0	-61.06707317073171	-42.13414634146342	2003.0	3942.857142857143	2691.0	2.8421052631578947	-1188.0	15.511961722488037	-5956.0	4780912.0	97.62121625176584	-14.248803827751196	-6484.0	
808.0	-11.891304347826086	3347.0	15.706521739130434	4.510869565217392	1838.0	89.0	-0.13343328335832083	0.6686656671664167	337.0	39.0625	446.0	-0.505247376311844	26.982159406418212	32768.0	12742.0	-388.4756097560976	5918633.0	180622.34497070312	1716.0	-66.79878048780489	-52.31707317073171	2191.0	3915.0183150183148	2672.0	2.909090909090909	-1216.0	15.081339712918659	-6128.0	4780912.0	97.62121625176584	-14.660287081339712	-6304.0	
845.0	-12.119565217391305	3368.0	15.304347826086957	4.054347826086956	1880.0	97.0	-0.1454272863568216	0.6761619190404797	313.0	48.828125	451.0	-0.46926536731634183	26.982159406418212	32768.0	13023.0	-397.0426829268293	5918953.0	180632.11059570312	2343.0	-71.18902439024392	-71.4329268292683	2335.0	3931.135531135531	2683.0	2.526315789473684	-1056.0	14.698564593301434	-6304.0	4780912.0	97.62121625176584	-15.081339712918659	-6144.0	
896.0	-11.282608695652174	3291.0	14.75	3.4130434782608696	1939.0	97.0	-0.1454272863568216	0.6761619190404797	313.0	58.59375	451.0	-0.46926536731634183	26.982159406418212	32768.0	13229.0	-403.32317073170736	5919273.0	180641.87622070312	2817.0	-74.1158536585366	-85.88414634146342	2431.0	3917.948717948718	2674.0	1.8181818181818181	-760.0	14.0	-5980.0	4780912.0	97.62121625176584	-14.30622009569378	-5852.0	
975.0	-9.73913043478261	3149.0	13.891304347826086	3.0869565217391304	1969.0	105.0	-0.15742128935532235	0.6761619190404797	287.0	68.359375	451.0	-0.4302848575712144	26.982159406418212	32768.0	13391.0	-408.26219512195127	5919593.0	180651.64184570312	2840.0	-75.82317073170732	-86.58536585365854	2487.0	3898.901098901099	2661.0	1.464114832535885	-612.0	12.985645933014354	-5192.0	4781840.0	97.61186624964978	-12.421052631578947	-5428.0	
