Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
1754.0	-3.032608695652174	5.423913043478261	2532.0	2036.0	2.358695652173913	159.0	-0.2383808095952024	436.0	0.4737631184407796	9.765625	316.0	-0.6536731634182908	26.982159406418212	32768.0	-2536.0	77.31707317073172	6840866.0	208766.66259765625	7268.0	-3.8719512195121957	-221.58536585365854	127.0	2674.0	3917.948717948718	-204.0	0.4880382775119617	-2176.0	3.6555023923444976	146.19119890832485	0.0	-1528.0	-5.205741626794258	
1733.0	-2.760869565217391	5.6521739130434785	2507.0	2017.0	2.5652173913043477	161.0	-0.24137931034482757	442.0	0.46326836581709147	19.53125	309.0	-0.6626686656671664	26.982159406418212	32768.0	-2699.0	82.28658536585367	6841186.0	208776.42822265625	7463.0	-0.5182926829268293	-227.53048780487808	17.0	2690.0	3941.3919413919416	-296.0	0.708133971291866	-2108.0	3.942583732057416	97.6129946965811	4781728.0	-1648.0	-5.043062200956937	
1705.0	-2.641304347826087	5.956521739130435	2496.0	1999.0	2.760869565217391	174.0	-0.2608695652173913	446.0	0.43928035982008995	29.296875	293.0	-0.6686656671664167	26.982159406418212	32768.0	-2906.0	88.59756097560977	6841506.0	208786.19384765625	7615.0	1.9207317073170733	-232.16463414634148	-63.0	2688.0	3938.4615384615386	-356.0	0.8516746411483254	-2040.0	4.287081339712919	97.6129946965811	4781728.0	-1792.0	-4.880382775119617	
1691.0	-2.5217391304347827	6.108695652173913	2485.0	2000.0	2.75	181.0	-0.27136431784107945	444.0	0.4197901049475262	39.0625	280.0	-0.6656671664167916	26.982159406418212	32768.0	-3084.0	94.02439024390245	6841826.0	208795.95947265625	7791.0	5.884146341463415	-237.53048780487808	-193.0	2682.0	3929.6703296703295	-372.0	0.8899521531100478	-1992.0	4.497607655502392	97.6129946965811	4781728.0	-1880.0	-4.765550239234449	
1691.0	-2.119565217391304	6.108695652173913	2448.0	2000.0	2.75	180.0	-0.2698650674662669	443.0	0.41079460269865065	48.828125	274.0	-0.664167916041979	26.982159406418212	32768.0	-3197.0	97.46951219512196	6842146.0	208805.72509765625	7956.0	11.55487804878049	-242.56097560975613	-379.0	2673.0	3916.4835164835163	-420.0	1.0047846889952152	-1804.0	4.555023923444976	97.6129946965811	4781728.0	-1904.0	-4.315789473684211	
1680.0	-1.7282608695652173	6.228260869565217	2412.0	1961.0	3.1739130434782608	180.0	-0.2698650674662669	443.0	0.41079460269865065	58.59375	274.0	-0.664167916041979	26.982159406418212	32768.0	-3268.0	99.63414634146342	6842466.0	208815.49072265625	8039.0	17.04268292682927	-245.09146341463418	-559.0	2671.0	3913.5531135531132	-600.0	1.4354066985645932	-1588.0	4.679425837320574	97.6129946965811	4781728.0	-1956.0	-3.799043062200957	
1643.0	-1.5543478260869565	6.630434782608695	2396.0	1926.0	3.5543478260869565	199.0	-0.2983508245877061	453.0	0.3703148425787106	68.359375	247.0	-0.6791604197901049	26.982159406418212	32768.0	-3349.0	102.10365853658537	6842786.0	208825.25634765625	7983.0	22.073170731707318	-243.38414634146343	-724.0	2671.0	3913.5531135531132	-800.0	1.9138755980861244	-1548.0	5.043062200956937	97.60267748384386	4782752.0	-2108.0	-3.7033492822966507	
1603.0	-1.576086956521739	7.065217391304348	2398.0	1884.0	4.010869565217392	199.0	-0.2983508245877061	453.0	0.3703148425787106	78.125	247.0	-0.6791604197901049	26.982159406418212	32768.0	-3438.0	104.81707317073172	6843106.0	208835.02197265625	7859.0	26.3109756097561	-239.60365853658539	-863.0	2665.0	3904.7619047619046	-956.0	2.2870813397129184	-1532.0	5.588516746411483	97.60267748384386	4782752.0	-2336.0	-3.665071770334928	
1557.0	-1.5326086956521738	7.565217391304348	2394.0	1856.0	4.315217391304348	187.0	-0.280359820089955	449.0	0.3568215892053973	87.890625	238.0	-0.6731634182908546	26.982159406418212	32768.0	-3443.0	104.96951219512196	6843426.0	208844.78759765625	7584.0	28.59756097560976	-231.21951219512198	-938.0	2680.0	3926.7399267399264	-1072.0	2.5645933014354068	-1512.0	6.143540669856459	97.60267748384386	4782752.0	-2568.0	-3.617224880382775	
1527.0	-1.326086956521739	7.891304347826087	2375.0	1831.0	4.58695652173913	199.0	-0.2983508245877061	455.0	0.33433283358320837	97.65625	223.0	-0.6821589205397302	26.982159406418212	32768.0	-3382.0	103.10975609756099	6843746.0	208854.55322265625	7138.0	32.59146341463415	-217.62195121951223	-1069.0	2688.0	3938.4615384615386	-1172.0	2.803827751196172	-1352.0	6.488038277511961	97.60267748384386	4782752.0	-2712.0	-3.2344497607655502	
1505.0	-0.9782608695652174	8.130434782608695	2343.0	1803.0	4.891304347826087	197.0	-0.29535232383808097	462.0	0.31784107946026985	107.421875	212.0	-0.6926536731634183	26.982159406418212	32768.0	-3205.0	97.71341463414635	6844066.0	208864.31884765625	6645.0	35.243902439024396	-202.59146341463418	-1156.0	2686.0	3935.5311355311355	-1264.0	3.0239234449760763	-1260.0	6.650717703349282	97.60267748384386	4782752.0	-2780.0	-3.014354066985646	
1496.0	-0.5978260869565217	8.228260869565217	2308.0	1803.0	4.891304347826087	192.0	-0.28785607196401797	463.0	0.2983508245877061	117.1875	199.0	-0.6941529235382309	26.982159406418212	32768.0	-2986.0	91.03658536585367	6844386.0	208874.08447265625	6064.0	38.29268292682927	-184.87804878048783	-1256.0	2675.0	3919.4139194139193	-1344.0	3.215311004784689	-1104.0	6.813397129186603	97.59622924452665	4783392.0	-2848.0	-2.6411483253588517	
1483.0	-0.2608695652173913	8.369565217391305	2277.0	1793.0	5.0	201.0	-0.30134932533733133	468.0	0.2893553223388306	126.953125	193.0	-0.7016491754122939	26.982159406418212	32768.0	-2826.0	86.15853658536587	6844706.0	208883.85009765625	5485.0	41.3109756097561	-167.22560975609758	-1355.0	2688.0	3938.4615384615386	-1336.0	3.1961722488038276	-920.0	6.918660287081339	97.59622924452665	4783392.0	-2892.0	-2.200956937799043	
1472.0	-0.043478260869565216	8.48913043478261	2257.0	1775.0	5.195652173913043	199.0	-0.2983508245877061	468.0	0.27136431784107945	136.71875	181.0	-0.7016491754122939	26.982159406418212	32768.0	-2618.0	79.81707317073172	6845026.0	208893.61572265625	4890.0	41.768292682926834	-149.08536585365854	-1370.0	2681.0	3928.205128205128	-1444.0	3.4545454545454546	-804.0	7.110047846889952	97.59622924452665	4783392.0	-2972.0	-1.9234449760765548	
1469.0	0.10869565217391304	8.521739130434783	2243.0	1766.0	5.293478260869565	197.0	-0.29535232383808097	477.0	0.24887556221889054	146.484375	166.0	-0.7151424287856072	26.982159406418212	32768.0	-2414.0	73.59756097560977	6845346.0	208903.38134765625	4207.0	42.65243902439025	-128.26219512195124	-1399.0	2686.0	3935.5311355311355	-1484.0	3.5502392344497604	-724.0	7.177033492822966	97.59622924452665	4783392.0	-3000.0	-1.7320574162679425	
1458.0	0.06521739130434782	8.641304347826086	2247.0	1758.0	5.380434782608695	190.0	-0.2848575712143928	470.0	0.24587706146926536	156.25	164.0	-0.704647676161919	26.982159406418212	32768.0	-2147.0	65.45731707317074	6845666.0	208913.14697265625	3465.0	44.29878048780488	-105.64024390243904	-1453.0	2678.0	3923.809523809524	-1516.0	3.626794258373206	-720.0	7.244019138755981	97.59622924452665	4783392.0	-3028.0	-1.7224880382775118	
1450.0	-0.14130434782608695	8.728260869565217	2266.0	1738.0	5.5978260869565215	199.0	-0.2983508245877061	473.0	0.2338830584707646	166.015625	156.0	-0.7091454272863568	26.982159406418212	32768.0	-1882.0	57.37804878048781	6845986.0	208922.91259765625	2838.0	46.21951219512196	-86.52439024390245	-1516.0	2674.0	3917.948717948718	-1628.0	3.894736842105263	-768.0	7.311004784688995	97.59203789666093	4783808.0	-3056.0	-1.8373205741626792	
