Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	deg/s	no_units	deg/s	no_units	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
1.0978260869565217	1292.0	10.445652173913043	2152.0	1778.0	5.163043478260869	173.0	-0.2593703148425787	516.0	0.14692653673163417	9.765625	98.0	-0.7736131934032984	32768.0	26.982159406418212	-37.53048780487805	1231.0	6042781.0	184411.04125976562	-39.024390243902445	-1525.0	46.493902439024396	1280.0	2667.0	3907.6923076923076	-1444.0	3.4545454545454546	-268.0	9.320574162679426	0.0	146.19119890832485	-3896.0	-0.6411483253588517	
1.1195652173913042	1304.0	10.315217391304348	2150.0	1778.0	5.163043478260869	172.0	-0.2578710644677661	519.0	0.15292353823088456	19.53125	102.0	-0.7781109445277361	32768.0	26.982159406418212	-38.018292682926834	1247.0	6043101.0	184420.80688476562	-40.457317073170735	-1557.0	47.46951219512196	1327.0	2685.0	3934.065934065934	-1452.0	3.4736842105263155	-288.0	9.23444976076555	4786896.0	97.56092538846734	-3860.0	-0.6889952153110047	
1.1195652173913042	1319.0	10.152173913043478	2150.0	1767.0	5.282608695652174	175.0	-0.2623688155922039	517.0	0.15742128935532235	29.296875	105.0	-0.775112443778111	32768.0	26.982159406418212	-38.018292682926834	1247.0	6043421.0	184430.57250976562	-41.03658536585366	-1578.0	48.10975609756098	1346.0	2683.0	3931.135531135531	-1472.0	3.5215311004784686	-284.0	9.033492822966506	4786896.0	97.56092538846734	-3776.0	-0.6794258373205742	
1.1304347826086956	1337.0	9.956521739130434	2149.0	1774.0	5.206521739130435	183.0	-0.27436281859070466	515.0	0.1619190404797601	39.0625	108.0	-0.7721139430284857	32768.0	26.982159406418212	-37.16463414634147	1219.0	6043741.0	184440.33813476562	-41.21951219512196	-1604.0	48.90243902439025	1352.0	2670.0	3912.087912087912	-1452.0	3.4736842105263155	-268.0	8.794258373205741	4786896.0	97.56092538846734	-3676.0	-0.6411483253588517	
1.1630434782608696	1344.0	9.880434782608695	2146.0	1776.0	5.184782608695652	186.0	-0.2788605697151424	520.0	0.1649175412293853	48.828125	110.0	-0.7796101949025487	32768.0	26.982159406418212	-36.34146341463415	1192.0	6044061.0	184450.10375976562	-41.554878048780495	-1616.0	49.268292682926834	1363.0	2666.0	3906.227106227106	-1480.0	3.54066985645933	-252.0	8.708133971291865	4786896.0	97.56092538846734	-3640.0	-0.6028708133971291	
1.2065217391304348	1353.0	9.782608695652174	2142.0	1771.0	5.239130434782608	186.0	-0.2788605697151424	520.0	0.1649175412293853	58.59375	110.0	-0.7796101949025487	32768.0	26.982159406418212	-35.0609756097561	1150.0	6044381.0	184459.86938476562	-42.01219512195122	-1645.0	50.15243902439025	1378.0	2663.0	3901.8315018315016	-1484.0	3.5502392344497604	-232.0	8.564593301435407	4786896.0	97.56092538846734	-3580.0	-0.5550239234449761	
1.2608695652173914	1365.0	9.652173913043478	2137.0	1777.0	5.173913043478261	187.0	-0.280359820089955	516.0	0.16941529235382308	68.359375	113.0	-0.7736131934032984	32768.0	26.982159406418212	-34.268292682926834	1124.0	6044701.0	184469.63500976562	-43.07926829268293	-1683.0	51.3109756097561	1413.0	2667.0	3907.6923076923076	-1468.0	3.511961722488038	-200.0	8.421052631578947	4788288.0	97.54690068824682	-3520.0	-0.4784688995215311	
1.326086956521739	1380.0	9.48913043478261	2131.0	1781.0	5.130434782608695	187.0	-0.280359820089955	516.0	0.16941529235382308	78.125	113.0	-0.7736131934032984	32768.0	26.982159406418212	-32.743902439024396	1074.0	6045021.0	184479.40063476562	-43.23170731707317	-1718.0	52.37804878048781	1418.0	2679.0	3925.274725274725	-1452.0	3.4736842105263155	-200.0	8.210526315789473	4788288.0	97.54690068824682	-3432.0	-0.4784688995215311	
1.2717391304347825	1398.0	9.293478260869565	2136.0	1786.0	5.076086956521739	190.0	-0.2848575712143928	508.0	0.18140929535232383	87.890625	121.0	-0.7616191904047975	32768.0	26.982159406418212	-30.914634146341466	1014.0	6045341.0	184489.16625976562	-41.82926829268293	-1706.0	52.01219512195122	1372.0	2678.0	3923.809523809524	-1420.0	3.3971291866028706	-208.0	7.952153110047846	4788288.0	97.54690068824682	-3324.0	-0.49760765550239233	
