Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2600.0	-0.40217391304347827	2290.0	-3.7717391304347827	5.771739130434782	1722.0	179.0	-0.26836581709145424	76.0	0.5007496251874063	9.765625	334.0	-0.11394302848575712	32768.0	26.982159406418212	407.0	-12.408536585365855	6272532.0	191422.4853515625	23.140243902439025	-1623.0	49.48170731707317	-759.0	4026.3736263736264	2748.0	3.8373205741626792	-1604.0	-988.0	-6.602870813397129	0.0	146.19119890832485	2760.0	-2.3636363636363638	
2620.0	-0.7826086956521738	2325.0	-3.9891304347826084	5.8478260869565215	1715.0	176.0	-0.2638680659670165	85.0	0.5142428785607196	19.53125	343.0	-0.12743628185907047	32768.0	26.982159406418212	191.0	-5.823170731707318	6272852.0	191432.2509765625	21.00609756097561	-1516.0	46.21951219512196	-689.0	4024.908424908425	2747.0	4.028708133971292	-1684.0	-1172.0	-6.966507177033493	4738656.0	98.04699570722094	2912.0	-2.803827751196172	
2633.0	-0.9021739130434783	2336.0	-4.130434782608695	5.8478260869565215	1715.0	176.0	-0.2638680659670165	78.0	0.5097451274362819	29.296875	340.0	-0.1169415292353823	32768.0	26.982159406418212	202.0	-6.158536585365854	6273172.0	191442.0166015625	19.115853658536587	-1443.0	43.993902439024396	-627.0	4010.25641025641	2737.0	4.095693779904306	-1712.0	-1224.0	-7.033492822966507	4738656.0	98.04699570722094	2940.0	-2.92822966507177	
2623.0	-0.7826086956521738	2325.0	-4.021739130434782	5.869565217391304	1713.0	181.0	-0.27136431784107945	87.0	0.5037481259370314	39.0625	336.0	-0.13043478260869565	32768.0	26.982159406418212	491.0	-14.969512195121952	6273492.0	191451.7822265625	16.707317073170735	-1409.0	42.957317073170735	-548.0	3995.6043956043954	2727.0	4.057416267942584	-1696.0	-1084.0	-6.899521531100478	4738656.0	98.04699570722094	2884.0	-2.5933014354066986	
2633.0	-0.8804347826086957	2334.0	-4.130434782608695	5.684782608695652	1730.0	170.0	-0.25487256371814093	74.0	0.505247376311844	48.828125	337.0	-0.11094452773613193	32768.0	26.982159406418212	175.0	-5.335365853658537	6273812.0	191461.5478515625	14.603658536585368	-1438.0	43.84146341463415	-479.0	4002.930402930403	2732.0	3.9330143540669855	-1644.0	-1284.0	-7.110047846889952	4738656.0	98.04699570722094	2972.0	-3.0717703349282295	
2659.0	-1.0543478260869565	2350.0	-4.413043478260869	6.076086956521739	1694.0	174.0	-0.2608695652173913	85.0	0.512743628185907	58.59375	342.0	-0.12743628185907047	32768.0	26.982159406418212	66.0	-2.0121951219512195	6274132.0	191471.3134765625	13.170731707317074	-1262.0	38.47560975609756	-432.0	4021.978021978022	2745.0	4.30622009569378	-1800.0	-1316.0	-7.4162679425837315	4738656.0	98.04699570722094	3100.0	-3.1483253588516744	
2660.0	-0.8152173913043478	2328.0	-4.423913043478261	6.445652173913043	1660.0	174.0	-0.2608695652173913	90.0	0.512743628185907	68.359375	342.0	-0.13493253373313344	32768.0	26.982159406418212	54.0	-1.6463414634146343	6274452.0	191481.0791015625	9.176829268292684	-1166.0	35.54878048780488	-301.0	4023.4432234432234	2746.0	4.660287081339713	-1948.0	-1180.0	-7.38755980861244	4739696.0	98.03651571993545	3088.0	-2.8229665071770333	
