Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
-12.119565217391305	1568.0	3368.0	7.445652173913043	-0.5760869565217391	2306.0	164.0	-0.24587706146926536	322.0	0.6596701649175412	9.765625	-0.48275862068965514	440.0	32768.0	26.982159406418212	-309.26829268292687	10144.0	1.2950958E7	395231.87255859375	1790.0	-46.00609756097561	1509.0	-54.57317073170732	4008.7912087912086	2736.0	-2.4401913875598087	1020.0	-6304.0	5.990430622009569	0.0	146.19119890832485	-15.081339712918659	-2504.0	
-11.293478260869565	1609.0	3292.0	7.0	-0.8478260869565217	2331.0	170.0	-0.25487256371814093	299.0	0.6461769115442278	19.53125	-0.4482758620689655	431.0	32768.0	26.982159406418212	-314.2987804878049	10309.0	1.2951278E7	395241.63818359375	1896.0	-38.59756097560976	1266.0	-57.804878048780495	3979.4871794871797	2716.0	-2.7655502392344498	1156.0	-5964.0	5.5406698564593295	4762144.0	97.81031845552135	-14.267942583732056	-2316.0	
-10.554347826086957	1659.0	3224.0	6.456521739130435	-1.0869565217391304	2353.0	164.0	-0.24587706146926536	284.0	0.6581709145427286	29.296875	-0.4257871064467766	439.0	32768.0	26.982159406418212	-318.62804878048786	10451.0	1.2951598E7	395251.40380859375	1949.0	-29.81707317073171	978.0	-59.42073170731708	3982.4175824175827	2718.0	-3.052631578947368	1276.0	-5596.0	4.909090909090909	4762144.0	97.81031845552135	-13.38755980861244	-2052.0	
-9.83695652173913	1715.0	3158.0	5.8478260869565215	-1.184782608695652	2362.0	171.0	-0.2563718140929535	267.0	0.6521739130434783	39.0625	-0.4002998500749625	435.0	32768.0	26.982159406418212	-320.3353658536586	10507.0	1.2951918E7	395261.16943359375	1967.0	-19.23780487804878	631.0	-59.96951219512196	3998.5347985347985	2729.0	-3.177033492822966	1328.0	-5312.0	4.181818181818182	4762144.0	97.81031845552135	-12.708133971291865	-1748.0	
-9.184782608695652	1753.0	3098.0	5.434782608695652	-1.2608695652173914	2369.0	171.0	-0.2563718140929535	250.0	0.6476761619190404	48.828125	-0.3748125937031484	432.0	32768.0	26.982159406418212	-321.5243902439025	10546.0	1.2952238E7	395270.93505859375	2035.0	-7.896341463414635	259.0	-62.04268292682927	4005.860805860806	2734.0	-3.215311004784689	1344.0	-5068.0	3.7320574162679425	4762144.0	97.81031845552135	-12.124401913875598	-1560.0	
-8.58695652173913	1783.0	3043.0	5.108695652173913	-1.467391304347826	2388.0	180.0	-0.2698650674662669	234.0	0.6476761619190404	58.59375	-0.35082458770614694	432.0	32768.0	26.982159406418212	-320.4268292682927	10510.0	1.2952558E7	395280.70068359375	2097.0	3.3231707317073176	-109.0	-63.9329268292683	3988.2783882783883	2722.0	-3.492822966507177	1460.0	-4752.0	3.339712918660287	4762144.0	97.81031845552135	-11.368421052631579	-1396.0	
-7.576086956521739	1817.0	2950.0	4.739130434782608	-1.5217391304347825	2393.0	180.0	-0.2698650674662669	234.0	0.6476761619190404	68.359375	-0.35082458770614694	432.0	32768.0	26.982159406418212	-316.6158536585366	10385.0	1.2952878E7	395290.46630859375	2145.0	13.536585365853659	-444.0	-65.39634146341464	4013.186813186813	2739.0	-3.5598086124401913	1488.0	-4352.0	2.92822966507177	4763360.0	97.79806593568519	-10.411483253588516	-1224.0	
-6.989130434782608	1863.0	2896.0	4.239130434782608	-1.608695652173913	2401.0	181.0	-0.27136431784107945	204.0	0.6221889055472264	78.125	-0.3058470764617691	415.0	32768.0	26.982159406418212	-317.8353658536586	10425.0	1.2953198E7	395300.23193359375	2067.0	24.81707317073171	-814.0	-63.018292682926834	3989.74358974359	2723.0	-3.7033492822966507	1548.0	-3988.0	2.2870813397129184	4763360.0	97.79806593568519	-9.54066985645933	-956.0	
-5.913043478260869	1910.0	2797.0	3.7282608695652173	-1.7065217391304348	2410.0	181.0	-0.27136431784107945	204.0	0.6221889055472264	87.890625	-0.3058470764617691	415.0	32768.0	26.982159406418212	-318.14024390243907	10435.0	1.2953518E7	395309.99755859375	1847.0	33.56707317073171	-1101.0	-56.310975609756106	3989.74358974359	2723.0	-3.7799043062200957	1580.0	-3472.0	1.6172248803827751	4763360.0	97.79806593568519	-8.30622009569378	-676.0	
