Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
-3.9130434782608696	2374.0	2613.0	-1.315217391304348	2076.0	1.9239130434782608	-207.0	0.3103448275862069	79.0	0.608695652173913	9.765625	406.0	-0.1184407796101949	26.982159406418212	32768.0	-1260.0	38.41463414634147	1.597639E7	487560.72998046875	61.03658536585366	-1071.0	32.65243902439025	-2002.0	2727.0	3995.6043956043954	-0.057416267942583726	24.0	-3.9808612440191387	-2544.0	0.0	146.19119890832485	1664.0	-6.086124401913875	
-3.967391304347826	2363.0	2618.0	-1.1956521739130435	2081.0	1.8695652173913042	-207.0	0.3103448275862069	80.0	0.6041979010494752	19.53125	403.0	-0.1199400299850075	26.982159406418212	32768.0	-1117.0	34.05487804878049	1.597671E7	487570.49560546875	51.61585365853659	-901.0	27.469512195121954	-1693.0	2736.0	4008.7912087912086	-0.15311004784688995	64.0	-3.7320574162679425	-2596.0	4797248.0	97.4566283795764	1560.0	-6.2105263157894735	
-3.9565217391304346	2384.0	2617.0	-1.4239130434782608	2072.0	1.967391304347826	-207.0	0.3103448275862069	76.0	0.6071964017991004	29.296875	405.0	-0.11394302848575712	26.982159406418212	32768.0	-1012.0	30.853658536585368	1.597703E7	487580.26123046875	40.701219512195124	-862.0	26.28048780487805	-1335.0	2717.0	3980.952380952381	-0.08612440191387559	36.0	-3.923444976076555	-2636.0	4797248.0	97.4566283795764	1640.0	-6.30622009569378	
-3.75	2393.0	2598.0	-1.5217391304347825	2068.0	2.010869565217391	-208.0	0.3118440779610195	75.0	0.6056971514242878	39.0625	404.0	-0.11244377811094453	26.982159406418212	32768.0	-1038.0	31.646341463414636	1.597735E7	487590.02685546875	32.5609756097561	-761.0	23.201219512195124	-1068.0	2716.0	3979.4871794871797	0.019138755980861243	-8.0	-4.095693779904306	-2512.0	4797248.0	97.4566283795764	1712.0	-6.00956937799043	
-3.934782608695652	2421.0	2615.0	-1.826086956521739	2078.0	1.9021739130434783	-202.0	0.3028485757121439	74.0	0.5982008995502248	48.828125	399.0	-0.11094452773613193	26.982159406418212	32768.0	-1041.0	31.737804878048784	1.597767E7	487599.79248046875	28.475609756097562	-891.0	27.164634146341466	-934.0	2721.0	3986.813186813187	-0.12440191387559808	52.0	-4.449760765550239	-2576.0	4797248.0	97.4566283795764	1860.0	-6.162679425837321	
-4.239130434782608	2434.0	2643.0	-1.967391304347826	2086.0	1.8152173913043477	-202.0	0.3028485757121439	74.0	0.5982008995502248	58.59375	399.0	-0.11094452773613193	26.982159406418212	32768.0	-960.0	29.26829268292683	1.597799E7	487609.55810546875	24.908536585365855	-995.0	30.33536585365854	-817.0	2726.0	3994.139194139194	-0.2200956937799043	92.0	-4.851674641148326	-2696.0	4797248.0	97.4566283795764	2028.0	-6.449760765550239	
-4.521739130434782	2472.0	2669.0	-2.380434782608696	2100.0	1.6630434782608696	-206.0	0.3088455772113943	74.0	0.6056971514242878	68.359375	404.0	-0.11094452773613193	26.982159406418212	32768.0	-942.0	28.719512195121954	1.597831E7	487619.32373046875	21.03658536585366	-998.0	30.426829268292686	-690.0	2711.0	3972.161172161172	-0.36363636363636365	152.0	-5.1387559808612435	-2860.0	4798480.0	97.4442161569536	2148.0	-6.842105263157895	
-4.8478260869565215	2489.0	2699.0	-2.5652173913043477	2107.0	1.5869565217391304	-206.0	0.3088455772113943	74.0	0.6056971514242878	78.125	404.0	-0.11094452773613193	26.982159406418212	32768.0	-891.0	27.164634146341466	1.597863E7	487629.08935546875	18.475609756097562	-971.0	29.603658536585368	-606.0	2721.0	3986.813186813187	-0.4593301435406698	192.0	-5.330143540669856	-3032.0	4798480.0	97.4442161569536	2228.0	-7.253588516746412	
