Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2317.0	-0.03260869565217391	2256.0	-0.6956521739130435	7.1521739130434785	1595.0	300.0	-0.4497751124437781	225.0	0.29235382308845576	9.765625	-0.3373313343328336	195.0	26.982159406418212	32768.0	-15.335365853658537	503.0	5262556.0	160600.4638671875	6494.0	-118.26219512195124	3879.0	-197.9878048780488	2727.0	3995.6043956043954	5.55023923444976	-2320.0	-3.291866028708134	-864.0	0.0	146.19119890832485	-2.0669856459330145	1376.0	
2298.0	0.06521739130434782	2247.0	-0.4891304347826087	6.956521739130435	1613.0	306.0	-0.4587706146926537	214.0	0.2623688155922039	19.53125	-0.32083958020989506	175.0	26.982159406418212	32768.0	-1.676829268292683	55.0	5262876.0	160610.2294921875	6160.0	-109.81707317073172	3602.0	-187.8048780487805	2727.0	3995.6043956043954	5.291866028708133	-2212.0	-3.090909090909091	-792.0	4797040.0	97.45872395487312	-1.894736842105263	1292.0	
2286.0	0.14130434782608695	2240.0	-0.358695652173913	7.195652173913043	1591.0	301.0	-0.4512743628185907	205.0	0.2593703148425787	29.296875	-0.3073463268365817	173.0	26.982159406418212	32768.0	13.475609756097562	-442.0	5263196.0	160619.9951171875	5632.0	-99.51219512195122	3264.0	-171.70731707317074	2716.0	3979.4871794871797	5.511961722488038	-2304.0	-2.9665071770334928	-740.0	4797040.0	97.45872395487312	-1.770334928229665	1240.0	
2266.0	0.18478260869565216	2236.0	-0.14130434782608695	7.184782608695652	1592.0	302.0	-0.45277361319340326	200.0	0.23238380809595202	39.0625	-0.29985007496251875	155.0	26.982159406418212	32768.0	27.042682926829272	-887.0	5263516.0	160629.7607421875	5268.0	-94.1158536585366	3087.0	-160.609756097561	2701.0	3957.509157509158	5.5406698564593295	-2316.0	-2.5645933014354068	-728.0	4797040.0	97.45872395487312	-1.7416267942583732	1072.0	
2242.0	0.07608695652173914	2246.0	0.11956521739130435	6.739130434782608	1633.0	302.0	-0.45277361319340326	190.0	0.23088455772113942	48.828125	-0.2848575712143928	154.0	26.982159406418212	32768.0	38.59756097560976	-1266.0	5263836.0	160639.5263671875	5181.0	-85.3048780487805	2798.0	-157.95731707317074	2711.0	3972.161172161172	5.186602870813397	-2168.0	-2.3157894736842106	-796.0	4797040.0	97.45872395487312	-1.9043062200956937	968.0	
2234.0	0.43478260869565216	2213.0	0.20652173913043478	6.83695652173913	1624.0	302.0	-0.45277361319340326	190.0	0.23088455772113942	58.59375	-0.2848575712143928	154.0	26.982159406418212	32768.0	51.92073170731708	-1703.0	5264156.0	160649.2919921875	5337.0	-75.54878048780489	2478.0	-162.71341463414635	2729.0	3998.5347985347985	5.1387559808612435	-2148.0	-2.229665071770335	-636.0	4797040.0	97.45872395487312	-1.5215311004784688	932.0	
2241.0	1.3369565217391304	2130.0	0.13043478260869565	6.543478260869565	1651.0	295.0	-0.4422788605697151	191.0	0.19040479760119938	68.359375	-0.2863568215892054	127.0	26.982159406418212	32768.0	65.82317073170732	-2159.0	5264476.0	160659.0576171875	5281.0	-68.07926829268294	2233.0	-161.00609756097563	2724.0	3991.2087912087914	4.813397129186603	-2012.0	-2.3157894736842106	-196.0	4797792.0	97.45114765134666	-0.4688995215311005	968.0	
