Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
-0.3804347826086956	1356.0	2288.0	9.75	2085.0	1.826086956521739	-57.0	0.08545727136431784	641.0	0.15142428785607195	9.765625	101.0	-0.9610194902548725	32768.0	26.982159406418212	26.463414634146343	-868.0	8701075.0	265535.7360839844	250.0	5.0304878048780495	-7.621951219512196	-165.0	2732.0	4002.930402930403	60.0	-0.14354066985645933	-936.0	8.564593301435407	0.0	146.19119890832485	-2.2392344497607652	-3580.0	
-0.4891304347826087	1349.0	2298.0	9.826086956521738	2096.0	1.7065217391304348	-54.0	0.08095952023988005	643.0	0.14842578710644677	19.53125	99.0	-0.9640179910044977	32768.0	26.982159406418212	27.713414634146343	-909.0	8701395.0	265545.5017089844	367.0	5.548780487804879	-11.189024390243903	-182.0	2717.0	3980.952380952381	100.0	-0.23923444976076555	-972.0	8.679425837320574	4792512.0	97.50434339251844	-2.325358851674641	-3628.0	
-0.5217391304347826	1339.0	2301.0	9.934782608695652	2096.0	1.7065217391304348	-56.0	0.08395802098950525	635.0	0.1409295352323838	29.296875	94.0	-0.952023988005997	32768.0	26.982159406418212	28.292682926829272	-928.0	8701715.0	265555.2673339844	428.0	5.3048780487804885	-13.04878048780488	-174.0	2719.0	3983.8827838827838	100.0	-0.23923444976076555	-1020.0	8.832535885167463	4792512.0	97.50434339251844	-2.4401913875598087	-3692.0	
-0.6739130434782609	1325.0	2315.0	10.08695652173913	2094.0	1.7282608695652173	-61.0	0.0914542728635682	640.0	0.13793103448275862	39.0625	92.0	-0.95952023988006	32768.0	26.982159406418212	29.664634146341466	-973.0	8702035.0	265565.0329589844	587.0	5.670731707317073	-17.896341463414636	-186.0	2707.0	3966.3003663003665	76.0	-0.18181818181818182	-1092.0	8.995215311004785	4792512.0	97.50434339251844	-2.61244019138756	-3760.0	
-0.7065217391304348	1307.0	2318.0	10.282608695652174	2092.0	1.75	-63.0	0.0944527736131934	634.0	0.13343328335832083	48.828125	89.0	-0.9505247376311844	32768.0	26.982159406418212	31.676829268292686	-1039.0	8702355.0	265574.7985839844	748.0	5.7926829268292686	-22.80487804878049	-190.0	2713.0	3975.091575091575	40.0	-0.09569377990430622	-1100.0	9.196172248803828	4792512.0	97.50434339251844	-2.631578947368421	-3844.0	
-0.7065217391304348	1291.0	2318.0	10.456521739130434	2088.0	1.7934782608695652	-63.0	0.0944527736131934	634.0	0.13343328335832083	58.59375	89.0	-0.9505247376311844	32768.0	26.982159406418212	33.78048780487805	-1108.0	8702675.0	265584.5642089844	908.0	4.878048780487806	-27.682926829268297	-160.0	2721.0	3986.813186813187	56.0	-0.1339712918660287	-1100.0	9.416267942583731	4792512.0	97.50434339251844	-2.631578947368421	-3936.0	
-0.6630434782608695	1288.0	2314.0	10.489130434782608	2080.0	1.8804347826086956	-53.0	0.07946026986506746	640.0	0.12743628185907047	68.359375	85.0	-0.95952023988006	32768.0	26.982159406418212	34.32926829268293	-1126.0	8702995.0	265594.3298339844	1076.0	3.7500000000000004	-32.80487804878049	-123.0	2724.0	3991.2087912087914	4.0	-0.009569377990430622	-1068.0	9.416267942583731	4793344.0	97.49596096851707	-2.555023923444976	-3936.0	
