Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	local_flux	no_units	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
2569.0	-2.2717391304347827	2462.0	-3.434782608695652	6.565217391304348	1649.0	0.013493253373313342	-9.0	-32.0	0.4962518740629685	9.765625	0.047976011994003	331.0	32768.0	26.982159406418212	-156.0	4.75609756097561	983191.0	30004.608154296875	-2.164634146341464	-852.0	25.975609756097562	71.0	3970.6959706959706	2710.0	4.822966507177033	-2016.0	-1812.0	-6.325358851674641	146.19119890832485	0.0	2644.0	-4.3349282296650715	
2602.0	-2.4456521739130435	2478.0	-3.793478260869565	6.543478260869565	1651.0	0.020989505247376312	-14.0	-36.0	0.505247376311844	19.53125	0.05397301349325337	337.0	32768.0	26.982159406418212	-244.0	7.439024390243903	983511.0	30014.373779296875	-4.2682926829268295	-550.0	16.76829268292683	140.0	3982.4175824175827	2718.0	4.851674641148326	-2028.0	-1972.0	-6.7368421052631575	97.39198868559099	4803664.0	2816.0	-4.717703349282297	
2618.0	-2.717391304347826	2503.0	-3.967391304347826	6.554347826086956	1650.0	0.019490254872563718	-13.0	-38.0	0.5037481259370314	29.296875	0.05697151424287856	336.0	32768.0	26.982159406418212	-226.0	6.890243902439025	983831.0	30024.139404296875	-6.829268292682928	-258.0	7.865853658536586	224.0	3972.161172161172	2711.0	4.822966507177033	-2016.0	-2044.0	-6.880382775119617	97.39198868559099	4803664.0	2876.0	-4.889952153110047	
2633.0	-2.7282608695652173	2504.0	-4.130434782608695	6.293478260869565	1674.0	0.025487256371814093	-17.0	-34.0	0.5067466266866567	39.0625	0.050974512743628186	338.0	32768.0	26.982159406418212	-280.0	8.536585365853659	984151.0	30033.905029296875	-7.835365853658537	-52.0	1.5853658536585367	257.0	3966.3003663003665	2707.0	4.660287081339713	-1948.0	-2068.0	-7.100478468899521	97.39198868559099	4803664.0	2968.0	-4.947368421052631	
2646.0	-2.684782608695652	2500.0	-4.271739130434782	6.25	1678.0	0.017991004497751123	-12.0	-34.0	0.5082458770614693	48.828125	0.050974512743628186	339.0	32768.0	26.982159406418212	-285.0	8.689024390243903	984471.0	30043.670654296875	-9.756097560975611	155.0	-4.725609756097562	320.0	3978.021978021978	2715.0	4.516746411483253	-1888.0	-2004.0	-7.425837320574162	97.39198868559099	4803664.0	3104.0	-4.794258373205741	
2681.0	-2.4130434782608696	2475.0	-4.6521739130434785	6.065217391304348	1695.0	0.017991004497751123	-12.0	-34.0	0.5082458770614693	58.59375	0.050974512743628186	339.0	32768.0	26.982159406418212	-230.0	7.01219512195122	984791.0	30053.436279296875	-10.152439024390246	204.0	-6.219512195121951	333.0	3958.9743589743593	2702.0	4.382775119617225	-1832.0	-1900.0	-7.693779904306219	97.39198868559099	4803664.0	3216.0	-4.545454545454545	
2697.0	-2.2717391304347827	2462.0	-4.826086956521739	6.0	1701.0	0.0239880059970015	-16.0	-36.0	0.5067466266866567	68.359375	0.05397301349325337	338.0	32768.0	26.982159406418212	-275.0	8.384146341463415	985111.0	30063.201904296875	-12.347560975609758	224.0	-6.829268292682928	405.0	3969.2307692307695	2709.0	4.325358851674641	-1808.0	-1848.0	-7.961722488038277	97.3821558409867	4804640.0	3328.0	-4.421052631578947	
