Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	local_flux	no_units	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	ms	Ticks	no_units	deg/s	no_units	deg/s	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
2088.0	-0.532608695652174	2302.0	1.7934782608695652	2.9891304347826084	1978.0	0.2368815592203898	-158.0	0.6731634182908546	122.0	9.765625	449.0	-0.1829085457271364	32768.0	26.982159406418212	7198.0	-219.45121951219514	142437.40844726562	4667389.0	-4036.0	176.5548780487805	-5791.0	123.04878048780489	3964.835164835165	2706.0	1.0813397129186602	-452.0	-0.4784688995215311	-1152.0	146.19119890832485	0.0	200.0	-2.755980861244019	
2118.0	-0.2391304347826087	2275.0	1.467391304347826	3.3478260869565215	1945.0	0.25037481259370314	-167.0	0.6596701649175412	95.0	19.53125	440.0	-0.1424287856071964	32768.0	26.982159406418212	6151.0	-187.53048780487808	142447.17407226562	4667709.0	-4547.0	176.6768292682927	-5795.0	138.62804878048783	3985.3479853479853	2720.0	1.339712918660287	-560.0	-0.8325358851674641	-1020.0	97.3747409310486	4805376.0	348.0	-2.4401913875598087	
2147.0	-0.15217391304347827	2267.0	1.1521739130434783	3.3478260869565215	1945.0	0.2518740629685157	-168.0	0.6461769115442278	90.0	29.296875	431.0	-0.13493253373313344	32768.0	26.982159406418212	5138.0	-156.64634146341464	142456.93969726562	4668029.0	-4896.0	174.14634146341464	-5712.0	149.26829268292684	3947.252747252747	2694.0	1.5406698564593302	-644.0	-1.1483253588516746	-976.0	97.3747409310486	4805376.0	480.0	-2.3349282296650715	
2154.0	-0.17391304347826086	2269.0	1.076086956521739	3.152173913043478	1963.0	0.2383808095952024	-159.0	0.6446776611694153	83.0	39.0625	430.0	-0.12443778110944527	32768.0	26.982159406418212	4211.0	-128.38414634146343	142466.70532226562	4668349.0	-4919.0	171.58536585365854	-5628.0	149.96951219512198	3982.4175824175827	2718.0	1.1483253588516746	-480.0	-1.2535885167464114	-948.0	97.3747409310486	4805376.0	524.0	-2.2679425837320575	
2162.0	-0.11956521739130435	2264.0	0.9891304347826086	3.0760869565217392	1970.0	0.24737631184407796	-165.0	0.631184407796102	72.0	48.828125	421.0	-0.10794602698650674	32768.0	26.982159406418212	3380.0	-103.04878048780489	142476.47094726562	4668669.0	-4928.0	166.15853658536588	-5450.0	150.2439024390244	3982.4175824175827	2718.0	1.1100478468899522	-464.0	-1.3014354066985645	-968.0	97.3747409310486	4805376.0	544.0	-2.3157894736842106	
2184.0	-0.05434782608695652	2258.0	0.75	3.3043478260869565	1949.0	0.24737631184407796	-165.0	0.631184407796102	72.0	58.59375	421.0	-0.10794602698650674	32768.0	26.982159406418212	2599.0	-79.23780487804879	142486.23657226562	4668989.0	-5195.0	163.07926829268294	-5349.0	158.38414634146343	3964.835164835165	2706.0	1.4832535885167464	-620.0	-1.5119617224880382	-928.0	97.3747409310486	4805376.0	632.0	-2.2200956937799043	
2204.0	-0.18478260869565216	2270.0	0.532608695652174	3.9130434782608696	1893.0	0.24887556221889054	-166.0	0.6146926536731634	64.0	68.359375	410.0	-0.095952023988006	32768.0	26.982159406418212	1947.0	-59.35975609756098	142496.00219726562	4669309.0	-5422.0	166.4939024390244	-5461.0	165.3048780487805	3936.9963369963366	2687.0	2.2200956937799043	-928.0	-1.9043062200956937	-920.0	97.36555291678478	4806288.0	796.0	-2.200956937799043	
2242.0	-0.2934782608695652	2280.0	0.11956521739130435	4.380434782608695	1850.0	0.24887556221889054	-166.0	0.6146926536731634	64.0	78.125	410.0	-0.095952023988006	32768.0	26.982159406418212	1433.0	-43.68902439024391	142505.76782226562	4669629.0	-5138.0	170.57926829268294	-5595.0	156.64634146341464	3950.1831501831502	2696.0	2.660287081339713	-1112.0	-2.325358851674641	-964.0	97.36555291678478	4806288.0	972.0	-2.3062200956937797	
2254.0	-0.19565217391304346	2271.0	-0.010869565217391304	4.065217391304348	1879.0	0.2518740629685157	-168.0	0.5967016491754122	54.0	87.890625	398.0	-0.08095952023988005	32768.0	26.982159406418212	1033.0	-31.493902439024392	142515.53344726562	4669949.0	-5342.0	165.3048780487805	-5422.0	162.8658536585366	3964.835164835165	2706.0	2.076555023923445	-868.0	-2.5167464114832536	-916.0	97.36555291678478	4806288.0	1052.0	-2.1913875598086126	
2264.0	-0.3913043478260869	2289.0	-0.11956521739130435	3.5760869565217392	1924.0	0.25337331334332835	-169.0	0.5892053973013494	45.0	97.65625	393.0	-0.06746626686656672	32768.0	26.982159406418212	710.0	-21.646341463414636	142525.29907226562	4670269.0	-4358.0	158.01829268292684	-5183.0	132.8658536585366	3961.904761904762	2704.0	1.7799043062200957	-744.0	-2.631578947368421	-1096.0	97.36555291678478	4806288.0	1100.0	-2.6220095693779903	
2259.0	-1.0434782608695652	2349.0	-0.06521739130434782	3.8369565217391304	1900.0	0.2563718140929535	-171.0	0.5847076461769115	40.0	107.421875	390.0	-0.05997001499250375	32768.0	26.982159406418212	130.0	-3.963414634146342	142535.06469726562	4670589.0	-3398.0	151.7987804878049	-4979.0	103.59756097560977	3957.509157509158	2701.0	1.8277511961722488	-764.0	-2.5837320574162677	-1208.0	97.36555291678478	4806288.0	1080.0	-2.889952153110048	
2289.0	-1.9021739130434783	2428.0	-0.3913043478260869	4.108695652173913	1875.0	0.2518740629685157	-168.0	0.5877061469265367	34.0	117.1875	392.0	-0.050974512743628186	32768.0	26.982159406418212	-157.0	4.786585365853659	142544.83032226562	4670909.0	-3860.0	143.56707317073173	-4709.0	117.6829268292683	3980.952380952381	2717.0	2.1818181818181817	-912.0	-2.755980861244019	-1592.0	97.3566873165932	4807168.0	1152.0	-3.8086124401913874	
2382.0	-2.967391304347826	2526.0	-1.4021739130434783	4.076086956521739	1878.0	0.239880059970015	-160.0	0.5787106446776612	34.0	126.953125	386.0	-0.050974512743628186	32768.0	26.982159406418212	209.0	-6.371951219512196	142554.59594726562	4671229.0	-3884.0	135.94512195121953	-4459.0	118.41463414634147	3942.857142857143	2691.0	2.1626794258373203	-904.0	-3.799043062200957	-2000.0	97.3566873165932	4807168.0	1588.0	-4.784688995215311	
2456.0	-3.1739130434782608	2545.0	-2.2065217391304346	4.641304347826087	1826.0	0.24437781109445278	-163.0	0.5772113943028485	28.0	136.71875	385.0	-0.041979010494752625	32768.0	26.982159406418212	1003.0	-30.57926829268293	142564.36157226562	4671549.0	-3245.0	125.18292682926831	-4106.0	98.9329268292683	3964.835164835165	2706.0	2.8229665071770333	-1180.0	-4.880382775119617	-2172.0	97.3566873165932	4807168.0	2040.0	-5.196172248803827	
