Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
-1.9021739130434783	2523.0	-2.934782608695652	2428.0	1632.0	6.75	185.0	-0.2773613193403298	0.6146926536731634	176.0	9.765625	410.0	-0.2638680659670165	32768.0	26.982159406418212	-1579.0	48.14024390243903	9721485.0	296676.1779785156	-61.09756097560976	-923.0	2004.0	28.14024390243903	2718.0	3982.4175824175827	-2092.0	5.0047846889952154	-5.7990430622009566	-1644.0	0.0	146.19119890832485	2424.0	-3.9330143540669855	
-2.010869565217391	2534.0	-3.0543478260869565	2438.0	1596.0	7.141304347826087	185.0	-0.2773613193403298	0.6146926536731634	175.0	19.53125	410.0	-0.2623688155922039	32768.0	26.982159406418212	-1275.0	38.8719512195122	9721805.0	296685.9436035156	-56.82926829268293	-1063.0	1864.0	32.40853658536586	2718.0	3982.4175824175827	-2288.0	5.473684210526316	-5.827751196172248	-1724.0	4802352.0	97.40520666039748	2436.0	-4.124401913875598	
-1.684782608695652	2546.0	-3.184782608695652	2408.0	1596.0	7.141304347826087	182.0	-0.272863568215892	0.616191904047976	168.0	29.296875	411.0	-0.2518740629685157	32768.0	26.982159406418212	-866.0	26.402439024390247	9722125.0	296695.7092285156	-51.737804878048784	-1283.0	1697.0	39.11585365853659	2709.0	3969.2307692307695	-2292.0	5.483253588516746	-5.952153110047846	-1548.0	4802352.0	97.40520666039748	2488.0	-3.7033492822966507	
-1.5217391304347825	2535.0	-3.0652173913043477	2393.0	1620.0	6.880434782608695	182.0	-0.272863568215892	0.623688155922039	172.0	39.0625	416.0	-0.2578710644677661	32768.0	26.982159406418212	-538.0	16.402439024390244	9722445.0	296705.4748535156	-40.97560975609756	-1636.0	1344.0	49.87804878048781	2694.0	3947.252747252747	-2200.0	5.263157894736842	-5.942583732057416	-1464.0	4802352.0	97.40520666039748	2484.0	-3.5023923444976077	
-1.7717391304347825	2517.0	-2.869565217391304	2416.0	1628.0	6.793478260869565	173.0	-0.2593703148425787	0.6251874062968515	167.0	48.828125	417.0	-0.25037481259370314	32768.0	26.982159406418212	-337.0	10.27439024390244	9722765.0	296715.2404785156	-29.603658536585368	-2024.0	971.0	61.707317073170735	2702.0	3958.9743589743593	-2176.0	5.205741626794258	-5.6746411483253585	-1588.0	4802352.0	97.40520666039748	2372.0	-3.799043062200957	
-2.2391304347826084	2480.0	-2.467391304347826	2459.0	1642.0	6.641304347826087	173.0	-0.2593703148425787	0.6251874062968515	167.0	58.59375	417.0	-0.25037481259370314	32768.0	26.982159406418212	-188.0	5.731707317073171	9723085.0	296725.0061035156	-22.103658536585368	-2293.0	725.0	69.90853658536587	2701.0	3957.509157509158	-2100.0	5.023923444976076	-5.358851674641148	-1844.0	4802352.0	97.40520666039748	2240.0	-4.411483253588517	
-2.2065217391304346	2411.0	-1.717391304347826	2456.0	1646.0	6.5978260869565215	166.0	-0.24887556221889054	0.6251874062968515	168.0	68.359375	417.0	-0.2518740629685157	32768.0	26.982159406418212	-244.0	7.439024390243903	9723405.0	296734.7717285156	-10.731707317073171	-2205.0	352.0	67.22560975609757	2689.0	3939.92673992674	-2080.0	4.976076555023924	-4.30622009569378	-1808.0	4803440.0	97.39424540873047	1800.0	-4.325358851674641	
-2.217391304347826	2348.0	-1.0326086956521738	2457.0	1635.0	6.717391304347826	166.0	-0.24887556221889054	0.6251874062968515	168.0	78.125	417.0	-0.2518740629685157	32768.0	26.982159406418212	-299.0	9.115853658536587	9723725.0	296744.5373535156	-15.335365853658537	-2255.0	503.0	68.75	2717.0	3980.952380952381	-2068.0	4.947368421052631	-3.626794258373206	-1832.0	4803440.0	97.39424540873047	1516.0	-4.382775119617225	
