Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
1229.0	-0.25	2276.0	11.130434782608695	1.076086956521739	2154.0	-97.0	0.1454272863568216	633.0	0.14392803598200898	9.765625	96.0	-0.9490254872563718	26.982159406418212	32768.0	762.0	-23.231707317073173	1.305929E7	398537.90283203125	-755.0	-21.85975609756098	23.01829268292683	717.0	2702.0	3958.9743589743593	336.0	-0.8038277511961722	10.105263157894736	-892.0	0.0	146.19119890832485	-4224.0	-2.1339712918660285	
1231.0	-0.16304347826086957	2268.0	11.108695652173912	1.1956521739130435	2143.0	-98.0	0.14692653673163417	637.0	0.14842578710644677	19.53125	99.0	-0.9550224887556221	26.982159406418212	32768.0	820.0	-25.000000000000004	1.305961E7	398547.66845703125	-906.0	-22.25609756097561	27.621951219512198	730.0	2708.0	3967.765567765568	328.0	-0.784688995215311	10.105263157894736	-900.0	4800288.0	97.42600091348093	-4224.0	-2.15311004784689	
1231.0	-0.2608695652173913	2277.0	11.108695652173912	1.141304347826087	2148.0	-95.0	0.1424287856071964	630.0	0.1424287856071964	29.296875	95.0	-0.944527736131934	26.982159406418212	32768.0	879.0	-26.79878048780488	1.305993E7	398557.43408203125	-1051.0	-22.164634146341466	32.04268292682927	727.0	2688.0	3938.4615384615386	332.0	-0.7942583732057416	10.105263157894736	-888.0	4800288.0	97.42600091348093	-4224.0	-2.124401913875598	
1231.0	-0.16304347826086957	2268.0	11.108695652173912	1.2065217391304348	2142.0	-88.0	0.13193403298350825	635.0	0.1394302848575712	39.0625	93.0	-0.952023988005997	26.982159406418212	32768.0	955.0	-29.115853658536587	1.306025E7	398567.19970703125	-1174.0	-22.378048780487806	35.79268292682927	734.0	2704.0	3961.904761904762	320.0	-0.7655502392344498	10.133971291866029	-876.0	4800288.0	97.42600091348093	-4236.0	-2.0956937799043063	
1229.0	-0.25	2276.0	11.130434782608695	1.2282608695652173	2140.0	-95.0	0.1424287856071964	635.0	0.1394302848575712	48.828125	93.0	-0.952023988005997	26.982159406418212	32768.0	1021.0	-31.12804878048781	1.306057E7	398576.96533203125	-1272.0	-22.012195121951223	38.78048780487805	722.0	2699.0	3954.578754578755	324.0	-0.7751196172248803	10.133971291866029	-884.0	4800288.0	97.42600091348093	-4236.0	-2.114832535885167	
1221.0	-0.2934782608695652	2280.0	11.217391304347826	1.2391304347826086	2139.0	-95.0	0.1424287856071964	635.0	0.1394302848575712	58.59375	93.0	-0.952023988005997	26.982159406418212	32768.0	1062.0	-32.37804878048781	1.306089E7	398586.73095703125	-1356.0	-22.04268292682927	41.34146341463415	723.0	2703.0	3960.4395604395604	312.0	-0.7464114832535885	10.17224880382775	-884.0	4800288.0	97.42600091348093	-4252.0	-2.114832535885167	
1198.0	-0.32608695652173914	2283.0	11.467391304347826	1.2282608695652173	2140.0	-90.0	0.13493253373313344	630.0	0.14692653673163417	68.359375	98.0	-0.944527736131934	26.982159406418212	32768.0	1085.0	-33.07926829268293	1.306121E7	398596.49658203125	-1440.0	-21.82926829268293	43.90243902439025	716.0	2708.0	3967.765567765568	316.0	-0.7559808612440191	10.421052631578947	-864.0	4801776.0	97.41100969276512	-4356.0	-2.0669856459330145	
