Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2633.0	4.173913043478261	1869.0	-4.130434782608695	-0.5217391304347826	2301.0	-65.0	0.09745127436281859	-6.0	0.27586206896551724	9.765625	184.0	0.008995502248875561	26.982159406418212	32768.0	45.85365853658537	-1504.0	1.358402E7	414551.3916015625	-516.0	-44.176829268292686	15.731707317073171	1449.0	2715.0	3978.021978021978	1124.0	-2.688995215311005	1100.0	-7.062200956937799	0.0	146.19119890832485	2952.0	2.631578947368421	
2666.0	4.032608695652174	1882.0	-4.489130434782608	-0.42391304347826086	2292.0	-74.0	0.11094452773613193	-3.0	0.2818590704647676	19.53125	188.0	0.004497751124437781	26.982159406418212	32768.0	42.743902439024396	-1402.0	1.358434E7	414561.1572265625	-1177.0	-37.28658536585366	35.88414634146342	1223.0	2711.0	3972.161172161172	1092.0	-2.61244019138756	1060.0	-7.5311004784688995	4708336.0	98.35254428989909	3148.0	2.5358851674641145	
2671.0	3.3260869565217392	1947.0	-4.543478260869565	-0.41304347826086957	2291.0	-76.0	0.11394302848575712	1.0	0.2863568215892054	29.296875	191.0	-0.0014992503748125937	26.982159406418212	32768.0	37.22560975609756	-1221.0	1.358466E7	414570.9228515625	-1663.0	-33.65853658536586	50.701219512195124	1104.0	2707.0	3966.3003663003665	1092.0	-2.61244019138756	752.0	-7.607655502392344	4708336.0	98.35254428989909	3180.0	1.7990430622009568	
2675.0	2.510869565217391	2022.0	-4.58695652173913	-0.43478260869565216	2293.0	-77.0	0.11544227886056971	6.0	0.28785607196401797	39.0625	192.0	-0.008995502248875561	26.982159406418212	32768.0	33.04878048780488	-1084.0	1.358498E7	414580.6884765625	-1540.0	-30.884146341463417	46.951219512195124	1013.0	2697.0	3951.6483516483518	1072.0	-2.5645933014354068	348.0	-7.511961722488038	4708336.0	98.35254428989909	3140.0	0.8325358851674641	
2671.0	1.9782608695652173	2071.0	-4.543478260869565	-0.532608695652174	2302.0	-77.0	0.11544227886056971	4.0	0.29235382308845576	48.828125	195.0	-0.005997001499250375	26.982159406418212	32768.0	31.219512195121954	-1024.0	1.35853E7	414590.4541015625	-1054.0	-29.908536585365855	32.13414634146342	981.0	2689.0	3939.92673992674	1136.0	-2.7177033492822966	84.0	-7.502392344497608	4708336.0	98.35254428989909	3136.0	0.20095693779904306	
2680.0	1.7608695652173914	2091.0	-4.641304347826087	-0.5108695652173912	2300.0	-76.0	0.11394302848575712	10.0	0.29235382308845576	58.59375	195.0	-0.014992503748125937	26.982159406418212	32768.0	30.152439024390247	-989.0	1.358562E7	414600.2197265625	-561.0	-30.487804878048784	17.103658536585368	1000.0	2717.0	3980.952380952381	1136.0	-2.7177033492822966	-32.0	-7.684210526315789	4708336.0	98.35254428989909	3212.0	-0.07655502392344497	
2706.0	1.8369565217391304	2084.0	-4.923913043478261	-0.4891304347826087	2298.0	-76.0	0.11394302848575712	-5.0	0.29235382308845576	68.359375	195.0	0.0074962518740629685	26.982159406418212	32768.0	22.98780487804878	-754.0	1.358594E7	414609.9853515625	-312.0	-30.33536585365854	9.51219512195122	995.0	2710.0	3970.6959706959706	1136.0	-2.7177033492822966	24.0	-7.990430622009569	4709504.0	98.34077322070988	3340.0	0.057416267942583726	
