Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
2302.0	3.510869565217391	1930.0	-0.532608695652174	-0.03260869565217391	2256.0	-121.0	0.18140929535232383	18.0	0.09745127436281859	9.765625	-0.026986506746626684	65.0	26.982159406418212	32768.0	7767.0	-236.7987804878049	1.6538582E7	504717.46826171875	12104.0	-71.67682926829269	2351.0	-369.0243902439025	3985.3479853479853	2720.0	-2.229665071770335	932.0	776.0	-3.215311004784689	146.19119890832485	0.0	1344.0	1.8564593301435406	
2238.0	4.3478260869565215	1853.0	0.16304347826086957	-0.42391304347826086	2292.0	-130.0	0.19490254872563717	24.0	0.08545727136431784	19.53125	-0.035982008995502246	57.0	26.982159406418212	32768.0	7788.0	-237.43902439024393	1.6538902E7	504727.23388671875	11995.0	-87.5609756097561	2872.0	-365.70121951219517	3964.835164835165	2706.0	-2.6411483253588517	1104.0	1112.0	-2.401913875598086	98.26692294503474	4716832.0	1004.0	2.660287081339713	
2165.0	5.83695652173913	1716.0	0.9565217391304348	-0.8478260869565217	2331.0	-146.0	0.21889055472263869	27.0	0.07646176911544228	29.296875	-0.04047976011994003	51.0	26.982159406418212	32768.0	7672.0	-233.90243902439028	1.6539222E7	504736.99951171875	11232.0	-105.3048780487805	3454.0	-342.43902439024396	3954.578754578755	2699.0	-3.129186602870813	1308.0	1836.0	-1.4736842105263157	98.26692294503474	4716832.0	616.0	4.392344497607655	
2148.0	7.608695652173913	1553.0	1.141304347826087	-1.4891304347826086	2390.0	-160.0	0.239880059970015	38.0	0.06596701649175413	39.0625	-0.05697151424287856	44.0	26.982159406418212	32768.0	7302.0	-222.62195121951223	1.6539542E7	504746.76513671875	10161.0	-124.42073170731709	4081.0	-309.7865853658537	3967.765567765568	2708.0	-3.8564593301435406	1612.0	2624.0	-1.1674641148325358	98.26692294503474	4716832.0	488.0	6.277511961722488	
2220.0	8.880434782608695	1436.0	0.358695652173913	-2.467391304347826	2480.0	-175.0	0.2623688155922039	43.0	0.05847076461769115	48.828125	-0.06446776611694152	39.0	26.982159406418212	32768.0	6463.0	-197.0426829268293	1.6539862E7	504756.53076171875	8675.0	-145.5487804878049	4774.0	-264.4817073170732	3972.161172161172	2711.0	-5.033492822966507	2104.0	3200.0	-2.114832535885167	98.26692294503474	4716832.0	884.0	7.655502392344498	
2356.0	9.054347826086957	1420.0	-1.1195652173913042	-3.8043478260869565	2603.0	-177.0	0.2653673163418291	55.0	0.05547226386806597	58.59375	-0.08245877061469264	37.0	26.982159406418212	32768.0	6139.0	-187.16463414634148	1.6540182E7	504766.29638671875	6642.0	-158.96341463414635	5214.0	-202.50000000000003	3979.4871794871797	2716.0	-6.325358851674641	2644.0	3312.0	-3.9712918660287078	98.26692294503474	4716832.0	1660.0	7.923444976076555	
2509.0	7.978260869565217	1519.0	-2.782608695652174	-4.163043478260869	2636.0	-193.0	0.2893553223388306	63.0	0.05247376311844078	68.359375	-0.0944527736131934	35.0	26.982159406418212	32768.0	6574.0	-200.4268292682927	1.6540502E7	504776.06201171875	5849.0	-164.359756097561	5391.0	-178.32317073170734	3975.091575091575	2713.0	-6.641148325358851	2776.0	2868.0	-5.875598086124402	98.25918328700152	4717600.0	2456.0	6.861244019138756	
2595.0	6.141304347826087	1688.0	-3.717391304347826	-4.543478260869565	2671.0	-202.0	0.3028485757121439	66.0	0.041979010494752625	78.125	-0.09895052473763118	28.0	26.982159406418212	32768.0	7742.0	-236.03658536585368	1.6540822E7	504785.82763671875	5848.0	-162.43902439024393	5328.0	-178.2926829268293	3985.3479853479853	2720.0	-7.052631578947368	2948.0	2004.0	-6.784688995215311	98.25918328700152	4717600.0	2836.0	4.794258373205741	
2525.0	5.510869565217392	1746.0	-2.9565217391304346	-5.58695652173913	2767.0	-202.0	0.3028485757121439	66.0	0.041979010494752625	87.890625	-0.09895052473763118	28.0	26.982159406418212	32768.0	7747.0	-236.18902439024393	1.6541142E7	504795.59326171875	7253.0	-140.0	4592.0	-221.12804878048783	3970.6959706959706	2710.0	-7.923444976076555	3312.0	1604.0	-5.588516746411483	98.25918328700152	4717600.0	2336.0	3.8373205741626792	
2403.0	4.293478260869565	1858.0	-1.6304347826086956	-5.315217391304348	2742.0	-228.0	0.34182908545727136	80.0	0.038980509745127435	97.65625	-0.1199400299850075	26.0	26.982159406418212	32768.0	6943.0	-211.6768292682927	1.6541462E7	504805.35888671875	8844.0	-130.0	4264.0	-269.63414634146346	3951.6483516483518	2697.0	-7.617224880382775	3184.0	964.0	-3.8086124401913874	98.25918328700152	4717600.0	1592.0	2.3062200956937797	
2179.0	4.1521739130434785	1871.0	0.8043478260869565	-5.858695652173913	2792.0	-228.0	0.34182908545727136	80.0	0.038980509745127435	107.421875	-0.1199400299850075	26.0	26.982159406418212	32768.0	6376.0	-194.39024390243904	1.6541782E7	504815.12451171875	10009.0	-127.56097560975611	4184.0	-305.1524390243903	3982.4175824175827	2718.0	-7.9425837320574155	3320.0	864.0	-2.430622009569378	98.25918328700152	4717600.0	1016.0	2.0669856459330145	
1948.0	6.75	1632.0	3.3152173913043477	-6.739130434782608	2873.0	-246.0	0.36881559220389803	92.0	0.037481259370314844	117.1875	-0.13793103448275862	25.0	26.982159406418212	32768.0	4893.0	-149.1768292682927	1.6542102E7	504824.89013671875	10835.0	-144.4207317073171	4737.0	-330.3353658536586	3980.952380952381	2717.0	-9.24401913875598	3864.0	1628.0	0.5358851674641149	98.2503149542269	4718480.0	-224.0	3.894736842105263	
1773.0	10.043478260869565	1329.0	5.217391304347826	-7.445652173913043	2938.0	-256.0	0.383808095952024	109.0	0.037481259370314844	126.953125	-0.1634182908545727	25.0	26.982159406418212	32768.0	2771.0	-84.48170731707317	1.6542422E7	504834.65576171875	10914.0	-182.6829268292683	5992.0	-332.7439024390244	3970.6959706959706	2710.0	-10.124401913875598	4232.0	3252.0	3.2057416267942584	98.2503149542269	4718480.0	-1340.0	7.779904306220096	
1842.0	10.532608695652174	1284.0	4.467391304347826	-8.402173913043478	3026.0	-271.0	0.40629685157421286	117.0	0.05697151424287856	136.71875	-0.17541229385307347	38.0	26.982159406418212	32768.0	1001.0	-30.51829268292683	1.6542742E7	504844.42138671875	9017.0	-212.40853658536588	6967.0	-274.9085365853659	3973.6263736263736	2712.0	-11.291866028708133	4720.0	3908.0	3.2344497607655502	98.2503149542269	4718480.0	-1352.0	9.349282296650717	
2148.0	9.956521739130434	1337.0	1.141304347826087	-8.42391304347826	3028.0	-285.0	0.42728635682158916	127.0	0.07646176911544228	146.484375	-0.19040479760119938	51.0	26.982159406418212	32768.0	1599.0	-48.75000000000001	1.6543062E7	504854.18701171875	6614.0	-222.56097560975613	7300.0	-201.64634146341464	3945.787545787546	2693.0	-11.636363636363637	4864.0	3884.0	-0.4784688995215311	98.2503149542269	4718480.0	200.0	9.291866028708133	
2442.0	8.804347826086957	1443.0	-2.0543478260869565	-7.391304347826087	2933.0	-301.0	0.4512743628185907	137.0	0.08245877061469264	156.25	-0.20539730134932532	55.0	26.982159406418212	32768.0	3700.0	-112.8048780487805	1.6543382E7	504863.95263671875	5401.0	-221.25000000000003	7257.0	-164.66463414634148	3982.4175824175827	2718.0	-10.210526315789473	4268.0	3516.0	-4.497607655502392	98.2503149542269	4718480.0	1880.0	8.411483253588516	
2634.0	7.423913043478261	1570.0	-4.141304347826087	-7.076086956521739	2904.0	-305.0	0.45727136431784104	150.0	0.09295352323838081	166.015625	-0.22488755622188905	62.0	26.982159406418212	32768.0	4856.0	-148.0487804878049	1.6543702E7	504873.71826171875	5332.0	-217.74390243902442	7142.0	-162.5609756097561	3986.813186813187	2721.0	-9.82775119617225	4108.0	2820.0	-7.23444976076555	98.24531645133831	4718976.0	3024.0	6.746411483253588	
2627.0	5.989130434782608	1702.0	-4.065217391304348	-7.260869565217391	2921.0	-322.0	0.48275862068965514	163.0	0.10494752623688156	175.78125	-0.24437781109445278	70.0	26.982159406418212	32768.0	3421.0	-104.29878048780489	1.6544022E7	504883.48388671875	5103.0	-201.859756097561	6621.0	-155.57926829268294	3976.5567765567766	2714.0	-9.84688995215311	4116.0	1832.0	-7.110047846889952	98.24531645133831	4718976.0	2972.0	4.382775119617225	
2500.0	3.5978260869565215	1922.0	-2.684782608695652	-7.956521739130435	2985.0	-329.0	0.4932533733133433	172.0	0.10644677661169415	185.546875	-0.2578710644677661	71.0	26.982159406418212	32768.0	2179.0	-66.4329268292683	1.6544342E7	504893.24951171875	5462.0	-186.58536585365854	6120.0	-166.52439024390245	3963.3699633699634	2705.0	-10.373205741626794	4336.0	732.0	-5.492822966507177	98.24531645133831	4718976.0	2296.0	1.7511961722488039	
2327.0	1.5	2115.0	-0.8043478260869565	-9.380434782608695	3116.0	-337.0	0.505247376311844	186.0	0.11094452773613193	195.3125	-0.2788605697151424	74.0	26.982159406418212	32768.0	2245.0	-68.44512195121952	1.6544662E7	504903.01513671875	6210.0	-168.2317073170732	5518.0	-189.32926829268294	3969.2307692307695	2709.0	-11.980861244019138	5008.0	-132.0	-3.38755980861244	98.24531645133831	4718976.0	1416.0	-0.3157894736842105	
2182.0	1.2717391304347825	2136.0	0.7717391304347826	-12.032608695652174	3360.0	-345.0	0.5172413793103449	188.0	0.12143928035982009	205.078125	-0.2818590704647676	81.0	26.982159406418212	32768.0	2753.0	-83.9329268292683	1.6544982E7	504912.78076171875	7334.0	-146.64634146341464	4810.0	-223.59756097560978	3961.904761904762	2704.0	-14.727272727272727	6156.0	-240.0	-1.588516746411483	98.24531645133831	4718976.0	664.0	-0.5741626794258373	
2050.0	3.4782608695652173	1933.0	2.2065217391304346	-12.83695652173913	3434.0	-352.0	0.527736131934033	202.0	0.13343328335832083	214.84375	-0.3028485757121439	89.0	26.982159406418212	32768.0	2683.0	-81.79878048780489	1.6545302E7	504922.54638671875	8095.0	-125.82317073170732	4127.0	-246.7987804878049	3975.091575091575	2713.0	-15.665071770334928	6548.0	760.0	0.19138755980861244	98.24064044030509	4719440.0	-80.0	1.8181818181818181	
1832.0	6.489130434782608	1656.0	4.576086956521739	-11.108695652173912	3275.0	-361.0	0.5412293853073463	217.0	0.15442278860569714	224.609375	-0.32533733133433285	103.0	26.982159406418212	32768.0	999.0	-30.457317073170735	1.6545622E7	504932.31201171875	6857.0	-161.5548780487805	5299.0	-209.0548780487805	3950.1831501831502	2696.0	-14.258373205741627	5960.0	2056.0	3.090909090909091	98.24064044030509	4719440.0	-1292.0	4.918660287081339	
1690.0	7.239130434782608	1587.0	6.119565217391304	-11.58695652173913	3319.0	-362.0	0.5427286356821589	221.0	0.16941529235382308	234.375	-0.3313343328335832	113.0	26.982159406418212	32768.0	-145.0	4.420731707317073	1.6545942E7	504942.07763671875	4456.0	-197.07317073170734	6464.0	-135.85365853658539	3976.5567765567766	2714.0	-14.842105263157894	6204.0	2468.0	4.545454545454545	98.24064044030509	4719440.0	-1900.0	5.904306220095694	
1864.0	6.880434782608695	1620.0	4.228260869565217	-10.934782608695652	3259.0	-367.0	0.5502248875562219	231.0	0.18140929535232383	244.140625	-0.34632683658170915	121.0	26.982159406418212	32768.0	961.0	-29.29878048780488	1.6546262E7	504951.84326171875	2447.0	-184.1158536585366	6039.0	-74.60365853658537	3972.161172161172	2711.0	-13.521531100478468	5652.0	2440.0	1.7894736842105263	98.24064044030509	4719440.0	-748.0	5.837320574162679	
2260.0	5.858695652173913	1714.0	-0.07608695652173914	-8.184782608695652	3006.0	-366.0	0.5487256371814093	249.0	0.19490254872563717	253.90625	-0.3733133433283358	130.0	26.982159406418212	32768.0	2057.0	-62.713414634146346	1.6546582E7	504961.60888671875	-498.0	-186.82926829268294	6128.0	15.182926829268293	3956.0439560439563	2700.0	-11.980861244019138	5008.0	2276.0	-0.9186602870813396	98.24064044030509	4719440.0	384.0	5.444976076555024	
2296.0	4.293478260869565	1858.0	-0.46739130434782605	-6.858695652173913	2884.0	-366.0	0.5487256371814093	261.0	0.20389805097451275	263.671875	-0.3913043478260869	136.0	26.982159406418212	32768.0	2235.0	-68.14024390243902	1.6546902E7	504971.37451171875	-2288.0	-157.6219512195122	5170.0	69.75609756097562	3980.952380952381	2717.0	-9.894736842105262	4136.0	1312.0	-3.7703349282296648	98.23370705851025	4720128.0	1576.0	3.138755980861244	
2001.0	2.967391304347826	1980.0	2.7391304347826084	-3.9239130434782608	2614.0	-368.0	0.5517241379310345	270.0	0.1934032983508246	273.4375	-0.4047976011994003	129.0	26.982159406418212	32768.0	3280.0	-100.00000000000001	1.6547222E7	504981.14013671875	-3929.0	-154.0548780487805	5053.0	119.78658536585367	3928.205128205128	2681.0	-7.358851674641148	3076.0	772.0	-0.49760765550239233	98.23370705851025	4720128.0	208.0	1.84688995215311	
1749.0	1.7608695652173914	2091.0	5.478260869565217	-2.75	2506.0	-371.0	0.5562218890554722	281.0	0.17691154422788605	283.203125	-0.4212893553223388	118.0	26.982159406418212	32768.0	3861.0	-117.71341463414635	1.6547542E7	504990.90576171875	-5311.0	-202.77439024390245	6651.0	161.9207317073171	3966.3003663003665	2707.0	-5.186602870813397	2168.0	208.0	3.4066985645933014	98.23370705851025	4720128.0	-1424.0	0.49760765550239233	
1863.0	1.7608695652173914	2091.0	4.239130434782608	-5.141304347826087	2726.0	-372.0	0.5577211394302848	297.0	0.1619190404797601	292.96875	-0.4452773613193403	108.0	26.982159406418212	32768.0	2076.0	-63.29268292682927	1.6547862E7	505000.67138671875	-4107.0	-202.46951219512198	6641.0	125.21341463414635	3978.021978021978	2715.0	-6.354066985645932	2656.0	-444.0	4.057416267942584	98.23370705851025	4720128.0	-1696.0	-1.062200956937799	
2376.0	-1.0217391304347825	2347.0	-1.3369565217391304	-19.782608695652172	4073.0	-370.0	0.5547226386806596	313.0	0.15892053973013492	302.734375	-0.46926536731634183	106.0	26.982159406418212	32768.0	-3663.0	111.67682926829269	1.6548182E7	505010.43701171875	3965.0	-116.92073170731709	3835.0	-120.88414634146342	3960.4395604395604	2703.0	-27.272727272727273	11400.0	-1340.0	-3.875598086124402	98.23370705851025	4720128.0	1620.0	-3.2057416267942584	
2165.0	-5.945652173913043	2800.0	0.9565217391304348	-19.130434782608695	4013.0	-376.0	0.5637181409295352	330.0	0.14392803598200898	312.5	-0.4947526236881559	96.0	26.982159406418212	32768.0	-299.0	9.115853658536587	1.6548502E7	505020.20263671875	-2796.0	167.5609756097561	-5496.0	85.2439024390244	3951.6483516483518	2697.0	-45.7799043062201	19136.0	-3812.0	-2.200956937799043	98.23354581727035	4720144.0	920.0	-9.119617224880383	
1604.0	0.532608695652174	2204.0	7.054347826086956	-10.456521739130434	3215.0	-378.0	0.5667166416791604	318.0	0.14992503748125938	322.265625	-0.4767616191904048	100.0	26.982159406418212	32768.0	508.0	-15.487804878048783	1.6548822E7	505029.96826171875	-5677.0	-109.29878048780489	3585.0	173.07926829268294	3970.6959706959706	2710.0	-8.995215311004785	3760.0	-72.0	6.277511961722488	98.23354581727035	4720144.0	-2624.0	-0.17224880382775118	
1694.0	0.14130434782608695	2240.0	6.076086956521739	-19.858695652173914	4080.0	-372.0	0.5577211394302848	326.0	0.13193403298350825	332.03125	-0.48875562218890556	88.0	26.982159406418212	32768.0	2593.0	-79.0548780487805	1.6549142E7	505039.73388671875	4519.0	3.231707317073171	-106.0	-137.77439024390245	3979.4871794871797	2716.0	-26.440191387559807	11052.0	-804.0	4.411483253588517	98.23354581727035	4720144.0	-1844.0	-1.9234449760765548	
1711.0	0.6847826086956521	2190.0	5.891304347826087	-19.804347826086957	4075.0	-376.0	0.5637181409295352	331.0	0.13043478260869565	341.796875	-0.4962518740629685	87.0	26.982159406418212	32768.0	2002.0	-61.03658536585366	1.6549462E7	505049.49951171875	-921.0	-8.384146341463415	275.0	28.07926829268293	3957.509157509158	2701.0	-22.535885167464112	9420.0	-688.0	4.488038277511961	98.23354581727035	4720144.0	-1876.0	-1.645933014354067	
