Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	ms	Ticks	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
2446.0	3.0217391304347827	1975.0	-2.0978260869565215	2267.0	-0.15217391304347827	0.10194902548725637	-68.0	0.17541229385307347	4.0	9.765625	117.0	-0.005997001499250375	26.982159406418212	32768.0	-188.01829268292684	6167.0	58920.5322265625	1930708.0	15.51829268292683	537.0	-509.0	-16.371951219512198	2715.0	3978.021978021978	1028.0	-2.4593301435406696	-4.918660287081339	608.0	146.19119890832485	0.0	2056.0	1.4545454545454546	
2392.0	3.293478260869565	1950.0	-1.5108695652173914	2211.0	0.45652173913043476	0.09745127436281859	-65.0	0.1679160419790105	-2.0	19.53125	112.0	0.0029985007496251873	26.982159406418212	32768.0	-204.0548780487805	6693.0	58930.2978515625	1931028.0	13.414634146341465	726.0	-440.0	-22.134146341463417	2711.0	3972.161172161172	748.0	-1.7894736842105263	-4.277511961722488	740.0	98.22064654711951	4721424.0	1788.0	1.770334928229665	
2339.0	3.608695652173913	1921.0	-0.9347826086956521	2171.0	0.8913043478260869	0.10044977511244378	-67.0	0.13793103448275862	-3.0	29.296875	92.0	0.004497751124437781	26.982159406418212	32768.0	-218.14024390243904	7155.0	58940.0634765625	1931348.0	7.621951219512196	1055.0	-250.0	-32.16463414634146	2693.0	3945.787545787546	544.0	-1.3014354066985645	-3.6076555023923444	888.0	98.22064654711951	4721424.0	1508.0	2.124401913875598	
2307.0	4.021739130434782	1883.0	-0.5869565217391304	2155.0	1.065217391304348	0.0914542728635682	-61.0	0.12593703148425786	-1.0	39.0625	84.0	0.0014992503748125937	26.982159406418212	32768.0	-231.7987804878049	7603.0	58949.8291015625	1931668.0	0.48780487804878053	1400.0	-16.0	-42.6829268292683	2710.0	3970.6959706959706	460.0	-1.1004784688995215	-3.2344497607655502	1092.0	98.22064654711951	4721424.0	1352.0	2.61244019138756	
2353.0	4.804347826086956	1811.0	-1.0869565217391304	2162.0	0.9891304347826086	0.0944527736131934	-63.0	0.11394302848575712	6.0	48.828125	76.0	-0.008995502248875561	26.982159406418212	32768.0	-244.96951219512198	8035.0	58959.5947265625	1931988.0	-3.0182926829268295	1771.0	99.0	-53.993902439024396	2698.0	3953.1135531135533	476.0	-1.138755980861244	-3.7607655502392343	1444.0	98.22064654711951	4721424.0	1572.0	3.4545454545454546	
2401.0	5.793478260869565	1720.0	-1.608695652173913	2148.0	1.141304347826087	0.10944527736131934	-73.0	0.08395802098950525	14.0	58.59375	56.0	-0.020989505247376312	26.982159406418212	32768.0	-256.3109756097561	8407.0	58969.3603515625	1932308.0	-5.701219512195123	1869.0	187.0	-56.98170731707317	2719.0	3983.8827838827838	424.0	-1.014354066985646	-4.421052631578947	1916.0	98.22064654711951	4721424.0	1848.0	4.583732057416268	
2432.0	6.706521739130435	1636.0	-1.9456521739130435	2159.0	1.0217391304347825	0.09895052473763118	-66.0	0.06746626686656672	19.0	68.359375	45.0	-0.02848575712143928	26.982159406418212	32768.0	-267.6829268292683	8780.0	58979.1259765625	1932628.0	-5.426829268292684	1334.0	178.0	-40.670731707317074	2719.0	3983.8827838827838	512.0	-1.2248803827751196	-4.851674641148326	2304.0	98.2124232923401	4722240.0	2028.0	5.511961722488038	
