Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	ms	Ticks	deg/s	no_units	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
-2.4347826086956523	2456.0	-2.2065217391304346	2477.0	1.4130434782608696	2123.0	6.0	-0.008995502248875561	33.0	0.45277361319340326	9.765625	302.0	-0.04947526236881559	32768.0	26.982159406418212	1743.0	-53.14024390243903	188958.984375	6191808.0	-3.4756097560975614	-1186.0	36.15853658536586	114.0	2695.0	3948.7179487179487	312.0	-0.7464114832535885	-4.918660287081339	-1824.0	146.19119890832485	0.0	2056.0	-4.363636363636363	
-3.1304347826086953	2404.0	-1.641304347826087	2541.0	1.4456521739130435	2120.0	-6.0	0.008995502248875561	23.0	0.4512743628185907	19.53125	301.0	-0.034482758620689655	32768.0	26.982159406418212	2088.0	-63.65853658536586	188968.75	6192128.0	-8.719512195121952	-1019.0	31.06707317073171	286.0	2705.0	3963.3699633699634	284.0	-0.6794258373205742	-4.497607655502392	-2116.0	98.17308098421833	4726144.0	1880.0	-5.062200956937799	
-3.543478260869565	2382.0	-1.4021739130434783	2579.0	1.5652173913043477	2109.0	2.0	-0.0029985007496251873	31.0	0.44377811094452774	29.296875	296.0	-0.046476761619190406	32768.0	26.982159406418212	2428.0	-74.02439024390245	188978.515625	6192448.0	-16.3109756097561	-680.0	20.731707317073173	535.0	2687.0	3936.9963369963366	220.0	-0.5263157894736842	-4.0	-2356.0	98.17308098421833	4726144.0	1672.0	-5.636363636363636	
-3.75	2374.0	-1.315217391304348	2598.0	1.7391304347826086	2093.0	0.0	0.0	26.0	0.4407796101949025	39.0625	294.0	-0.038980509745127435	32768.0	26.982159406418212	2840.0	-86.58536585365854	188988.28125	6192768.0	-24.176829268292686	-329.0	10.03048780487805	793.0	2699.0	3954.578754578755	160.0	-0.3827751196172249	-3.875598086124402	-2488.0	98.17308098421833	4726144.0	1620.0	-5.952153110047846	
-3.510869565217391	2402.0	-1.6195652173913042	2576.0	1.8043478260869565	2087.0	-4.0	0.005997001499250375	26.0	0.4332833583208396	48.828125	289.0	-0.038980509745127435	32768.0	26.982159406418212	3286.0	-100.1829268292683	188998.046875	6193088.0	-34.11585365853659	61.0	-1.8597560975609757	1119.0	2702.0	3958.9743589743593	104.0	-0.24880382775119617	-4.162679425837321	-2392.0	98.17308098421833	4726144.0	1740.0	-5.722488038277512	
-3.3369565217391304	2465.0	-2.3043478260869565	2560.0	1.1195652173913042	2150.0	-7.0	0.010494752623688156	21.0	0.424287856071964	58.59375	283.0	-0.031484257871064465	32768.0	26.982159406418212	3782.0	-115.3048780487805	189007.8125	6193408.0	-39.48170731707317	622.0	-18.963414634146343	1295.0	2692.0	3944.3223443223446	416.0	-0.9952153110047847	-4.985645933014354	-2260.0	98.17308098421833	4726144.0	2084.0	-5.4066985645933014	
-2.2065217391304346	2516.0	-2.858695652173913	2456.0	0.8152173913043478	2178.0	-2.0	0.0029985007496251873	15.0	0.41829085457271364	68.359375	279.0	-0.022488755622188904	32768.0	26.982159406418212	4205.0	-128.20121951219514	189017.578125	6193728.0	-37.86585365853659	-24.0	0.7317073170731708	1242.0	2698.0	3953.1135531135533	540.0	-1.2918660287081338	-5.5406698564593295	-1820.0	98.16550281403109	4726896.0	2316.0	-4.354066985645932	
-1.3369565217391304	2513.0	-2.8260869565217392	2376.0	1.4782608695652173	2117.0	-2.0	0.0029985007496251873	15.0	0.41829085457271364	78.125	279.0	-0.022488755622188904	32768.0	26.982159406418212	4683.0	-142.77439024390245	189027.34375	6194048.0	-43.38414634146342	-523.0	15.945121951219514	1423.0	2690.0	3941.3919413919416	260.0	-0.6220095693779905	-5.5406698564593295	-1344.0	98.16550281403109	4726896.0	2316.0	-3.215311004784689	
-0.22826086956521738	2474.0	-2.402173913043478	2274.0	1.4456521739130435	2120.0	-11.0	0.01649175412293853	11.0	0.3988005997001499	87.890625	266.0	-0.01649175412293853	32768.0	26.982159406418212	4944.0	-150.7317073170732	189037.109375	6194368.0	-45.274390243902445	-1332.0	40.60975609756098	1485.0	2691.0	3942.857142857143	244.0	-0.5837320574162679	-5.052631578947368	-848.0	98.16550281403109	4726896.0	2112.0	-2.028708133971292	
-0.05434782608695652	2423.0	-1.8478260869565217	2258.0	1.858695652173913	2082.0	-11.0	0.01649175412293853	11.0	0.3988005997001499	97.65625	266.0	-0.01649175412293853	32768.0	26.982159406418212	5142.0	-156.76829268292684	189046.875	6194688.0	-48.018292682926834	-2056.0	62.6829268292683	1575.0	2697.0	3951.6483516483518	108.0	-0.2583732057416268	-4.6028708133971294	-784.0	98.16550281403109	4726896.0	1924.0	-1.875598086124402	
