Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	no_units	deg/s	deg/s	no_units	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
2764.0	-1.684782608695652	2408.0	-5.554347826086956	2099.0	1.6739130434782608	21.0	-0.031484257871064465	9.0	0.3313343328335832	9.765625	221.0	-0.013493253373313342	26.982159406418212	32768.0	-699.0	21.3109756097561	303450.25634765625	9943458.0	-27.0	-20.30487804878049	0.8231707317073171	666.0	3970.6959706959706	2710.0	200.0	-0.4784688995215311	-1576.0	-8.736842105263158	0.0	146.19119890832485	-3.7703349282296648	3652.0	
2769.0	-1.7282608695652173	2412.0	-5.608695652173913	2097.0	1.6956521739130435	25.0	-0.037481259370314844	0.0	0.3313343328335832	19.53125	221.0	0.0	26.982159406418212	32768.0	-697.0	21.250000000000004	303460.02197265625	9943778.0	-151.0	-21.219512195121954	4.603658536585367	696.0	3960.4395604395604	2703.0	188.0	-0.4497607655502392	-1620.0	-8.727272727272727	4725712.0	98.1774344100887	-3.875598086124402	3648.0	
2766.0	-1.8043478260869565	2419.0	-5.576086956521739	2054.0	2.1630434782608696	15.0	-0.022488755622188904	0.0	0.335832083958021	29.296875	224.0	0.0	26.982159406418212	32768.0	-694.0	21.158536585365855	303469.78759765625	9944098.0	-420.0	-23.871951219512198	12.80487804878049	783.0	3954.578754578755	2699.0	-24.0	0.057416267942583726	-1644.0	-8.746411483253588	4725712.0	98.1774344100887	-3.9330143540669855	3656.0	
2755.0	-2.032608695652174	2440.0	-5.456521739130435	2056.0	2.141304347826087	19.0	-0.02848575712143928	6.0	0.33433283358320837	39.0625	223.0	-0.008995502248875561	26.982159406418212	32768.0	-738.0	22.500000000000004	303479.55322265625	9944418.0	-596.0	-25.213414634146343	18.170731707317074	827.0	3941.3919413919416	2690.0	-64.0	0.15311004784688995	-1764.0	-8.507177033492823	4725712.0	98.1774344100887	-4.220095693779904	3556.0	
2754.0	-2.380434782608696	2472.0	-5.445652173913043	2091.0	1.7608695652173914	12.0	-0.017991004497751123	8.0	0.33883058470764615	48.828125	226.0	-0.01199400299850075	26.982159406418212	32768.0	-829.0	25.27439024390244	303489.31884765625	9944738.0	-605.0	-27.896341463414636	18.445121951219512	915.0	3947.252747252747	2694.0	124.0	-0.2966507177033493	-1928.0	-8.516746411483254	4725712.0	98.1774344100887	-4.6124401913875595	3560.0	
2778.0	-2.5543478260869565	2488.0	-5.706521739130435	2118.0	1.467391304347826	11.0	-0.01649175412293853	-1.0	0.3448275862068965	58.59375	230.0	0.0014992503748125937	26.982159406418212	32768.0	-964.0	29.39024390243903	303499.08447265625	9945058.0	-437.0	-33.04878048780488	13.323170731707318	1084.0	3932.6007326007325	2684.0	236.0	-0.5645933014354066	-2104.0	-8.77511961722488	4725712.0	98.1774344100887	-5.033492822966507	3668.0	
2799.0	-2.880434782608696	2518.0	-5.934782608695652	2139.0	1.2391304347826086	10.0	-0.014992503748125937	-4.0	0.34782608695652173	68.359375	232.0	0.005997001499250375	26.982159406418212	32768.0	-1112.0	33.90243902439025	303508.85009765625	9945378.0	72.0	-36.3719512195122	-2.1951219512195124	1193.0	3931.135531135531	2683.0	328.0	-0.784688995215311	-2168.0	-9.052631578947368	4726912.0	98.16534157658263	-5.186602870813397	3784.0	
