Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	ms	Ticks	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
2751.0	1.8043478260869565	-5.413043478260869	2087.0	2406.0	-1.6630434782608696	0.05697151424287856	-38.0	-18.0	0.21889055472263869	9.765625	146.0	0.026986506746626684	32768.0	26.982159406418212	-5.884146341463415	193.0	380033.203125	1.2452928E7	2.2865853658536586	294.0	-75.0	-8.963414634146343	2695.0	3948.7179487179487	1644.0	-3.9330143540669855	-12.0	-8.61244019138756	146.19119890832485	0.0	3600.0	-0.028708133971291863	
2729.0	1.8695652173913042	-5.173913043478261	2081.0	2433.0	-1.9565217391304348	0.05697151424287856	-38.0	-19.0	0.22188905547226387	19.53125	148.0	0.02848575712143928	32768.0	26.982159406418212	-7.713414634146342	253.0	380042.96875	1.2453248E7	4.420731707317073	372.0	-145.0	-11.341463414634147	2691.0	3942.857142857143	1756.0	-4.200956937799043	-4.0	-8.287081339712918	97.62331194603186	4780704.0	3464.0	-0.009569377990430622	
2698.0	1.934782608695652	-4.83695652173913	2075.0	2439.0	-2.0217391304347827	0.05547226386806597	-37.0	-20.0	0.22338830584707645	29.296875	149.0	0.029985007496251874	32768.0	26.982159406418212	-11.250000000000002	369.0	380052.734375	1.2453568E7	8.140243902439025	414.0	-267.0	-12.621951219512196	2692.0	3944.3223443223446	1804.0	-4.315789473684211	32.0	-7.9425837320574155	97.62331194603186	4780704.0	3320.0	0.07655502392344497	
2692.0	1.7282608695652173	-4.771739130434782	2094.0	2446.0	-2.0978260869565215	0.05697151424287856	-38.0	-23.0	0.21739130434782608	39.0625	145.0	0.034482758620689655	32768.0	26.982159406418212	-15.76219512195122	517.0	380062.5	1.2453888E7	9.786585365853659	289.0	-321.0	-8.810975609756099	2682.0	3929.6703296703295	1832.0	-4.382775119617225	-4.0	-7.779904306220096	97.62331194603186	4780704.0	3252.0	-0.009569377990430622	
2671.0	1.75	-4.543478260869565	2092.0	2419.0	-1.8043478260869565	0.05697151424287856	-38.0	-23.0	0.21739130434782608	48.828125	145.0	0.034482758620689655	32768.0	26.982159406418212	-21.707317073170735	712.0	380072.265625	1.2454208E7	13.384146341463415	228.0	-439.0	-6.951219512195123	2704.0	3961.904761904762	1732.0	-4.143540669856459	-36.0	-7.598086124401914	97.62331194603186	4780704.0	3176.0	-0.08612440191387559	
2640.0	1.7934782608695652	-4.206521739130435	2088.0	2387.0	-1.4565217391304348	0.05547226386806597	-37.0	-21.0	0.22338830584707645	58.59375	149.0	0.031484257871064465	32768.0	26.982159406418212	-28.62804878048781	939.0	380082.03125	1.2454528E7	18.231707317073173	338.0	-598.0	-10.30487804878049	2695.0	3948.7179487179487	1532.0	-3.665071770334928	-20.0	-7.23444976076555	97.62331194603186	4780704.0	3024.0	-0.04784688995215311	
2596.0	1.6521739130434783	-3.7282608695652173	2101.0	2360.0	-1.1630434782608696	0.05547226386806597	-37.0	-21.0	0.22338830584707645	68.359375	149.0	0.031484257871064465	32768.0	26.982159406418212	-38.32317073170732	1257.0	380091.796875	1.2454848E7	24.26829268292683	705.0	-796.0	-21.493902439024392	2686.0	3935.5311355311355	1368.0	-3.2727272727272725	-40.0	-6.602870813397129	97.61218866301394	4781808.0	2760.0	-0.09569377990430622	
