Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	m/(s^2)	no_units	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
2652.0	4.043478260869565	-4.33695652173913	1881.0	-0.9347826086956521	2339.0	6.0	-0.008995502248875561	0.15142428785607195	-11.0	9.765625	101.0	0.01649175412293853	32768.0	26.982159406418212	925.0	-28.201219512195124	1062782.0	32433.53271484375	900.0	36.951219512195124	-27.439024390243905	-1212.0	2695.0	3948.7179487179487	1276.0	-3.052631578947368	-7.492822966507177	1012.0	146.19119890832485	0.0	3132.0	2.4210526315789473	
2636.0	3.7391304347826084	-4.163043478260869	1909.0	-1.467391304347826	2388.0	5.0	-0.0074962518740629685	0.14692653673163417	-16.0	19.53125	98.0	0.0239880059970015	32768.0	26.982159406418212	1221.0	-37.22560975609756	1063102.0	32443.29833984375	1138.0	43.68902439024391	-34.69512195121951	-1433.0	2663.0	3901.8315018315016	1492.0	-3.5693779904306218	-7.1291866028708135	920.0	97.75179701846753	4767952.0	2980.0	2.200956937799043	
2620.0	3.4782608695652173	-3.9891304347826084	1933.0	-1.5326086956521738	2394.0	3.0	-0.004497751124437781	0.1454272863568216	-12.0	29.296875	97.0	0.017991004497751123	32768.0	26.982159406418212	1546.0	-47.13414634146342	1063422.0	32453.06396484375	1006.0	53.90243902439025	-30.670731707317074	-1768.0	2684.0	3932.6007326007325	1572.0	-3.7607655502392343	-6.9952153110047846	788.0	97.75179701846753	4767952.0	2924.0	1.8851674641148324	
2603.0	3.5	-3.8043478260869565	1931.0	-1.5652173913043477	2397.0	10.0	-0.014992503748125937	0.13793103448275862	-11.0	39.0625	92.0	0.01649175412293853	32768.0	26.982159406418212	1832.0	-55.85365853658537	1063742.0	32462.82958984375	921.0	67.95731707317074	-28.07926829268293	-2229.0	2689.0	3939.92673992674	1600.0	-3.827751196172249	-6.755980861244019	808.0	97.75179701846753	4767952.0	2824.0	1.9330143540669855	
2573.0	3.4456521739130435	-3.4782608695652173	1936.0	-1.7282608695652173	2412.0	15.0	-0.022488755622188904	0.1409295352323838	-7.0	48.828125	94.0	0.010494752623688156	32768.0	26.982159406418212	2120.0	-64.63414634146342	1064062.0	32472.59521484375	835.0	81.03658536585367	-25.457317073170735	-2658.0	2678.0	3923.809523809524	1636.0	-3.913875598086124	-6.382775119617224	796.0	97.75179701846753	4767952.0	2668.0	1.9043062200956937	
2560.0	3.3260869565217392	-3.3369565217391304	1947.0	-1.6304347826086956	2403.0	15.0	-0.022488755622188904	0.1409295352323838	-7.0	58.59375	94.0	0.010494752623688156	32768.0	26.982159406418212	2473.0	-75.39634146341464	1064382.0	32482.36083984375	655.0	92.98780487804879	-19.969512195121954	-3050.0	2686.0	3935.5311355311355	1620.0	-3.875598086124402	-6.1913875598086126	728.0	97.75179701846753	4767952.0	2588.0	1.7416267942583732	
2539.0	3.217391304347826	-3.108695652173913	1957.0	-1.358695652173913	2378.0	23.0	-0.034482758620689655	0.1199400299850075	-4.0	68.359375	80.0	0.005997001499250375	32768.0	26.982159406418212	2826.0	-86.15853658536587	1064702.0	32492.12646484375	734.0	106.67682926829269	-22.378048780487806	-3499.0	2666.0	3906.227106227106	1464.0	-3.5023923444976077	-5.990430622009569	688.0	97.740028387266	4769120.0	2504.0	1.645933014354067	
