Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	local_flux	no_units	ms	local_flux	no_units	Degrees Celsius	no_units	deg/s	no_units	ms	Ticks	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2600.0	-1.684782608695652	2408.0	-3.7717391304347827	2588.0	-3.641304347826087	0.22938530734632684	-153.0	0.328335832083958	11.0	9.765625	-0.01649175412293853	219.0	26.982159406418212	32768.0	-3.1707317073170733	104.0	85460.11352539062	2800357.0	428.0	-1.7682926829268295	58.0	-13.04878048780488	2681.0	3928.205128205128	2492.0	-5.961722488038277	-6.669856459330143	-1604.0	0.0	146.19119890832485	-3.8373205741626792	2788.0	
2600.0	-1.315217391304348	2374.0	-3.7717391304347827	2596.0	-3.7282608695652173	0.23088455772113942	-154.0	0.328335832083958	15.0	19.53125	-0.022488755622188904	219.0	26.982159406418212	32768.0	-4.695121951219512	154.0	85469.87915039062	2800677.0	93.0	-0.3353658536585366	11.0	-2.8353658536585367	2677.0	3922.3443223443223	2584.0	-6.181818181818182	-6.889952153110047	-1404.0	4764880.0	97.78275035869403	-3.3588516746411483	2880.0	
2635.0	-0.8804347826086957	2334.0	-4.1521739130434785	2604.0	-3.8152173913043477	0.22788605697151423	-152.0	0.3298350824587706	5.0	29.296875	-0.0074962518740629685	220.0	26.982159406418212	32768.0	-5.152439024390245	169.0	85479.64477539062	2800997.0	-216.0	1.7378048780487807	-57.0	6.585365853658537	2672.0	3915.0183150183148	2576.0	-6.162679425837321	-7.052631578947368	-1248.0	4764880.0	97.78275035869403	-2.985645933014354	2948.0	
2633.0	-0.8152173913043478	2328.0	-4.130434782608695	2593.0	-3.6956521739130435	0.2353823088455772	-157.0	0.3298350824587706	11.0	39.0625	-0.01649175412293853	220.0	26.982159406418212	32768.0	-3.8719512195121957	127.0	85489.41040039062	2801317.0	-387.0	2.804878048780488	-92.0	11.79878048780488	2674.0	3917.948717948718	2512.0	-6.00956937799043	-7.0047846889952154	-1240.0	4764880.0	97.78275035869403	-2.9665071770334928	2928.0	
2633.0	-0.6847826086956521	2316.0	-4.130434782608695	2582.0	-3.5760869565217392	0.22938530734632684	-153.0	0.328335832083958	12.0	48.828125	-0.017991004497751123	219.0	26.982159406418212	32768.0	3.26219512195122	-107.0	85499.17602539062	2801637.0	-322.0	0.6097560975609757	-20.0	9.817073170731708	2678.0	3923.809523809524	2488.0	-5.952153110047846	-7.033492822966507	-1176.0	4764880.0	97.78275035869403	-2.813397129186603	2940.0	
2654.0	-1.1304347826086956	2357.0	-4.358695652173913	2581.0	-3.5652173913043477	0.22938530734632684	-153.0	0.328335832083958	12.0	58.59375	-0.017991004497751123	219.0	26.982159406418212	32768.0	4.420731707317073	-145.0	85508.94165039062	2801957.0	-398.0	-0.39634146341463417	13.0	12.134146341463415	2672.0	3915.0183150183148	2460.0	-5.885167464114832	-7.282296650717703	-1356.0	4764880.0	97.78275035869403	-3.2440191387559807	3044.0	
2675.0	-1.3043478260869565	2373.0	-4.58695652173913	2601.0	-3.782608695652174	0.23088455772113942	-154.0	0.3298350824587706	14.0	68.359375	-0.020989505247376312	220.0	26.982159406418212	32768.0	2.713414634146342	-89.0	85518.70727539062	2802277.0	-350.0	-0.8231707317073171	27.0	10.670731707317074	2679.0	3925.274725274725	2576.0	-6.162679425837321	-7.502392344497608	-1520.0	4765648.0	97.77501199266038	-3.6363636363636362	3136.0	
