Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	deg/s	no_units	ms	Ticks	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
1545.0	6.880434782608695	1620.0	7.695652173913043	1624.0	6.83695652173913	93.0	-0.1394302848575712	440.0	-0.22188905547226387	9.765625	-0.6596701649175412	-148.0	32768.0	26.982159406418212	0.5487804878048781	-18.0	319191.4367675781	1.0459265E7	-2.6524390243902443	857.0	87.0	-26.128048780487806	2670.0	3912.087912087912	-2104.0	5.033492822966507	2368.0	6.287081339712919	146.19119890832485	0.0	-2628.0	5.665071770334928	
1557.0	6.83695652173913	1624.0	7.565217391304348	1611.0	6.978260869565217	89.0	-0.13343328335832083	442.0	-0.22338830584707645	19.53125	-0.6626686656671664	-149.0	32768.0	26.982159406418212	2.1951219512195124	-72.0	319201.2023925781	1.0459585E7	-1.2500000000000002	568.0	41.0	-17.31707317073171	2648.0	3879.8534798534797	-2184.0	5.22488038277512	2336.0	6.105263157894736	98.06328007029585	4737040.0	-2552.0	5.588516746411483	
1578.0	6.83695652173913	1624.0	7.33695652173913	1590.0	7.206521739130435	87.0	-0.13043478260869565	448.0	-0.22488755622188905	29.296875	-0.671664167916042	-150.0	32768.0	26.982159406418212	3.2926829268292686	-108.0	319210.9680175781	1.0459905E7	1.8902439024390245	273.0	-62.0	-8.323170731707318	2655.0	3890.10989010989	-2296.0	5.492822966507177	2364.0	5.741626794258373	98.06328007029585	4737040.0	-2400.0	5.655502392344498	
1609.0	6.967391304347826	1612.0	7.0	1578.0	7.33695652173913	84.0	-0.12593703148425786	445.0	-0.22038980509745126	39.0625	-0.6671664167916042	-147.0	32768.0	26.982159406418212	6.859756097560976	-225.0	319220.7336425781	1.0460225E7	7.286585365853659	-22.0	-239.0	0.6707317073170732	2651.0	3884.2490842490843	-2352.0	5.626794258373206	2404.0	5.473684210526316	98.06328007029585	4737040.0	-2288.0	5.751196172248804	
1619.0	6.956521739130435	1613.0	6.891304347826087	1570.0	7.423913043478261	90.0	-0.13493253373313344	450.0	-0.22638680659670163	48.828125	-0.6746626686656672	-151.0	32768.0	26.982159406418212	10.27439024390244	-337.0	319230.4992675781	1.0460545E7	13.810975609756099	-330.0	-453.0	10.060975609756099	2652.0	3885.714285714286	-2440.0	5.837320574162679	2336.0	5.358851674641148	98.06328007029585	4737040.0	-2240.0	5.588516746411483	
1635.0	6.673913043478261	1639.0	6.717391304347826	1559.0	7.543478260869565	86.0	-0.12893553223388304	445.0	-0.22188905547226387	58.59375	-0.6671664167916042	-148.0	32768.0	26.982159406418212	13.231707317073171	-434.0	319240.2648925781	1.0460865E7	17.896341463414636	-580.0	-587.0	17.682926829268293	2640.0	3868.131868131868	-2468.0	5.904306220095694	2280.0	5.177033492822966	98.06328007029585	4737040.0	-2164.0	5.454545454545454	
1657.0	6.706521739130435	1636.0	6.478260869565217	1556.0	7.576086956521739	86.0	-0.12893553223388304	445.0	-0.22188905547226387	68.359375	-0.6671664167916042	-148.0	32768.0	26.982159406418212	17.652439024390244	-579.0	319250.0305175781	1.0461185E7	23.475609756097562	-851.0	-770.0	25.945121951219516	2640.0	3868.131868131868	-2484.0	5.942583732057416	2268.0	4.899521531100478	98.0534449489887	4738016.0	-2048.0	5.425837320574162	
