Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
1535.0	5.9021739130434785	7.804347826086956	1710.0	1621.0	6.869565217391304	127.0	-0.19040479760119938	-0.20689655172413793	428.0	9.765625	-0.6416791604197901	-138.0	26.982159406418212	32768.0	255.0	-7.77439024390244	1.4350196E7	437933.2275390625	-64.0	-10.24390243902439	336.0	1.9512195121951221	2660.0	3897.4358974358975	-2152.0	5.148325358851674	1948.0	6.392344497607655	0.0	146.19119890832485	-2672.0	4.660287081339713	
1544.0	5.815217391304348	7.706521739130435	1718.0	1585.0	7.260869565217391	125.0	-0.1874062968515742	-0.20689655172413793	421.0	19.53125	-0.631184407796102	-138.0	26.982159406418212	32768.0	73.0	-2.2256097560975614	1.4350516E7	437942.9931640625	204.0	-9.786585365853659	321.0	-6.219512195121951	2643.0	3872.5274725274726	-2316.0	5.5406698564593295	1900.0	6.277511961722488	4747664.0	97.9562241508032	-2624.0	4.545454545454545	
1552.0	5.33695652173913	7.619565217391304	1762.0	1536.0	7.793478260869565	125.0	-0.1874062968515742	-0.2083958020989505	425.0	29.296875	-0.6371814092953523	-139.0	26.982159406418212	32768.0	46.0	-1.402439024390244	1.4350836E7	437952.7587890625	550.0	-4.176829268292684	137.0	-16.76829268292683	2654.0	3888.644688644689	-2596.0	6.2105263157894735	1716.0	6.0765550239234445	4747664.0	97.9562241508032	-2540.0	4.105263157894736	
1576.0	5.380434782608695	7.358695652173913	1758.0	1532.0	7.83695652173913	124.0	-0.18590704647676162	-0.20239880059970014	425.0	39.0625	-0.6371814092953523	-135.0	26.982159406418212	32768.0	-14.0	0.426829268292683	1.4351156E7	437962.5244140625	602.0	3.2012195121951224	-105.0	-18.353658536585368	2647.0	3878.388278388278	-2628.0	6.287081339712919	1700.0	5.875598086124402	4747664.0	97.9562241508032	-2456.0	4.0669856459330145	
1558.0	5.663043478260869	7.554347826086956	1732.0	1574.0	7.380434782608695	123.0	-0.18440779610194902	-0.20389805097451275	423.0	48.828125	-0.6341829085457271	-136.0	26.982159406418212	32768.0	-66.0	2.0121951219512195	1.4351476E7	437972.2900390625	711.0	9.390243902439025	-308.0	-21.676829268292686	2656.0	3891.5750915750914	-2396.0	5.732057416267942	1840.0	6.00956937799043	4747664.0	97.9562241508032	-2512.0	4.401913875598086	
1531.0	6.184782608695652	7.8478260869565215	1684.0	1623.0	6.8478260869565215	123.0	-0.18440779610194902	-0.20389805097451275	423.0	58.59375	-0.6341829085457271	-136.0	26.982159406418212	32768.0	-58.0	1.7682926829268295	1.4351796E7	437982.0556640625	764.0	12.347560975609758	-405.0	-23.292682926829272	2662.0	3900.3663003663005	-2140.0	5.119617224880383	2064.0	6.421052631578947	4747664.0	97.9562241508032	-2684.0	4.937799043062201	
1500.0	6.58695652173913	8.184782608695652	1647.0	1656.0	6.489130434782608	121.0	-0.18140929535232383	-0.20689655172413793	417.0	68.359375	-0.6251874062968515	-138.0	26.982159406418212	32768.0	-103.0	3.1402439024390247	1.4352116E7	437991.8212890625	751.0	11.036585365853659	-362.0	-22.896341463414636	2642.0	3871.062271062271	-1980.0	4.7368421052631575	2264.0	6.813397129186603	4748976.0	97.94300366381117	-2848.0	5.4162679425837315	
1487.0	7.021739130434782	8.326086956521738	1607.0	1685.0	6.173913043478261	121.0	-0.18140929535232383	-0.20689655172413793	417.0	78.125	-0.6251874062968515	-138.0	26.982159406418212	32768.0	-141.0	4.298780487804878	1.4352436E7	438001.5869140625	594.0	8.048780487804878	-264.0	-18.10975609756098	2654.0	3888.644688644689	-1840.0	4.401913875598086	2428.0	7.0143540669856455	4748976.0	97.94300366381117	-2932.0	5.8086124401913874	
1480.0	7.130434782608695	8.402173913043478	1597.0	1705.0	5.956521739130435	119.0	-0.17841079460269865	-0.21139430284857572	417.0	87.890625	-0.6251874062968515	-141.0	26.982159406418212	32768.0	-110.0	3.353658536585366	1.4352756E7	438011.3525390625	477.0	5.609756097560976	-184.0	-14.54268292682927	2651.0	3884.2490842490843	-1752.0	4.1913875598086126	2508.0	7.033492822966507	4748976.0	97.94300366381117	-2940.0	6.0	
1476.0	7.108695652173913	8.445652173913043	1599.0	1707.0	5.934782608695652	116.0	-0.17391304347826086	-0.20089955022488756	420.0	97.65625	-0.6296851574212894	-134.0	26.982159406418212	32768.0	-83.0	2.530487804878049	1.4353076E7	438021.1181640625	417.0	2.7743902439024395	-91.0	-12.713414634146343	2657.0	3893.040293040293	-1732.0	4.143540669856459	2504.0	6.976076555023923	4748976.0	97.94300366381117	-2916.0	5.990430622009569	
1474.0	7.065217391304348	8.467391304347826	1603.0	1707.0	5.934782608695652	119.0	-0.17841079460269865	-0.2083958020989505	426.0	107.421875	-0.6386806596701649	-139.0	26.982159406418212	32768.0	-57.0	1.7378048780487807	1.4353396E7	438030.8837890625	354.0	1.3109756097560976	-43.0	-10.792682926829269	2652.0	3885.714285714286	-1728.0	4.133971291866029	2500.0	6.9952153110047846	4748976.0	97.94300366381117	-2924.0	5.980861244019138	
1487.0	7.184782608695652	8.326086956521738	1592.0	1693.0	6.08695652173913	115.0	-0.17241379310344826	-0.21889055472263869	422.0	117.1875	-0.6326836581709145	-146.0	26.982159406418212	32768.0	-29.0	0.8841463414634148	1.4353716E7	438040.6494140625	252.0	-0.853658536585366	28.0	-7.682926829268293	2644.0	3873.992673992674	-1788.0	4.277511961722488	2532.0	6.966507177033493	4749712.0	97.93558731944738	-2912.0	6.057416267942584	
1489.0	7.33695652173913	8.304347826086957	1578.0	1682.0	6.206521739130435	115.0	-0.17241379310344826	-0.21139430284857572	416.0	126.953125	-0.623688155922039	-141.0	26.982159406418212	32768.0	29.0	-0.8841463414634148	1.4354036E7	438050.4150390625	87.0	-1.3719512195121952	45.0	-2.6524390243902443	2654.0	3888.644688644689	-1852.0	4.430622009569378	2580.0	6.937799043062201	4749712.0	97.93558731944738	-2900.0	6.172248803827751	
