Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	ms	Ticks	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
1418.0	6.445652173913043	1660.0	9.076086956521738	1856.0	4.315217391304348	0.11394302848575712	-76.0	-0.004497751124437781	597.0	9.765625	-3.0	-0.8950524737631184	26.982159406418212	32768.0	-3.2012195121951224	105.0	405767.39501953125	1.3296186E7	-2.0121951219512195	564.0	66.0	-17.195121951219512	2661.0	3898.901098901099	-1004.0	2.401913875598086	2156.0	7.741626794258373	146.19119890832485	0.0	-3236.0	5.157894736842105	
1405.0	6.565217391304348	1649.0	9.217391304347826	1827.0	4.630434782608695	0.1184407796101949	-79.0	-0.01199400299850075	596.0	19.53125	-8.0	-0.8935532233883058	26.982159406418212	32768.0	-0.426829268292683	14.0	405777.16064453125	1.3296506E7	-0.8231707317073171	395.0	27.0	-12.042682926829269	2660.0	3897.4358974358975	-1172.0	2.803827751196172	2188.0	7.971291866028708	97.7005312755478	4773040.0	-3332.0	5.23444976076555	
1411.0	6.684782608695652	1638.0	9.152173913043478	1824.0	4.663043478260869	0.1199400299850075	-80.0	-0.008995502248875561	595.0	29.296875	-6.0	-0.8920539730134932	26.982159406418212	32768.0	1.5243902439024393	-50.0	405786.92626953125	1.3296826E7	-2.987804878048781	145.0	98.0	-4.420731707317073	2650.0	3882.7838827838827	-1216.0	2.909090909090909	2260.0	7.923444976076555	97.7005312755478	4773040.0	-3312.0	5.4066985645933014	
1429.0	6.630434782608695	1643.0	8.956521739130434	1821.0	4.695652173913043	0.1199400299850075	-80.0	-0.010494752623688156	602.0	39.0625	-7.0	-0.9025487256371814	26.982159406418212	32768.0	3.4451219512195124	-113.0	405796.69189453125	1.3297146E7	-1.7987804878048783	-81.0	59.0	2.4695121951219514	2641.0	3869.5970695970695	-1252.0	2.9952153110047846	2228.0	7.712918660287081	97.7005312755478	4773040.0	-3224.0	5.330143540669856	
1438.0	6.739130434782608	1633.0	8.858695652173912	1844.0	4.445652173913043	0.1199400299850075	-80.0	-0.010494752623688156	602.0	48.828125	-7.0	-0.9025487256371814	26.982159406418212	32768.0	5.0304878048780495	-165.0	405806.45751953125	1.3297466E7	0.24390243902439027	-298.0	-8.0	9.085365853658537	2642.0	3871.062271062271	-1168.0	2.7942583732057416	2296.0	7.521531100478469	97.7005312755478	4773040.0	-3144.0	5.492822966507177	
1440.0	6.9021739130434785	1618.0	8.83695652173913	1868.0	4.184782608695652	0.11394302848575712	-76.0	-0.01199400299850075	599.0	58.59375	-8.0	-0.8980509745127436	26.982159406418212	32768.0	6.250000000000001	-205.0	405816.22314453125	1.3297786E7	3.2012195121951224	-480.0	-105.0	14.634146341463415	2636.0	3862.2710622710624	-988.0	2.3636363636363638	2388.0	7.521531100478469	97.7005312755478	4773040.0	-3144.0	5.712918660287081	
1421.0	6.956521739130435	1613.0	9.043478260869565	1883.0	4.021739130434782	0.11394302848575712	-76.0	-0.01199400299850075	599.0	68.359375	-8.0	-0.8980509745127436	26.982159406418212	32768.0	7.103658536585367	-233.0	405825.98876953125	1.3298106E7	5.548780487804879	-639.0	-182.0	19.481707317073173	2655.0	3890.10989010989	-932.0	2.229665071770335	2392.0	7.741626794258373	97.69263191776649	4773824.0	-3236.0	5.722488038277512	
1404.0	6.869565217391304	1621.0	9.228260869565217	1895.0	3.891304347826087	0.11094452773613193	-74.0	-0.017991004497751123	602.0	78.125	-12.0	-0.9025487256371814	26.982159406418212	32768.0	7.225609756097562	-237.0	405835.75439453125	1.3298426E7	5.3048780487804885	-678.0	-174.0	20.670731707317074	2659.0	3895.970695970696	-820.0	1.9617224880382775	2376.0	7.971291866028708	97.69263191776649	4773824.0	-3332.0	5.684210526315789	
1404.0	6.684782608695652	1638.0	9.228260869565217	1906.0	3.7717391304347827	0.10494752623688156	-70.0	-0.014992503748125937	601.0	87.890625	-10.0	-0.9010494752623688	26.982159406418212	32768.0	6.920731707317074	-227.0	405845.52001953125	1.3298746E7	4.237804878048781	-614.0	-139.0	18.719512195121954	2659.0	3895.970695970696	-748.0	1.7894736842105263	2252.0	8.028708133971291	97.69263191776649	4773824.0	-3356.0	5.38755980861244	
1411.0	6.510869565217391	1654.0	9.152173913043478	1919.0	3.6304347826086953	0.1184407796101949	-79.0	-0.013493253373313342	602.0	97.65625	-9.0	-0.9025487256371814	26.982159406418212	32768.0	6.341463414634147	-208.0	405855.28564453125	1.3299066E7	4.0548780487804885	-462.0	-133.0	14.085365853658537	2649.0	3881.3186813186812	-740.0	1.770334928229665	2216.0	7.894736842105263	97.69263191776649	4773824.0	-3300.0	5.301435406698564	
1425.0	6.532608695652174	1652.0	9.0	1925.0	3.5652173913043477	0.11244377811094453	-75.0	-0.022488755622188904	601.0	107.421875	-15.0	-0.9010494752623688	26.982159406418212	32768.0	6.00609756097561	-197.0	405865.05126953125	1.3299386E7	6.036585365853659	-295.0	-198.0	8.99390243902439	2632.0	3856.4102564102564	-724.0	1.7320574162679425	2196.0	7.751196172248804	97.69263191776649	4773824.0	-3240.0	5.253588516746412	
1435.0	6.728260869565217	1634.0	8.891304347826086	1912.0	3.7065217391304346	0.11544227886056971	-77.0	-0.017991004497751123	591.0	117.1875	-12.0	-0.8860569715142429	26.982159406418212	32768.0	6.371951219512196	-209.0	405874.81689453125	1.3299706E7	8.689024390243903	-258.0	-285.0	7.865853658536586	2655.0	3890.10989010989	-772.0	1.84688995215311	2260.0	7.578947368421052	97.68392652799554	4774688.0	-3168.0	5.4066985645933014	
1438.0	6.858695652173913	1622.0	8.858695652173912	1897.0	3.869565217391304	0.11544227886056971	-77.0	-0.01649175412293853	608.0	126.953125	-11.0	-0.9115442278860569	26.982159406418212	32768.0	6.7682926829268295	-222.0	405884.58251953125	1.3300026E7	9.908536585365855	-383.0	-325.0	11.676829268292684	2646.0	3876.923076923077	-836.0	2.0	2348.0	7.569377990430621	97.68392652799554	4774688.0	-3164.0	5.617224880382775	
1442.0	6.934782608695652	1615.0	8.815217391304348	1879.0	4.065217391304348	0.11544227886056971	-77.0	-0.014992503748125937	594.0	136.71875	-10.0	-0.8905547226386806	26.982159406418212	32768.0	8.231707317073171	-270.0	405894.34814453125	1.3300346E7	9.847560975609756	-625.0	-323.0	19.05487804878049	2654.0	3888.644688644689	-892.0	2.1339712918660285	2388.0	7.483253588516746	97.68392652799554	4774688.0	-3128.0	5.712918660287081	
1458.0	6.880434782608695	1620.0	8.641304347826086	1863.0	4.239130434782608	0.11394302848575712	-76.0	-0.017991004497751123	597.0	146.484375	-12.0	-0.8950524737631184	26.982159406418212	32768.0	10.182926829268293	-334.0	405904.11376953125	1.3300666E7	9.969512195121952	-910.0	-327.0	27.743902439024392	2647.0	3878.388278388278	-988.0	2.3636363636363638	2388.0	7.291866028708133	97.68392652799554	4774688.0	-3048.0	5.712918660287081	
