Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	local_flux	no_units	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	no_units	deg/s	deg/s	no_units	mV	no_units	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
1791.0	1.5543478260869565	5.021739130434782	2110.0	1706.0	5.945652173913043	-0.06596701649175413	44.0	-0.0029985007496251873	602.0	9.765625	-2.0	-0.9025487256371814	26.982159406418212	32768.0	-4608.0	140.4878048780488	110639.5263671875	3625436.0	195.0	47.53048780487806	-5.945121951219512	-1559.0	3869.5970695970695	2641.0	-1868.0	4.4688995215311005	3.38755980861244	-152.0	0.0	146.19119890832485	-1416.0	-0.36363636363636365	
1781.0	1.9456521739130435	5.130434782608695	2074.0	1707.0	5.934782608695652	-0.05547226386806597	37.0	-0.025487256371814093	582.0	19.53125	-17.0	-0.8725637181409295	26.982159406418212	32768.0	-4943.0	150.70121951219514	110649.2919921875	3625756.0	236.0	55.60975609756098	-7.195121951219513	-1824.0	3895.970695970696	2659.0	-1804.0	4.315789473684211	3.5023923444976077	56.0	4768288.0	97.74841151692657	-1464.0	0.1339712918660287	
1776.0	2.3152173913043477	5.184782608695652	2040.0	1723.0	5.760869565217392	-0.04947526236881559	33.0	-0.029985007496251874	575.0	29.296875	-20.0	-0.8620689655172413	26.982159406418212	32768.0	-5318.0	162.13414634146343	110659.0576171875	3626076.0	33.0	62.804878048780495	-1.0060975609756098	-2060.0	3837.3626373626375	2619.0	-1740.0	4.162679425837321	3.5215311004784686	236.0	4768288.0	97.74841151692657	-1472.0	0.5645933014354066	
1781.0	2.6956521739130435	5.130434782608695	2005.0	1734.0	5.641304347826087	-0.04047976011994003	27.0	-0.04497751124437781	576.0	39.0625	-30.0	-0.8635682158920539	26.982159406418212	32768.0	-5738.0	174.93902439024393	110668.8232421875	3626396.0	-301.0	69.29878048780489	9.176829268292684	-2273.0	3868.131868131868	2640.0	-1668.0	3.990430622009569	3.3492822966507174	400.0	4768288.0	97.74841151692657	-1400.0	0.9569377990430622	
1798.0	3.0	4.945652173913043	1977.0	1735.0	5.630434782608695	-0.04047976011994003	27.0	-0.04497751124437781	576.0	48.828125	-30.0	-0.8635682158920539	26.982159406418212	32768.0	-6184.0	188.53658536585368	110678.5888671875	3626716.0	-780.0	75.3048780487805	23.78048780487805	-2470.0	3857.875457875458	2633.0	-1692.0	4.047846889952153	3.0813397129186604	524.0	4768288.0	97.74841151692657	-1288.0	1.2535885167464114	
1822.0	3.152173913043478	4.684782608695652	1963.0	1734.0	5.641304347826087	-0.04047976011994003	27.0	-0.06146926536731634	576.0	58.59375	-41.0	-0.8635682158920539	26.982159406418212	32768.0	-6644.0	202.56097560975613	110688.3544921875	3627036.0	-1294.0	80.91463414634147	39.451219512195124	-2654.0	3865.2014652014655	2638.0	-1648.0	3.942583732057416	2.832535885167464	624.0	4768288.0	97.74841151692657	-1184.0	1.492822966507177	
1835.0	3.543478260869565	4.543478260869565	1927.0	1745.0	5.521739130434782	-0.04047976011994003	27.0	-0.06146926536731634	576.0	68.359375	-41.0	-0.8635682158920539	26.982159406418212	32768.0	-7191.0	219.2378048780488	110698.1201171875	3627356.0	-1857.0	84.96951219512196	56.615853658536594	-2787.0	3893.040293040293	2657.0	-1600.0	3.827751196172249	2.4976076555023923	800.0	4769264.0	97.738577463439	-1044.0	1.9138755980861244	
