Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	local_flux	no_units	ms	local_flux	no_units	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2794.0	7.956521739130435	1521.0	-5.880434782608695	2.043478260869565	2065.0	-114.0	0.17091454272863568	0.034482758620689655	-12.0	9.765625	0.017991004497751123	23.0	26.982159406418212	32768.0	167.5609756097561	-5496.0	6676582.0	203753.11279296875	-1995.0	10.000000000000002	-328.0	60.82317073170732	2659.0	3895.970695970696	64.0	-0.15311004784688995	-9.110047846889952	2796.0	0.0	146.19119890832485	6.688995215311005	3808.0	
2811.0	7.967391304347826	1520.0	-6.065217391304348	2.0760869565217392	2062.0	-108.0	0.1619190404797601	0.05847076461769115	-15.0	19.53125	0.022488755622188904	39.0	26.982159406418212	32768.0	169.32926829268294	-5554.0	6676902.0	203762.87841796875	-2148.0	4.634146341463415	-152.0	65.48780487804879	2659.0	3895.970695970696	24.0	-0.057416267942583726	-9.38755980861244	2780.0	4770320.0	97.72793737755843	6.650717703349282	3924.0	
2837.0	7.869565217391304	1529.0	-6.3478260869565215	2.0978260869565215	2060.0	-105.0	0.15742128935532235	0.07346326836581708	-24.0	29.296875	0.035982008995502246	49.0	26.982159406418212	32768.0	167.10365853658539	-5481.0	6677222.0	203772.64404296875	-2268.0	1.0365853658536586	-34.0	69.14634146341464	2650.0	3882.7838827838827	0.0	0.0	-9.732057416267942	2760.0	4770320.0	97.72793737755843	6.602870813397129	4068.0	
2845.0	7.695652173913043	1545.0	-6.434782608695652	2.25	2046.0	-106.0	0.15892053973013492	0.08245877061469264	-34.0	39.0625	0.050974512743628186	55.0	26.982159406418212	32768.0	166.9817073170732	-5477.0	6677542.0	203782.40966796875	-2448.0	-3.932926829268293	129.0	74.63414634146342	2641.0	3869.5970695970695	-52.0	0.12440191387559808	-9.904306220095693	2680.0	4770320.0	97.72793737755843	6.411483253588517	4140.0	
2860.0	7.5978260869565215	1554.0	-6.5978260869565215	2.4565217391304346	2027.0	-101.0	0.15142428785607195	0.0914542728635682	-35.0	48.828125	0.05247376311844078	61.0	26.982159406418212	32768.0	167.16463414634148	-5483.0	6677862.0	203792.17529296875	-2559.0	-9.390243902439025	308.0	78.01829268292684	2650.0	3882.7838827838827	-132.0	0.3157894736842105	-10.038277511961722	2628.0	4770320.0	97.72793737755843	6.287081339712919	4196.0	
2875.0	7.456521739130435	1567.0	-6.760869565217391	2.4891304347826084	2024.0	-101.0	0.15142428785607195	0.0914542728635682	-35.0	58.59375	0.05247376311844078	61.0	26.982159406418212	32768.0	166.76829268292684	-5470.0	6678182.0	203801.94091796875	-2585.0	-14.878048780487806	488.0	78.8109756097561	2640.0	3868.131868131868	-184.0	0.4401913875598086	-10.220095693779903	2584.0	4770320.0	97.72793737755843	6.181818181818182	4272.0	
2894.0	7.4021739130434785	1572.0	-6.967391304347826	2.5978260869565215	2014.0	-102.0	0.15292353823088456	0.10644677661169415	-41.0	68.359375	0.06146926536731634	71.0	26.982159406418212	32768.0	166.12804878048783	-5449.0	6678502.0	203811.70654296875	-2591.0	-19.75609756097561	648.0	78.9939024390244	2651.0	3884.2490842490843	-208.0	0.49760765550239233	-10.440191387559809	2540.0	4771584.0	97.71520156852331	6.0765550239234445	4364.0	
2909.0	7.260869565217391	1585.0	-7.130434782608695	2.5978260869565215	2014.0	-102.0	0.15292353823088456	0.10644677661169415	-41.0	78.125	0.06146926536731634	71.0	26.982159406418212	32768.0	165.00000000000003	-5412.0	6678822.0	203821.47216796875	-2568.0	-23.902439024390247	784.0	78.29268292682927	2623.0	3843.223443223443	-248.0	0.5933014354066986	-10.669856459330143	2496.0	4771584.0	97.71520156852331	5.971291866028708	4460.0	
