Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	m/(s^2)	no_units	
1356.0	4.608695652173913	9.75	1829.0	1776.0	5.184782608695652	-22.0	0.03298350824587706	620.0	-0.017991004497751123	9.765625	-12.0	-0.9295352323838081	26.982159406418212	32768.0	78.0	-2.378048780487805	9688749.0	295677.1545410156	2.2865853658536586	-175.0	-75.0	5.335365853658537	3887.1794871794873	2653.0	-1380.0	3.3014354066985643	1356.0	8.650717703349281	146.19119890832485	0.0	3.2440191387559807	-3616.0	
1363.0	4.706521739130435	9.67391304347826	1820.0	1744.0	5.532608695652174	-31.0	0.046476761619190406	612.0	-0.013493253373313342	19.53125	-9.0	-0.9175412293853074	26.982159406418212	32768.0	62.0	-1.8902439024390245	9689069.0	295686.9201660156	3.1402439024390247	-149.0	-103.0	4.5426829268292686	3890.10989010989	2655.0	-1556.0	3.7224880382775116	1408.0	8.526315789473683	97.74857273119603	4768272.0	3.3684210526315788	-3564.0	
1369.0	4.8478260869565215	9.608695652173912	1807.0	1732.0	5.663043478260869	-26.0	0.038980509745127435	611.0	-0.025487256371814093	29.296875	-17.0	-0.9160419790104948	26.982159406418212	32768.0	38.0	-1.1585365853658538	9689389.0	295696.6857910156	5.121951219512195	-189.0	-168.0	5.76219512195122	3879.8534798534797	2648.0	-1676.0	4.009569377990431	1456.0	8.47846889952153	97.74857273119603	4768272.0	3.4832535885167464	-3544.0	
1367.0	4.891304347826087	9.630434782608695	1803.0	1740.0	5.576086956521739	-24.0	0.035982008995502246	611.0	-0.014992503748125937	39.0625	-10.0	-0.9160419790104948	26.982159406418212	32768.0	-16.0	0.48780487804878053	9689709.0	295706.4514160156	6.250000000000001	-256.0	-205.0	7.8048780487804885	3857.875457875458	2633.0	-1612.0	3.8564593301435406	1508.0	8.497607655502392	97.74857273119603	4768272.0	3.6076555023923444	-3552.0	
1359.0	4.75	9.717391304347826	1816.0	1760.0	5.358695652173913	-24.0	0.035982008995502246	605.0	-0.014992503748125937	48.828125	-10.0	-0.9070464767616192	26.982159406418212	32768.0	-90.0	2.7439024390243905	9690029.0	295716.2170410156	6.615853658536586	-266.0	-217.0	8.109756097560977	3862.2710622710624	2636.0	-1536.0	3.6746411483253585	1404.0	8.61244019138756	97.74857273119603	4768272.0	3.3588516746411483	-3600.0	
1361.0	4.619565217391305	9.695652173913043	1828.0	1755.0	5.413043478260869	-21.0	0.031484257871064465	613.0	-0.017991004497751123	58.59375	-12.0	-0.9190404797601199	26.982159406418212	32768.0	-175.0	5.335365853658537	9690349.0	295725.9826660156	6.00609756097561	-242.0	-197.0	7.378048780487806	3893.040293040293	2657.0	-1532.0	3.665071770334928	1320.0	8.545454545454545	97.74857273119603	4768272.0	3.1578947368421053	-3572.0	
1367.0	4.445652173913043	9.630434782608695	1844.0	1751.0	5.456521739130435	-21.0	0.031484257871064465	613.0	-0.017991004497751123	68.359375	-12.0	-0.9190404797601199	26.982159406418212	32768.0	-260.0	7.926829268292684	9690669.0	295735.7482910156	5.640243902439025	-57.0	-185.0	1.7378048780487807	3887.1794871794873	2653.0	-1564.0	3.741626794258373	1268.0	8.459330143540669	97.73744896763107	4769376.0	3.0334928229665072	-3536.0	
