Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
5.163043478260869	1423.0	1778.0	9.021739130434783	1695.0	6.065217391304348	-14.0	0.020989505247376312	-0.08845577211394302	578.0	9.765625	-59.0	-0.8665667166416792	32768.0	26.982159406418212	-84.0	2.5609756097560976	1.1291226E7	344580.87158203125	-361.0	13.26219512195122	-435.0	11.006097560975611	2645.0	3875.4578754578756	-1768.0	4.229665071770334	1612.0	7.7990430622009566	146.19119890832485	0.0	-3260.0	3.8564593301435406	
5.141304347826087	1439.0	1780.0	8.847826086956522	1659.0	6.456521739130435	-5.0	0.0074962518740629685	-0.09295352323838081	580.0	19.53125	-62.0	-0.8695652173913043	32768.0	26.982159406418212	-191.0	5.823170731707318	1.1291546E7	344590.63720703125	-639.0	17.225609756097562	-565.0	19.481707317073173	2642.0	3871.062271062271	-2020.0	4.832535885167464	1608.0	7.598086124401914	97.65394149662214	4777664.0	-3176.0	3.8468899521531097	
5.021739130434782	1451.0	1791.0	8.717391304347826	1639.0	6.673913043478261	-2.0	0.0029985007496251873	-0.08995502248875561	580.0	29.296875	-60.0	-0.8695652173913043	32768.0	26.982159406418212	-322.0	9.817073170731708	1.1291866E7	344600.40283203125	-884.0	22.957317073170735	-753.0	26.951219512195124	2645.0	3875.4578754578756	-2100.0	5.023923444976076	1588.0	7.339712918660287	97.65394149662214	4777664.0	-3068.0	3.799043062200957	
4.978260869565217	1480.0	1795.0	8.402173913043478	1650.0	6.554347826086956	-6.0	0.008995502248875561	-0.095952023988006	585.0	39.0625	-64.0	-0.8770614692653673	32768.0	26.982159406418212	-467.0	14.237804878048781	1.1292186E7	344610.16845703125	-1027.0	28.201219512195124	-925.0	31.3109756097561	2638.0	3865.2014652014655	-2040.0	4.880382775119617	1532.0	7.100478468899521	97.65394149662214	4777664.0	-2968.0	3.665071770334928	
4.804347826086956	1492.0	1811.0	8.271739130434783	1678.0	6.25	-7.0	0.010494752623688156	-0.08995502248875561	578.0	48.828125	-60.0	-0.8665667166416792	32768.0	26.982159406418212	-618.0	18.84146341463415	1.1292506E7	344619.93408203125	-1095.0	32.53048780487805	-1067.0	33.38414634146342	2643.0	3872.5274725274726	-1896.0	4.535885167464115	1456.0	6.909090909090909	97.65394149662214	4777664.0	-2888.0	3.4832535885167464	
4.717391304347826	1519.0	1819.0	7.978260869565217	1706.0	5.945652173913043	-7.0	0.010494752623688156	-0.08995502248875561	578.0	58.59375	-60.0	-0.8665667166416792	32768.0	26.982159406418212	-786.0	23.963414634146343	1.1292826E7	344629.69970703125	-1129.0	36.40243902439025	-1194.0	34.420731707317074	2646.0	3876.923076923077	-1760.0	4.2105263157894735	1356.0	6.602870813397129	97.65394149662214	4777664.0	-2760.0	3.2440191387559807	
4.369565217391305	1541.0	1851.0	7.739130434782608	1733.0	5.6521739130434785	-5.0	0.0074962518740629685	-0.0914542728635682	579.0	68.359375	-61.0	-0.8680659670164917	32768.0	26.982159406418212	-990.0	30.182926829268297	1.1293146E7	344639.46533203125	-1200.0	39.81707317073171	-1306.0	36.58536585365854	2632.0	3856.4102564102564	-1644.0	3.9330143540669855	1232.0	6.325358851674641	97.64185084589298	4778864.0	-2644.0	2.9473684210526314	
