Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
6.195652173913043	1484.0	1683.0	8.358695652173912	5.83695652173913	1716.0	-14.0	0.020989505247376312	-0.10044977511244378	577.0	9.765625	-67.0	-0.8650674662668666	26.982159406418212	32768.0	-128.0	3.9024390243902443	444317.1081542969	1.4559383E7	-754.0	14.207317073170733	-466.0	22.98780487804878	2646.0	3876.923076923077	4.15311004784689	-1736.0	6.966507177033493	2080.0	0.0	146.19119890832485	-2912.0	4.976076555023924	
5.880434782608695	1484.0	1712.0	8.358695652173912	5.804347826086956	1719.0	-16.0	0.0239880059970015	-0.09745127436281859	572.0	19.53125	-65.0	-0.8575712143928036	26.982159406418212	32768.0	-170.0	5.182926829268293	444326.8737792969	1.4559703E7	-822.0	16.493902439024392	-541.0	25.0609756097561	2648.0	3879.8534798534797	4.095693779904306	-1712.0	6.976076555023923	1956.0	4787200.0	97.55786251711167	-2916.0	4.679425837320574	
5.782608695652174	1498.0	1721.0	8.206521739130434	5.83695652173913	1716.0	-19.0	0.02848575712143928	-0.10944527736131934	571.0	29.296875	-73.0	-0.856071964017991	26.982159406418212	32768.0	-213.0	6.4939024390243905	444336.6394042969	1.4560023E7	-896.0	20.09146341463415	-659.0	27.31707317073171	2647.0	3878.388278388278	4.114832535885167	-1720.0	6.822966507177033	1900.0	4787200.0	97.55786251711167	-2852.0	4.545454545454545	
5.782608695652174	1530.0	1721.0	7.858695652173913	6.065217391304348	1695.0	-21.0	0.031484257871064465	-0.10794602698650674	569.0	39.0625	-72.0	-0.8530734632683658	26.982159406418212	32768.0	-279.0	8.506097560975611	444346.4050292969	1.4560343E7	-1064.0	24.26829268292683	-796.0	32.43902439024391	2630.0	3853.479853479854	4.411483253588517	-1844.0	6.507177033492822	1892.0	4787200.0	97.55786251711167	-2720.0	4.526315789473684	
5.706521739130435	1567.0	1728.0	7.456521739130435	6.358695652173913	1668.0	-11.0	0.01649175412293853	-0.10644677661169415	575.0	48.828125	-71.0	-0.8620689655172413	26.982159406418212	32768.0	-381.0	11.615853658536587	444356.1706542969	1.4560663E7	-1331.0	29.84756097560976	-979.0	40.57926829268293	2646.0	3876.923076923077	4.7368421052631575	-1980.0	5.971291866028708	1848.0	4787200.0	97.55786251711167	-2496.0	4.421052631578947	
5.228260869565217	1619.0	1772.0	6.891304347826087	6.630434782608695	1643.0	-11.0	0.01649175412293853	-0.10644677661169415	575.0	58.59375	-71.0	-0.8620689655172413	26.982159406418212	32768.0	-568.0	17.31707317073171	444365.9362792969	1.4560983E7	-1658.0	36.06707317073171	-1183.0	50.54878048780488	2648.0	3879.8534798534797	4.976076555023924	-2080.0	5.368421052631579	1616.0	4787200.0	97.55786251711167	-2244.0	3.866028708133971	
4.478260869565217	1666.0	1841.0	6.380434782608695	6.608695652173913	1645.0	-14.0	0.020989505247376312	-0.11094452773613193	567.0	68.359375	-74.0	-0.8500749625187406	26.982159406418212	32768.0	-833.0	25.396341463414636	444375.7019042969	1.4561303E7	-1935.0	43.68902439024391	-1433.0	58.993902439024396	2640.0	3868.131868131868	4.937799043062201	-2064.0	4.765550239234449	1272.0	4788096.0	97.54883512562309	-1992.0	3.0430622009569377	
