Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
1558.0	-2.4347826086956523	2477.0	7.554347826086956	6.891304347826087	1619.0	205.0	-0.3073463268365817	562.0	0.25487256371814093	9.765625	170.0	-0.8425787106446776	26.982159406418212	32768.0	-8.0	0.24390243902439027	1.6170423E7	493482.1472167969	-462.0	-11.646341463414636	14.085365853658537	382.0	3888.644688644689	2654.0	-2180.0	5.215311004784689	-1864.0	6.162679425837321	0.0	146.19119890832485	-4.45933014354067	-2576.0	
1560.0	-2.902173913043478	2520.0	7.532608695652174	6.815217391304348	1626.0	189.0	-0.2833583208395802	556.0	0.2608695652173913	19.53125	174.0	-0.833583208395802	26.982159406418212	32768.0	-63.0	1.9207317073170733	1.6170743E7	493491.9128417969	-109.0	-11.097560975609758	3.3231707317073176	364.0	3859.3406593406594	2634.0	-2168.0	5.186602870813397	-2064.0	6.172248803827751	4795248.0	97.47677820478754	-4.937799043062201	-2580.0	
1570.0	-2.619565217391304	2494.0	7.423913043478261	6.75	1632.0	195.0	-0.29235382308845576	551.0	0.2608695652173913	29.296875	174.0	-0.8260869565217391	26.982159406418212	32768.0	-83.0	2.530487804878049	1.6171063E7	493501.6784667969	175.0	-11.463414634146343	-5.335365853658537	376.0	3850.5494505494507	2628.0	-2152.0	5.148325358851674	-2008.0	6.038277511961723	4795248.0	97.47677820478754	-4.803827751196172	-2524.0	
1579.0	-2.4782608695652173	2481.0	7.326086956521739	6.5978260869565215	1646.0	202.0	-0.3028485757121439	553.0	0.2608695652173913	39.0625	174.0	-0.8290854572713643	26.982159406418212	32768.0	-176.0	5.365853658536586	1.6171383E7	493511.4440917969	390.0	-12.80487804878049	-11.890243902439025	420.0	3865.2014652014655	2638.0	-2076.0	4.966507177033493	-1884.0	5.923444976076555	4795248.0	97.47677820478754	-4.507177033492823	-2476.0	
1576.0	-2.1630434782608696	2452.0	7.358695652173913	6.282608695652174	1675.0	202.0	-0.3028485757121439	553.0	0.2608695652173913	48.828125	174.0	-0.8290854572713643	26.982159406418212	32768.0	-212.0	6.463414634146342	1.6171703E7	493521.2097167969	619.0	-14.207317073170733	-18.871951219512198	466.0	3872.5274725274726	2643.0	-1904.0	4.555023923444976	-1696.0	5.8086124401913874	4795248.0	97.47677820478754	-4.057416267942584	-2428.0	
1612.0	-1.326086956521739	2375.0	6.967391304347826	6.0978260869565215	1692.0	203.0	-0.3043478260869565	553.0	0.25037481259370314	58.59375	167.0	-0.8290854572713643	26.982159406418212	32768.0	-160.0	4.878048780487806	1.6172023E7	493530.9753417969	753.0	-16.951219512195124	-22.957317073170735	556.0	3884.2490842490843	2651.0	-1860.0	4.449760765550239	-1356.0	5.464114832535885	4795248.0	97.47677820478754	-3.2440191387559807	-2284.0	
1628.0	-0.6739130434782609	2315.0	6.793478260869565	6.282608695652174	1675.0	203.0	-0.3043478260869565	553.0	0.25037481259370314	68.359375	167.0	-0.8290854572713643	26.982159406418212	32768.0	-200.0	6.097560975609757	1.6172343E7	493540.7409667969	646.0	-18.445121951219512	-19.695121951219512	605.0	3875.4578754578756	2645.0	-1928.0	4.6124401913875595	-1044.0	5.2727272727272725	4796384.0	97.46533308688507	-2.4976076555023923	-2204.0	
1649.0	-0.08695652173913043	2261.0	6.565217391304348	6.891304347826087	1619.0	205.0	-0.3073463268365817	551.0	0.25487256371814093	78.125	170.0	-0.8260869565217391	26.982159406418212	32768.0	-237.0	7.225609756097562	1.6172663E7	493550.5065917969	240.0	-19.75609756097561	-7.317073170731708	648.0	3884.2490842490843	2651.0	-2188.0	5.23444976076555	-772.0	5.0047846889952154	4796384.0	97.46533308688507	-1.84688995215311	-2092.0	
1670.0	0.19565217391304346	2235.0	6.33695652173913	7.673913043478261	1547.0	207.0	-0.3103448275862069	553.0	0.2518740629685157	87.890625	168.0	-0.8290854572713643	26.982159406418212	32768.0	-235.0	7.164634146341464	1.6172983E7	493560.2722167969	-170.0	-20.152439024390247	5.182926829268293	661.0	3879.8534798534797	2648.0	-2588.0	6.1913875598086126	-692.0	4.784688995215311	4796384.0	97.46533308688507	-1.6555023923444976	-2000.0	
1695.0	-0.33695652173913043	2284.0	6.065217391304348	8.271739130434783	1492.0	204.0	-0.3058470764617691	550.0	0.24737631184407796	97.65625	165.0	-0.8245877061469266	26.982159406418212	32768.0	-309.0	9.420731707317074	1.6173303E7	493570.0378417969	-576.0	-16.432926829268293	17.5609756097561	539.0	3847.6190476190477	2626.0	-2980.0	7.1291866028708135	-820.0	4.660287081339713	4796384.0	97.46533308688507	-1.9617224880382775	-1948.0	
1707.0	-1.1739130434782608	2361.0	5.934782608695652	8.75	1448.0	203.0	-0.3043478260869565	549.0	0.2608695652173913	107.421875	174.0	-0.8230884557721139	26.982159406418212	32768.0	-423.0	12.896341463414636	1.6173623E7	493579.8034667969	-753.0	-9.329268292682928	22.957317073170735	306.0	3875.4578754578756	2645.0	-2976.0	7.119617224880383	-1164.0	4.411483253588517	4796384.0	97.46533308688507	-2.784688995215311	-1844.0	
1742.0	-2.5978260869565215	2492.0	5.554347826086956	9.554347826086957	1374.0	205.0	-0.3073463268365817	554.0	0.2563718140929535	117.1875	171.0	-0.8305847076461769	26.982159406418212	32768.0	-541.0	16.493902439024392	1.6173943E7	493589.5690917969	-552.0	1.128048780487805	16.82926829268293	-37.0	3873.992673992674	2644.0	-3288.0	7.866028708133971	-1732.0	4.086124401913875	4797136.0	97.45775676608642	-4.143540669856459	-1708.0	
1772.0	-4.25	2644.0	5.228260869565217	9.695652173913043	1361.0	206.0	-0.3088455772113943	550.0	0.2578710644677661	126.953125	172.0	-0.8245877061469266	26.982159406418212	32768.0	-837.0	25.51829268292683	1.6174263E7	493599.3347167969	57.0	11.981707317073171	-1.7378048780487807	-393.0	3878.388278388278	2647.0	-3540.0	8.4688995215311	-2600.0	3.665071770334928	4797136.0	97.45775676608642	-6.220095693779904	-1532.0	
1819.0	-4.456521739130435	2663.0	4.717391304347826	8.543478260869565	1467.0	206.0	-0.3088455772113943	552.0	0.2518740629685157	136.71875	168.0	-0.8275862068965517	26.982159406418212	32768.0	-832.0	25.365853658536587	1.6174583E7	493609.1003417969	1114.0	23.07926829268293	-33.963414634146346	-757.0	3863.736263736264	2637.0	-3152.0	7.5406698564593295	-2900.0	3.110047846889952	4797136.0	97.45775676608642	-6.937799043062201	-1300.0	
