Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2342.0	7.0	-0.967391304347826	1609.0	1459.0	8.630434782608695	171.0	-0.2563718140929535	-0.014992503748125937	64.0	9.765625	-10.0	-0.095952023988006	32768.0	26.982159406418212	0.030487804878048783	-1.0	6506219.0	198554.04663085938	-34.0	-0.27439024390243905	9.0	1.0365853658536586	2656.0	3891.5750915750914	6.947368421052631	-2904.0	-3.5598086124401913	2388.0	0.0	146.19119890832485	5.712918660287081	1488.0	
2344.0	6.967391304347826	-0.9891304347826086	1612.0	1460.0	8.619565217391305	165.0	-0.24737631184407796	-0.022488755622188904	64.0	19.53125	-15.0	-0.095952023988006	32768.0	26.982159406418212	0.1829268292682927	-6.0	6506539.0	198563.81225585938	-33.0	0.09146341463414635	-3.0	1.0060975609756098	2651.0	3884.2490842490843	6.956937799043062	-2908.0	-3.5980861244019136	2392.0	4811408.0	97.31397162298481	5.722488038277512	1504.0	
2348.0	7.032608695652174	-1.0326086956521738	1606.0	1463.0	8.58695652173913	171.0	-0.2563718140929535	-0.03298350824587706	60.0	29.296875	-22.0	-0.08995502248875561	32768.0	26.982159406418212	0.12195121951219513	-4.0	6506859.0	198573.57788085938	-27.0	0.15243902439024393	-5.0	0.8231707317073171	2640.0	3868.131868131868	6.937799043062201	-2900.0	-3.626794258373206	2392.0	4811408.0	97.31397162298481	5.722488038277512	1516.0	
2350.0	6.978260869565217	-1.0543478260869565	1611.0	1465.0	8.565217391304348	164.0	-0.24587706146926536	-0.020989505247376312	60.0	39.0625	-14.0	-0.08995502248875561	32768.0	26.982159406418212	-0.09146341463414635	3.0	6507179.0	198583.34350585938	-9.0	0.3658536585365854	-12.0	0.27439024390243905	2630.0	3853.479853479854	6.92822966507177	-2896.0	-3.6076555023923444	2400.0	4811408.0	97.31397162298481	5.741626794258373	1508.0	
2346.0	6.967391304347826	-1.0108695652173914	1612.0	1462.0	8.597826086956522	164.0	-0.24587706146926536	-0.020989505247376312	60.0	48.828125	-14.0	-0.08995502248875561	32768.0	26.982159406418212	-0.12195121951219513	4.0	6507499.0	198593.10913085938	-14.0	0.39634146341463417	-13.0	0.426829268292683	2634.0	3859.3406593406594	6.909090909090909	-2888.0	-3.6459330143540667	2400.0	4811408.0	97.31397162298481	5.741626794258373	1524.0	
2349.0	7.021739130434782	-1.0434782608695652	1607.0	1466.0	8.554347826086957	170.0	-0.25487256371814093	-0.029985007496251874	62.0	58.59375	-20.0	-0.09295352323838081	32768.0	26.982159406418212	-0.09146341463414635	3.0	6507819.0	198602.87475585938	-3.0	0.3658536585365854	-12.0	0.09146341463414635	2636.0	3862.2710622710624	6.92822966507177	-2896.0	-3.6363636363636362	2412.0	4811408.0	97.31397162298481	5.770334928229665	1520.0	
2343.0	6.978260869565217	-0.9782608695652174	1611.0	1460.0	8.619565217391305	170.0	-0.25487256371814093	-0.029985007496251874	62.0	68.359375	-20.0	-0.09295352323838081	32768.0	26.982159406418212	-0.30487804878048785	10.0	6508139.0	198612.64038085938	-2.0	0.3658536585365854	-12.0	0.06097560975609757	2641.0	3869.5970695970695	6.947368421052631	-2904.0	-3.6363636363636362	2416.0	4812304.0	97.30494499093498	5.779904306220096	1520.0	
