Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
1420.0	1.1630434782608696	2146.0	9.054347826086957	1596.0	7.141304347826087	-0.24437781109445278	163.0	563.0	0.0704647676161919	9.765625	47.0	-0.8440779610194902	32768.0	26.982159406418212	2.073170731707317	-68.0	9384879.0	286403.7780761719	-7.743902439024391	-187.0	254.0	5.701219512195123	2637.0	3863.736263736264	5.5311004784688995	-2312.0	-232.0	7.770334928229665	0.0	146.19119890832485	-3248.0	-0.5550239234449761	
1402.0	1.1521739130434783	2147.0	9.25	1592.0	7.184782608695652	-0.24437781109445278	163.0	566.0	0.07196401799100449	19.53125	48.0	-0.848575712143928	32768.0	26.982159406418212	2.439024390243903	-80.0	9385199.0	286413.5437011719	-7.103658536585367	-226.0	233.0	6.890243902439025	2647.0	3878.388278388278	5.5406698564593295	-2316.0	-212.0	8.0	4817488.0	97.25272002871037	-3344.0	-0.507177033492823	
1400.0	1.1195652173913042	2150.0	9.271739130434783	1589.0	7.217391304347826	-0.2383808095952024	159.0	559.0	0.0704647676161919	29.296875	47.0	-0.8380809595202399	32768.0	26.982159406418212	3.0487804878048785	-100.0	9385519.0	286423.3093261719	-5.3048780487804885	-268.0	174.0	8.170731707317074	2632.0	3856.4102564102564	5.588516746411483	-2336.0	-196.0	8.009569377990431	4817488.0	97.25272002871037	-3348.0	-0.4688995215311005	
1413.0	1.25	2138.0	9.130434782608695	1588.0	7.228260869565217	-0.2383808095952024	159.0	557.0	0.07346326836581708	39.0625	49.0	-0.8350824587706147	32768.0	26.982159406418212	3.963414634146342	-130.0	9385839.0	286433.0749511719	-3.2012195121951224	-286.0	105.0	8.719512195121952	2622.0	3841.758241758242	5.636363636363636	-2356.0	-188.0	7.913875598086124	4817488.0	97.25272002871037	-3308.0	-0.4497607655502392	
1406.0	1.141304347826087	2148.0	9.206521739130434	1583.0	7.282608695652174	-0.2383808095952024	159.0	557.0	0.07346326836581708	48.828125	49.0	-0.8350824587706147	32768.0	26.982159406418212	4.207317073170732	-138.0	9386159.0	286442.8405761719	-1.2804878048780488	-308.0	42.0	9.390243902439025	2628.0	3850.5494505494507	5.684210526315789	-2376.0	-196.0	7.885167464114832	4817488.0	97.25272002871037	-3296.0	-0.4688995215311005	
1423.0	1.467391304347826	2118.0	9.021739130434783	1584.0	7.271739130434782	-0.24437781109445278	163.0	559.0	0.06896551724137931	58.59375	46.0	-0.8380809595202399	32768.0	26.982159406418212	4.298780487804878	-141.0	9386479.0	286452.6062011719	0.853658536585366	-354.0	-28.0	10.792682926829269	2628.0	3850.5494505494507	5.751196172248804	-2404.0	-152.0	7.779904306220096	4817488.0	97.25272002871037	-3252.0	-0.36363636363636365	
1432.0	1.3478260869565217	2129.0	8.92391304347826	1588.0	7.228260869565217	-0.24437781109445278	163.0	559.0	0.06896551724137931	68.359375	46.0	-0.8380809595202399	32768.0	26.982159406418212	5.060975609756098	-166.0	9386799.0	286462.3718261719	3.353658536585366	-400.0	-110.0	12.195121951219514	2623.0	3843.223443223443	5.665071770334928	-2368.0	-136.0	7.693779904306219	4818352.0	97.2440159598186	-3216.0	-0.3253588516746411	
1430.0	1.2065217391304348	2142.0	8.945652173913043	1598.0	7.119565217391304	-0.24437781109445278	163.0	555.0	0.07346326836581708	78.125	49.0	-0.8320839580209894	32768.0	26.982159406418212	5.701219512195123	-187.0	9387119.0	286472.1374511719	5.060975609756098	-397.0	-166.0	12.103658536585368	2634.0	3859.3406593406594	5.502392344497608	-2300.0	-220.0	7.712918660287081	4818352.0	97.2440159598186	-3224.0	-0.5263157894736842	
1428.0	1.0	2161.0	8.967391304347826	1596.0	7.141304347826087	-0.2353823088455772	157.0	556.0	0.0704647676161919	87.890625	47.0	-0.833583208395802	32768.0	26.982159406418212	6.189024390243903	-203.0	9387439.0	286481.9030761719	6.219512195121951	-351.0	-204.0	10.701219512195124	2644.0	3873.992673992674	5.435406698564593	-2272.0	-312.0	7.789473684210526	4818352.0	97.2440159598186	-3256.0	-0.7464114832535885	
1425.0	0.75	2184.0	9.0	1599.0	7.108695652173913	-0.2518740629685157	168.0	565.0	0.08095952023988005	97.65625	54.0	-0.8470764617691154	32768.0	26.982159406418212	7.713414634146342	-253.0	9387759.0	286491.6687011719	6.310975609756098	-248.0	-207.0	7.560975609756098	2635.0	3860.805860805861	5.492822966507177	-2296.0	-392.0	7.770334928229665	4818352.0	97.2440159598186	-3248.0	-0.937799043062201	
1436.0	0.7717391304347826	2182.0	8.880434782608695	1582.0	7.293478260869565	-0.24587706146926536	164.0	561.0	0.07346326836581708	107.421875	49.0	-0.841079460269865	32768.0	26.982159406418212	8.536585365853659	-280.0	9388079.0	286501.4343261719	8.079268292682928	-218.0	-265.0	6.646341463414635	2645.0	3875.4578754578756	5.559808612440191	-2324.0	-412.0	7.693779904306219	4818352.0	97.2440159598186	-3216.0	-0.985645933014354	
