Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	m/(s^2)	no_units	local_flux	no_units	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2.75	1675.0	2000.0	6.282608695652174	4.445652173913043	1844.0	0.07646176911544228	-51.0	-0.12443778110944527	547.0	9.765625	-83.0	-0.8200899550224887	32768.0	26.982159406418212	-2052.0	62.560975609756106	1.2031168E7	367162.109375	64.26829268292684	590.0	-2108.0	-17.98780487804878	2636.0	3862.2710622710624	-1156.0	2.7655502392344498	452.0	4.708133971291866	0.0	146.19119890832485	-1968.0	1.0813397129186602	
2.8152173913043477	1703.0	1994.0	5.978260869565217	4.032608695652174	1882.0	0.08245877061469264	-55.0	-0.13493253373313344	545.0	19.53125	-90.0	-0.8170914542728636	32768.0	26.982159406418212	-2479.0	75.57926829268294	1.2031488E7	367171.875	71.73780487804879	813.0	-2353.0	-24.78658536585366	2638.0	3865.2014652014655	-996.0	2.3827751196172247	452.0	4.440191387559809	4823680.0	97.1903414458712	-1856.0	1.0813397129186602	
2.9239130434782608	1730.0	1984.0	5.684782608695652	3.6304347826086953	1919.0	0.0944527736131934	-63.0	-0.13043478260869565	534.0	29.296875	-87.0	-0.800599700149925	32768.0	26.982159406418212	-2953.0	90.03048780487806	1.2031808E7	367181.640625	78.9329268292683	874.0	-2589.0	-26.646341463414636	2629.0	3852.0146520146523	-756.0	1.8086124401913874	528.0	4.095693779904306	4823680.0	97.1903414458712	-1712.0	1.263157894736842	
2.902173913043478	1738.0	1986.0	5.5978260869565215	3.434782608695652	1937.0	0.10044977511244378	-67.0	-0.1394302848575712	529.0	39.0625	-93.0	-0.793103448275862	32768.0	26.982159406418212	-3474.0	105.91463414634147	1.2032128E7	367191.40625	85.1829268292683	842.0	-2794.0	-25.670731707317074	2621.0	3840.2930402930406	-692.0	1.6555023923444976	504.0	3.952153110047847	4823680.0	97.1903414458712	-1652.0	1.2057416267942582	
2.9891304347826084	1751.0	1978.0	5.456521739130435	3.108695652173913	1967.0	0.10044977511244378	-67.0	-0.1394302848575712	529.0	48.828125	-93.0	-0.793103448275862	32768.0	26.982159406418212	-4042.0	123.23170731707319	1.2032448E7	367201.171875	88.84146341463415	865.0	-2914.0	-26.371951219512198	2633.0	3857.875457875458	-556.0	1.3301435406698565	536.0	3.789473684210526	4823680.0	97.1903414458712	-1584.0	1.2822966507177034	
3.9239130434782608	1775.0	1892.0	5.195652173913043	2.858695652173913	1990.0	0.10794602698650674	-72.0	-0.15142428785607195	532.0	58.59375	-101.0	-0.7976011994002998	32768.0	26.982159406418212	-4463.0	136.06707317073173	1.2032768E7	367210.9375	94.02439024390245	1091.0	-3084.0	-33.26219512195122	2623.0	3843.223443223443	-420.0	1.0047846889952152	1008.0	3.2822966507177034	4823680.0	97.1903414458712	-1372.0	2.4114832535885165	
4.065217391304348	1815.0	1879.0	4.760869565217392	3.1630434782608696	1962.0	0.10794602698650674	-72.0	-0.15142428785607195	532.0	68.359375	-101.0	-0.7976011994002998	32768.0	26.982159406418212	-5096.0	155.3658536585366	1.2033088E7	367220.703125	104.26829268292684	859.0	-3420.0	-26.189024390243905	2618.0	3835.897435897436	-604.0	1.444976076555024	1040.0	2.92822966507177	4824640.0	97.18067046795385	-1224.0	2.488038277511962	
3.4891304347826084	1808.0	1932.0	4.83695652173913	3.8478260869565215	1899.0	0.11244377811094453	-75.0	-0.1664167916041979	518.0	78.125	-111.0	-0.7766116941529235	32768.0	26.982159406418212	-5738.0	174.93902439024393	1.2033408E7	367230.46875	116.76829268292684	490.0	-3830.0	-14.939024390243905	2633.0	3857.875457875458	-904.0	2.1626794258373203	720.0	3.0334928229665072	4824640.0	97.18067046795385	-1268.0	1.7224880382775118	
