Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	local_flux	no_units	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
2458.0	11.869565217391305	1161.0	-2.2282608695652173	6.217391304347826	1681.0	0.05697151424287856	-38.0	181.0	-0.21889055472263869	9.765625	-0.27136431784107945	-146.0	32768.0	26.982159406418212	6710.0	-204.57317073170734	6147484.0	187606.3232421875	2817.0	86.64634146341464	-85.88414634146342	-2842.0	2636.0	3862.2710622710624	-1868.0	4.4688995215311005	-5.244019138755981	4580.0	0.0	146.19119890832485	10.956937799043061	2192.0	
2387.0	12.293478260869565	1122.0	-1.4565217391304348	5.673913043478261	1731.0	0.05247376311844078	-35.0	186.0	-0.22338830584707645	19.53125	-0.2788605697151424	-149.0	32768.0	26.982159406418212	6863.0	-209.2378048780488	6147804.0	187616.0888671875	3232.0	81.79878048780489	-98.53658536585367	-2683.0	2623.0	3843.223443223443	-1652.0	3.952153110047847	-4.296650717703349	4788.0	4817136.0	97.25626613834476	11.454545454545453	1796.0	
2372.0	13.141304347826086	1044.0	-1.2934782608695652	4.75	1816.0	0.07946026986506746	-53.0	203.0	-0.2368815592203898	29.296875	-0.3043478260869565	-158.0	32768.0	26.982159406418212	7148.0	-217.9268292682927	6148124.0	187625.8544921875	3354.0	74.90853658536587	-102.25609756097562	-2457.0	2618.0	3835.897435897436	-1208.0	2.889952153110048	-3.9330143540669855	5196.0	4817136.0	97.25626613834476	12.430622009569378	1644.0	
2385.0	13.597826086956522	1002.0	-1.434782608695652	3.8804347826086953	1896.0	0.07946026986506746	-53.0	203.0	-0.2368815592203898	39.0625	-0.3043478260869565	-158.0	32768.0	26.982159406418212	7435.0	-226.6768292682927	6148444.0	187635.6201171875	3123.0	68.50609756097562	-95.21341463414635	-2247.0	2616.0	3832.967032967033	-808.0	1.9330143540669855	-4.258373205741627	5424.0	4817136.0	97.25626613834476	12.976076555023923	1780.0	
2401.0	14.195652173913043	947.0	-1.608695652173913	3.891304347826087	1895.0	0.08395802098950525	-56.0	212.0	-0.24737631184407796	48.828125	-0.31784107946026985	-165.0	32768.0	26.982159406418212	7677.0	-234.05487804878052	6148764.0	187645.3857421875	2693.0	65.91463414634147	-82.10365853658537	-2162.0	2618.0	3835.897435897436	-804.0	1.9234449760765548	-4.449760765550239	5700.0	4817136.0	97.25626613834476	13.636363636363637	1860.0	
2346.0	14.706521739130434	900.0	-1.0108695652173914	4.3478260869565215	1853.0	0.08395802098950525	-56.0	212.0	-0.24737631184407796	58.59375	-0.31784107946026985	-165.0	32768.0	26.982159406418212	8023.0	-244.60365853658539	6149084.0	187655.1513671875	2180.0	60.1219512195122	-66.46341463414635	-1972.0	2613.0	3828.571428571429	-1016.0	2.430622009569378	-3.923444976076555	5948.0	4817136.0	97.25626613834476	14.229665071770334	1640.0	
2296.0	14.554347826086957	914.0	-0.46739130434782605	4.934782608695652	1799.0	0.08545727136431784	-57.0	242.0	-0.25337331334332835	68.359375	-0.36281859070464767	-169.0	32768.0	26.982159406418212	8309.0	-253.32317073170734	6149404.0	187664.9169921875	1477.0	55.487804878048784	-45.03048780487805	-1820.0	2609.0	3822.710622710623	-1280.0	3.062200956937799	-3.1578947368421053	5884.0	4818256.0	97.24498307729364	14.076555023923444	1320.0	
