Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2050.0	3.2391304347826084	1955.0	2.2065217391304346	3.7282608695652173	1910.0	-102.0	0.15292353823088456	574.0	-0.0704647676161919	9.765625	-47.0	-0.8605697151424287	26.982159406418212	32768.0	3584.0	-109.26829268292684	7635844.0	233027.4658203125	2196.0	-167.6219512195122	5498.0	-66.95121951219512	3857.875457875458	2633.0	-776.0	1.8564593301435406	640.0	-0.028708133971291863	0.0	146.19119890832485	12.0	1.5311004784688995	
2018.0	2.75	2000.0	2.5543478260869565	3.5543478260869565	1926.0	-101.0	0.15142428785607195	575.0	-0.07346326836581708	19.53125	-49.0	-0.8620689655172413	26.982159406418212	32768.0	2733.0	-83.32317073170732	7636164.0	233037.2314453125	1995.0	-157.28658536585368	5159.0	-60.82317073170732	3854.945054945055	2631.0	-788.0	1.8851674641148324	400.0	0.41148325358851673	4820720.0	97.22016049757944	-172.0	0.9569377990430622	
1967.0	2.75	2000.0	3.108695652173913	3.532608695652174	1928.0	-96.0	0.14392803598200898	575.0	-0.05697151424287856	29.296875	-38.0	-0.8620689655172413	26.982159406418212	32768.0	2083.0	-63.50609756097562	7636484.0	233046.9970703125	2096.0	-149.4817073170732	4903.0	-63.90243902439025	3843.223443223443	2623.0	-744.0	1.7799043062200957	448.0	0.9186602870813396	4820720.0	97.22016049757944	-384.0	1.0717703349282297	
1965.0	1.967391304347826	2072.0	3.1304347826086953	3.858695652173913	1898.0	-96.0	0.14392803598200898	575.0	-0.05697151424287856	39.0625	-38.0	-0.8620689655172413	26.982159406418212	32768.0	1479.0	-45.09146341463415	7636804.0	233056.7626953125	2913.0	-138.6890243902439	4549.0	-88.8109756097561	3828.571428571429	2613.0	-1276.0	3.052631578947368	-104.0	0.985645933014354	4820720.0	97.22016049757944	-412.0	-0.24880382775119617	
2036.0	0.2934782608695652	2226.0	2.358695652173913	6.989130434782608	1610.0	-88.0	0.13193403298350825	580.0	-0.04497751124437781	48.828125	-30.0	-0.8695652173913043	26.982159406418212	32768.0	564.0	-17.195121951219512	7637124.0	233066.5283203125	4165.0	-104.96951219512196	3443.0	-126.98170731707319	3840.2930402930406	2621.0	-2336.0	5.588516746411483	-704.0	0.41148325358851673	4820720.0	97.22016049757944	-172.0	-1.6842105263157894	
2160.0	-1.9456521739130435	2432.0	1.0108695652173914	14.347826086956522	933.0	-88.0	0.13193403298350825	580.0	-0.04497751124437781	58.59375	-30.0	-0.8695652173913043	26.982159406418212	32768.0	-594.0	18.10975609756098	7637444.0	233076.2939453125	5124.0	-60.1829268292683	1974.0	-156.21951219512198	3837.3626373626375	2619.0	-5844.0	13.980861244019138	-1912.0	-1.2248803827751196	4820720.0	97.22016049757944	512.0	-4.574162679425837	
2293.0	-1.315217391304348	2374.0	-0.43478260869565216	14.782608695652174	893.0	-88.0	0.13193403298350825	586.0	-0.047976011994003	68.359375	-32.0	-0.8785607196401799	26.982159406418212	32768.0	-412.0	12.560975609756099	7637764.0	233086.0595703125	4479.0	-11.55487804878049	379.0	-136.5548780487805	3818.3150183150187	2606.0	-5800.0	13.875598086124402	-1276.0	-3.1004784688995213	4821872.0	97.2085552085602	1296.0	-3.052631578947368	
2007.0	3.717391304347826	1911.0	2.6739130434782608	8.891304347826086	1435.0	-93.0	0.1394302848575712	580.0	-0.035982008995502246	78.125	-24.0	-0.8695652173913043	26.982159406418212	32768.0	-240.0	7.317073170731708	7638084.0	233095.8251953125	3179.0	17.896341463414636	-587.0	-96.92073170731709	3841.758241758242	2622.0	-2772.0	6.63157894736842	1212.0	1.0909090909090908	4821872.0	97.2085552085602	-456.0	2.8995215311004783	
1729.0	9.67391304347826	1363.0	5.695652173913043	3.4891304347826084	1932.0	-99.0	0.14842578710644677	572.0	-0.043478260869565216	87.890625	-29.0	-0.8575712143928036	26.982159406418212	32768.0	-234.0	7.134146341463415	7638404.0	233105.5908203125	1161.0	28.201219512195124	-925.0	-35.396341463414636	3841.758241758242	2622.0	-376.0	0.8995215311004784	3996.0	4.440191387559809	4821872.0	97.2085552085602	-1856.0	9.559808612440191	
