Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	ms	Ticks	no_units	deg/s	deg/s	no_units	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2040.0	-6.163043478260869	2820.0	2.3152173913043477	13.358695652173912	1024.0	126.0	-0.1889055472263868	481.0	0.5967016491754122	9.765625	398.0	-0.7211394302848575	32768.0	26.982159406418212	2582.0	-78.71951219512196	191159.85107421875	6263926.0	6741.0	31.981707317073173	-205.51829268292684	-1049.0	3852.0146520146523	2629.0	-5300.0	12.679425837320574	-2988.0	-0.41148325358851673	0.0	146.19119890832485	172.0	-7.148325358851674	
1684.0	-13.83695652173913	3526.0	6.184782608695652	8.391304347826086	1481.0	143.0	-0.2143928035982009	476.0	0.5802098950524738	19.53125	387.0	-0.7136431784107946	32768.0	26.982159406418212	1232.0	-37.5609756097561	191169.61669921875	6264246.0	9852.0	73.9329268292683	-300.3658536585366	-2425.0	3850.5494505494507	2628.0	-3400.0	8.133971291866029	-7232.0	4.889952153110047	4818640.0	97.24111460932953	-2044.0	-17.301435406698563	
1910.0	-10.58695652173913	3227.0	3.7282608695652173	3.358695652173913	1944.0	158.0	-0.2368815592203898	470.0	0.5622188905547226	29.296875	375.0	-0.704647676161919	32768.0	26.982159406418212	1027.0	-31.3109756097561	191179.38232421875	6264566.0	14959.0	108.07926829268294	-456.06707317073176	-3545.0	3835.897435897436	2618.0	-728.0	1.7416267942583732	-6048.0	1.9521531100478469	4818640.0	97.24111460932953	-816.0	-14.4688995215311	
1953.0	5.043478260869565	1789.0	3.260869565217391	6.032608695652174	1698.0	158.0	-0.2368815592203898	470.0	0.5622188905547226	39.0625	375.0	-0.704647676161919	32768.0	26.982159406418212	2587.0	-78.8719512195122	191189.14794921875	6264886.0	12903.0	119.29878048780489	-393.38414634146346	-3913.0	3831.5018315018315	2615.0	-1932.0	4.62200956937799	1768.0	0.9186602870813396	4818640.0	97.24111460932953	-384.0	4.229665071770334	
1780.0	10.141304347826086	1320.0	5.141304347826087	3.9130434782608696	1893.0	175.0	-0.2623688155922039	481.0	0.5442278860569715	48.828125	363.0	-0.7211394302848575	32768.0	26.982159406418212	3626.0	-110.54878048780489	191198.91357421875	6265206.0	9090.0	93.07926829268294	-277.13414634146346	-3053.0	3830.0366300366304	2614.0	-688.0	1.645933014354067	4128.0	3.311004784688995	4818640.0	97.24111460932953	-1384.0	9.875598086124402	
1777.0	5.043478260869565	1789.0	5.173913043478261	3.1956521739130435	1959.0	175.0	-0.2623688155922039	481.0	0.5442278860569715	58.59375	363.0	-0.7211394302848575	32768.0	26.982159406418212	4149.0	-126.4939024390244	191208.67919921875	6265526.0	5636.0	90.42682926829269	-171.82926829268294	-2966.0	3844.6886446886447	2624.0	-500.0	1.1961722488038278	1384.0	3.416267942583732	4818640.0	97.24111460932953	-1428.0	3.311004784688995	
1893.0	0.32608695652173914	2223.0	3.9130434782608696	4.391304347826087	1849.0	179.0	-0.26836581709145424	483.0	0.5307346326836582	68.359375	354.0	-0.7241379310344828	32768.0	26.982159406418212	4298.0	-131.03658536585368	191218.44482421875	6265846.0	4855.0	98.50609756097562	-148.01829268292684	-3231.0	3821.2454212454213	2608.0	-1204.0	2.880382775119617	-824.0	1.9043062200956937	4819776.0	97.22967042183095	-796.0	-1.971291866028708	
