Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	mV	no_units	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
-0.7391304347826086	2734.0	2321.0	-5.228260869565217	1689.0	6.130434782608695	-50.0	0.07496251874062969	-47.0	0.32233883058470764	9.765625	215.0	0.0704647676161919	32768.0	26.982159406418212	345.0	-10.51829268292683	4956588.0	151263.0615234375	14.359756097560977	-483.0	14.725609756097562	-471.0	3863.736263736264	2637.0	-1780.0	4.258373205741627	-8.239234449760765	-1168.0	146.19119890832485	0.0	3444.0	-2.7942583732057416	
-0.6739130434782609	2726.0	2315.0	-5.141304347826087	1668.0	6.358695652173913	-49.0	0.07346326836581708	-54.0	0.3298350824587706	19.53125	220.0	0.08095952023988005	32768.0	26.982159406418212	336.0	-10.24390243902439	4956908.0	151272.8271484375	11.76829268292683	-456.0	13.902439024390246	-386.0	3856.4102564102564	2632.0	-1904.0	4.555023923444976	-8.210526315789473	-1120.0	98.34109571511975	4709472.0	3432.0	-2.679425837320574	
-0.7065217391304348	2709.0	2318.0	-4.956521739130435	1662.0	6.423913043478261	-44.0	0.06596701649175413	-58.0	0.32533733133433285	29.296875	217.0	0.08695652173913043	32768.0	26.982159406418212	333.0	-10.152439024390246	4957228.0	151282.5927734375	10.76219512195122	-298.0	9.085365853658537	-353.0	3850.5494505494507	2628.0	-1940.0	4.641148325358851	-8.105263157894736	-1140.0	98.34109571511975	4709472.0	3388.0	-2.727272727272727	
-0.6086956521739131	2712.0	2309.0	-4.989130434782608	1656.0	6.489130434782608	-39.0	0.05847076461769115	-55.0	0.3238380809595202	39.0625	216.0	0.08245877061469264	32768.0	26.982159406418212	305.0	-9.298780487804878	4957548.0	151292.3583984375	10.670731707317074	-154.0	4.695121951219512	-350.0	3853.479853479854	2630.0	-1948.0	4.660287081339713	-8.114832535885167	-1092.0	98.34109571511975	4709472.0	3392.0	-2.61244019138756	
-0.6195652173913043	2710.0	2310.0	-4.967391304347826	1671.0	6.326086956521739	-44.0	0.06596701649175413	-46.0	0.32233883058470764	48.828125	215.0	0.06896551724137931	32768.0	26.982159406418212	223.0	-6.798780487804879	4957868.0	151302.1240234375	10.975609756097562	-135.0	4.115853658536586	-360.0	3843.223443223443	2623.0	-1904.0	4.555023923444976	-7.9330143540669855	-1096.0	98.34109571511975	4709472.0	3316.0	-2.6220095693779903	
-0.6304347826086957	2710.0	2311.0	-4.967391304347826	1684.0	6.184782608695652	-49.0	0.07346326836581708	-60.0	0.3298350824587706	58.59375	220.0	0.08995502248875561	32768.0	26.982159406418212	196.0	-5.975609756097562	4958188.0	151311.8896484375	11.585365853658537	-94.0	2.8658536585365857	-380.0	3866.6666666666665	2639.0	-1840.0	4.401913875598086	-8.009569377990431	-1104.0	98.34109571511975	4709472.0	3348.0	-2.6411483253588517	
-0.4891304347826087	2726.0	2298.0	-5.141304347826087	1691.0	6.108695652173913	-43.0	0.06446776611694152	-51.0	0.32233883058470764	68.359375	215.0	0.07646176911544228	32768.0	26.982159406418212	175.0	-5.335365853658537	4958508.0	151321.6552734375	13.140243902439025	-146.0	4.451219512195123	-431.0	3850.5494505494507	2628.0	-1800.0	4.30622009569378	-8.191387559808613	-1036.0	98.33045341852383	4710528.0	3424.0	-2.478468899521531	
