Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	m/(s^2)	no_units	
1702.0	-5.315217391304348	2742.0	5.989130434782608	1725.0	5.739130434782608	0.12293853073463268	-82.0	466.0	0.56071964017991	9.765625	374.0	-0.6986506746626686	26.982159406418212	32768.0	-1.0670731707317074	35.0	8691711.0	265249.9694824219	-27.0	0.9756097560975611	-32.0	0.8231707317073171	2615.0	3831.5018315018315	-1732.0	4.143540669856459	-3220.0	4.507177033492823	146.19119890832485	0.0	-7.70334928229665	-1884.0	
1701.0	-5.293478260869565	2740.0	6.0	1710.0	5.9021739130434785	0.12143928035982009	-81.0	456.0	0.5622188905547226	19.53125	375.0	-0.6836581709145427	26.982159406418212	32768.0	-1.0670731707317074	35.0	8692031.0	265259.7351074219	-38.0	0.7621951219512196	-25.0	1.1585365853658538	2633.0	3857.875457875458	-1740.0	4.162679425837321	-3204.0	4.535885167464115	98.12503249569471	4730912.0	-7.665071770334928	-1896.0	
1700.0	-5.282608695652174	2739.0	6.010869565217392	1714.0	5.858695652173913	0.11394302848575712	-76.0	462.0	0.5577211394302848	29.296875	372.0	-0.6926536731634183	26.982159406418212	32768.0	-1.128048780487805	37.0	8692351.0	265269.5007324219	-45.0	0.5792682926829269	-19.0	1.3719512195121952	2627.0	3849.084249084249	-1728.0	4.133971291866029	-3200.0	4.526315789473684	98.12503249569471	4730912.0	-7.655502392344498	-1892.0	
1701.0	-5.358695652173913	2746.0	6.0	1710.0	5.9021739130434785	0.12443778110944527	-83.0	459.0	0.5652173913043478	39.0625	377.0	-0.6881559220389805	26.982159406418212	32768.0	-1.2804878048780488	42.0	8692671.0	265279.2663574219	-55.0	0.3658536585365854	-12.0	1.676829268292683	2632.0	3856.4102564102564	-1720.0	4.114832535885167	-3212.0	4.526315789473684	98.12503249569471	4730912.0	-7.684210526315789	-1892.0	
1701.0	-5.326086956521739	2743.0	6.0	1708.0	5.923913043478261	0.1199400299850075	-80.0	460.0	0.5577211394302848	48.828125	372.0	-0.689655172413793	26.982159406418212	32768.0	-1.0975609756097562	36.0	8692991.0	265289.0319824219	-54.0	0.426829268292683	-14.0	1.6463414634146343	2631.0	3854.945054945055	-1728.0	4.133971291866029	-3220.0	4.545454545454545	98.12503249569471	4730912.0	-7.70334928229665	-1900.0	
1705.0	-5.326086956521739	2743.0	5.956521739130435	1718.0	5.815217391304348	0.1184407796101949	-79.0	460.0	0.5742128935532234	58.59375	383.0	-0.689655172413793	26.982159406418212	32768.0	-1.2500000000000002	41.0	8693311.0	265298.7976074219	-49.0	0.3658536585365854	-12.0	1.4939024390243905	2613.0	3828.571428571429	-1732.0	4.143540669856459	-3216.0	4.535885167464115	98.12503249569471	4730912.0	-7.693779904306219	-1896.0	
1700.0	-5.326086956521739	2743.0	6.010869565217392	1713.0	5.869565217391304	0.11094452773613193	-74.0	465.0	0.5622188905547226	68.359375	375.0	-0.697151424287856	26.982159406418212	32768.0	-1.0670731707317074	35.0	8693631.0	265308.5632324219	-42.0	0.1829268292682927	-6.0	1.2804878048780488	2631.0	3854.945054945055	-1748.0	4.181818181818182	-3208.0	4.555023923444976	98.11406852260393	4732000.0	-7.6746411483253585	-1904.0	
