Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	ms	Ticks	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2441.0	5.282608695652174	-2.043478260869565	1767.0	1521.0	7.956521739130435	93.0	-0.1394302848575712	-50.0	0.2773613193403298	9.765625	185.0	0.07496251874062969	32768.0	26.982159406418212	-205.0	6.250000000000001	377797.5769042969	1.2379671E7	-697.0	60.64024390243903	-1989.0	21.250000000000004	2622.0	3841.758241758242	6.143540669856459	-2568.0	1644.0	-4.717703349282297	0.0	146.19119890832485	1972.0	3.9330143540669855	
2451.0	5.032608695652174	-2.152173913043478	1790.0	1526.0	7.902173913043478	92.0	-0.13793103448275862	-45.0	0.272863568215892	19.53125	182.0	0.06746626686656672	32768.0	26.982159406418212	-247.0	7.5304878048780495	377807.3425292969	1.2379991E7	-331.0	52.53048780487806	-1723.0	10.091463414634147	2607.0	3819.78021978022	5.980861244019138	-2500.0	1508.0	-4.880382775119617	4750128.0	97.93139548102268	2040.0	3.6076555023923444	
2440.0	4.467391304347826	-2.032608695652174	1842.0	1425.0	9.0	94.0	-0.1409295352323838	-42.0	0.272863568215892	29.296875	182.0	0.06296851574212893	32768.0	26.982159406418212	-288.0	8.78048780487805	377817.1081542969	1.2380311E7	-164.0	28.04878048780488	-920.0	5.000000000000001	2614.0	3830.0366300366304	7.0047846889952154	-2928.0	1344.0	-4.813397129186603	4750128.0	97.93139548102268	2012.0	3.215311004784689	
2491.0	3.3152173913043477	-2.5869565217391304	1948.0	1337.0	9.956521739130434	96.0	-0.14392803598200898	-43.0	0.2848575712143928	39.0625	190.0	0.06446776611694152	32768.0	26.982159406418212	-43.0	1.3109756097560976	377826.8737792969	1.2380631E7	-90.0	10.914634146341465	-358.0	2.7439024390243905	2608.0	3821.2454212454213	8.124401913875598	-3396.0	752.0	-5.244019138755981	4750128.0	97.93139548102268	2192.0	1.7990430622009568	
2465.0	2.630434782608696	-2.3043478260869565	2011.0	1256.0	10.83695652173913	97.0	-0.1454272863568216	-43.0	0.27436281859070466	48.828125	183.0	0.06446776611694152	32768.0	26.982159406418212	13.0	-0.39634146341463417	377836.6394042969	1.2380951E7	947.0	-2.9268292682926833	96.0	-28.871951219512198	2618.0	3835.897435897436	9.177033492822966	-3836.0	440.0	-5.071770334928229	4750128.0	97.93139548102268	2120.0	1.0526315789473684	
2519.0	2.858695652173913	-2.891304347826087	1990.0	1249.0	10.91304347826087	96.0	-0.14392803598200898	-48.0	0.27586206896551724	58.59375	184.0	0.07196401799100449	32768.0	26.982159406418212	498.0	-15.182926829268293	377846.4050292969	1.2381271E7	1014.0	-16.676829268292686	547.0	-30.914634146341466	2620.0	3838.827838827839	9.215311004784688	-3852.0	552.0	-5.6746411483253585	4750128.0	97.93139548102268	2372.0	1.3205741626794258	
2579.0	3.467391304347826	-3.543478260869565	1934.0	1291.0	10.456521739130434	95.0	-0.1424287856071964	-44.0	0.2773613193403298	68.359375	185.0	0.06596701649175413	32768.0	26.982159406418212	563.0	-17.164634146341466	377856.1706542969	1.2381591E7	1306.0	-23.475609756097562	770.0	-39.81707317073171	2614.0	3830.0366300366304	8.746411483253588	-3656.0	844.0	-6.497607655502392	4750992.0	97.92268937442428	2716.0	2.0191387559808613	
2596.0	3.293478260869565	-3.7282608695652173	1950.0	1391.0	9.369565217391305	98.0	-0.14692653673163417	-47.0	0.27586206896551724	78.125	184.0	0.0704647676161919	32768.0	26.982159406418212	612.0	-18.658536585365855	377865.9362792969	1.2381911E7	1345.0	-26.219512195121954	860.0	-41.00609756097561	2615.0	3831.5018315018315	7.511961722488038	-3140.0	688.0	-6.497607655502392	4750992.0	97.92268937442428	2716.0	1.645933014354067	
2606.0	3.4565217391304346	-3.8369565217391304	1935.0	1467.0	8.543478260869565	92.0	-0.13793103448275862	-45.0	0.26836581709145424	87.890625	179.0	0.06746626686656672	32768.0	26.982159406418212	563.0	-17.164634146341466	377875.7019042969	1.2382231E7	1384.0	-20.54878048780488	674.0	-42.19512195121952	2607.0	3819.78021978022	6.784688995215311	-2836.0	804.0	-6.813397129186603	4750992.0	97.92268937442428	2848.0	1.9234449760765548	
2637.0	3.684782608695652	-4.173913043478261	1914.0	1508.0	8.097826086956522	92.0	-0.13793103448275862	-45.0	0.26836581709145424	97.65625	179.0	0.06746626686656672	32768.0	26.982159406418212	375.0	-11.432926829268293	377885.4675292969	1.2382551E7	1003.0	-14.481707317073171	475.0	-30.57926829268293	2614.0	3830.0366300366304	6.248803827751196	-2612.0	900.0	-7.167464114832535	4750992.0	97.92268937442428	2996.0	2.15311004784689	
2631.0	3.6739130434782608	-4.108695652173913	1915.0	1540.0	7.75	93.0	-0.1394302848575712	-43.0	0.2638680659670165	107.421875	176.0	0.06446776611694152	32768.0	26.982159406418212	294.0	-8.963414634146343	377895.2331542969	1.2382871E7	313.0	-4.329268292682928	142.0	-9.542682926829269	2615.0	3831.5018315018315	6.00956937799043	-2512.0	888.0	-7.282296650717703	4750992.0	97.92268937442428	3044.0	2.124401913875598	
2646.0	4.184782608695652	-4.271739130434782	1868.0	1564.0	7.489130434782608	93.0	-0.1394302848575712	-43.0	0.2638680659670165	117.1875	176.0	0.06446776611694152	32768.0	26.982159406418212	109.0	-3.3231707317073176	377904.9987792969	1.2383191E7	-337.0	5.76219512195122	-189.0	10.27439024390244	2599.0	3808.0586080586077	5.85645933014354	-2448.0	1048.0	-7.253588516746412	4751904.0	97.91349962359236	3032.0	2.5071770334928227	
2636.0	4.619565217391305	-4.163043478260869	1828.0	1588.0	7.228260869565217	99.0	-0.14842578710644677	-48.0	0.2638680659670165	126.953125	176.0	0.07196401799100449	32768.0	26.982159406418212	-148.0	4.51219512195122	377914.7644042969	1.2383511E7	-1130.0	14.451219512195124	-474.0	34.451219512195124	2619.0	3837.3626373626375	5.5311004784688995	-2312.0	1284.0	-7.148325358851674	4751904.0	97.91349962359236	2988.0	3.0717703349282295	
2648.0	4.739130434782608	-4.293478260869565	1817.0	1590.0	7.206521739130435	95.0	-0.1424287856071964	-46.0	0.2638680659670165	136.71875	176.0	0.06896551724137931	32768.0	26.982159406418212	-333.0	10.152439024390246	377924.5300292969	1.2383831E7	-1841.0	13.29268292682927	-436.0	56.12804878048781	2627.0	3849.084249084249	5.253588516746412	-2196.0	1364.0	-7.244019138755981	4751904.0	97.91349962359236	3028.0	3.263157894736842	
2632.0	4.304347826086956	-4.119565217391305	1857.0	1574.0	7.380434782608695	92.0	-0.13793103448275862	-44.0	0.2623688155922039	146.484375	175.0	0.06596701649175413	32768.0	26.982159406418212	-407.0	12.408536585365855	377934.2956542969	1.2384151E7	-1954.0	9.725609756097562	-319.0	59.57317073170732	2610.0	3824.1758241758243	5.483253588516746	-2292.0	1248.0	-7.043062200956937	4751904.0	97.91349962359236	2944.0	2.985645933014354	
2611.0	3.608695652173913	-3.891304347826087	1921.0	1547.0	7.673913043478261	94.0	-0.1409295352323838	-42.0	0.27136431784107945	156.25	181.0	0.06296851574212893	32768.0	26.982159406418212	-312.0	9.51219512195122	377944.0612792969	1.2384471E7	-1293.0	6.00609756097561	-197.0	39.420731707317074	2626.0	3847.6190476190477	5.760765550239234	-2408.0	908.0	-6.717703349282297	4751904.0	97.91349962359236	2808.0	2.172248803827751	
2586.0	2.5760869565217392	-3.619565217391304	2016.0	1524.0	7.923913043478261	97.0	-0.1454272863568216	-41.0	0.27436281859070466	166.015625	183.0	0.06146926536731634	32768.0	26.982159406418212	70.0	-2.1341463414634148	377953.8269042969	1.2384791E7	-160.0	-0.9756097560975611	32.0	4.878048780487806	2600.0	3809.523809523809	6.105263157894736	-2552.0	444.0	-6.3349282296650715	4752608.0	97.90640580076126	2648.0	1.062200956937799	
2590.0	2.75	-3.6630434782608696	2000.0	1510.0	8.076086956521738	93.0	-0.1394302848575712	-42.0	0.27586206896551724	175.78125	184.0	0.06296851574212893	32768.0	26.982159406418212	332.0	-10.121951219512196	377963.5925292969	1.2385111E7	903.0	-6.52439024390244	214.0	-27.530487804878053	2608.0	3821.2454212454213	6.392344497607655	-2672.0	444.0	-6.526315789473684	4752608.0	97.90640580076126	2728.0	1.062200956937799	
2592.0	3.4130434782608696	-3.684782608695652	1939.0	1501.0	8.17391304347826	99.0	-0.14842578710644677	-45.0	0.272863568215892	185.546875	182.0	0.06746626686656672	32768.0	26.982159406418212	453.0	-13.810975609756099	377973.3581542969	1.2385431E7	1342.0	-5.823170731707318	191.0	-40.91463414634147	2612.0	3827.1062271062274	6.411483253588517	-2680.0	804.0	-6.688995215311005	4752608.0	97.90640580076126	2796.0	1.9234449760765548	
2615.0	3.6956521739130435	-3.934782608695652	1913.0	1502.0	8.16304347826087	97.0	-0.1454272863568216	-40.0	0.26836581709145424	195.3125	179.0	0.05997001499250375	32768.0	26.982159406418212	489.0	-14.908536585365855	377983.1237792969	1.2385751E7	1408.0	-5.0304878048780495	165.0	-42.926829268292686	2605.0	3816.849816849817	6.401913875598086	-2676.0	912.0	-6.77511961722488	4752608.0	97.90640580076126	2832.0	2.1818181818181817	
2605.0	3.8043478260869565	-3.8260869565217392	1903.0	1509.0	8.08695652173913	95.0	-0.1424287856071964	-43.0	0.272863568215892	205.078125	182.0	0.06446776611694152	32768.0	26.982159406418212	463.0	-14.115853658536587	377992.8894042969	1.2386071E7	1261.0	-4.176829268292684	137.0	-38.44512195121951	2616.0	3832.967032967033	6.287081339712919	-2628.0	964.0	-6.899521531100478	4752608.0	97.90640580076126	2884.0	2.3062200956937797	
2616.0	4.130434782608695	-3.9456521739130435	1873.0	1493.0	8.26086956521739	98.0	-0.14692653673163417	-45.0	0.2653673163418291	214.84375	177.0	0.06746626686656672	32768.0	26.982159406418212	358.0	-10.914634146341465	378002.6550292969	1.2386391E7	983.0	-1.9512195121951221	64.0	-29.969512195121954	2626.0	3847.6190476190477	6.449760765550239	-2696.0	1096.0	-6.880382775119617	4752976.0	97.90269767300573	2876.0	2.6220095693779903	
2597.0	3.891304347826087	-3.7391304347826084	1895.0	1493.0	8.26086956521739	92.0	-0.13793103448275862	-43.0	0.2653673163418291	224.609375	177.0	0.06446776611694152	32768.0	26.982159406418212	224.0	-6.829268292682928	378012.4206542969	1.2386711E7	675.0	0.39634146341463417	-13.0	-20.57926829268293	2608.0	3821.2454212454213	6.45933014354067	-2700.0	988.0	-6.583732057416268	4752976.0	97.90269767300573	2752.0	2.3636363636363638	
2596.0	3.684782608695652	-3.7282608695652173	1914.0	1493.0	8.26086956521739	97.0	-0.1454272863568216	-44.0	0.2563718140929535	234.375	171.0	0.06596701649175413	32768.0	26.982159406418212	175.0	-5.335365853658537	378022.1862792969	1.2387031E7	433.0	4.634146341463415	-152.0	-13.201219512195124	2617.0	3834.4322344322345	6.526315789473684	-2728.0	880.0	-6.516746411483253	4752976.0	97.90269767300573	2724.0	2.1052631578947367	
2587.0	3.5543478260869565	-3.6304347826086953	1926.0	1497.0	8.217391304347826	97.0	-0.1454272863568216	-43.0	0.25037481259370314	244.140625	167.0	0.06446776611694152	32768.0	26.982159406418212	144.0	-4.390243902439025	378031.9519042969	1.2387351E7	261.0	10.24390243902439	-336.0	-7.957317073170732	2604.0	3815.3846153846157	6.507177033492822	-2720.0	848.0	-6.488038277511961	4752976.0	97.90269767300573	2712.0	2.028708133971292	
2596.0	3.608695652173913	-3.7282608695652173	1921.0	1511.0	8.065217391304348	95.0	-0.1424287856071964	-42.0	0.2578710644677661	253.90625	172.0	0.06296851574212893	32768.0	26.982159406418212	109.0	-3.3231707317073176	378041.7175292969	1.2387671E7	186.0	16.615853658536587	-545.0	-5.670731707317073	2610.0	3824.1758241758243	6.315789473684211	-2640.0	860.0	-6.641148325358851	4752976.0	97.90269767300573	2776.0	2.0574162679425836	
2582.0	3.543478260869565	-3.5760869565217392	1927.0	1515.0	8.021739130434783	98.0	-0.14692653673163417	-44.0	0.2593703148425787	263.671875	173.0	0.06596701649175413	32768.0	26.982159406418212	114.0	-3.4756097560975614	378051.4831542969	1.2387991E7	252.0	20.396341463414636	-669.0	-7.682926829268293	2608.0	3821.2454212454213	6.30622009569378	-2636.0	836.0	-6.650717703349282	4753536.0	97.89705487899722	2780.0	2.0	
2599.0	3.717391304347826	-3.760869565217391	1911.0	1536.0	7.793478260869565	98.0	-0.14692653673163417	-43.0	0.25337331334332835	273.4375	169.0	0.06446776611694152	32768.0	26.982159406418212	107.0	-3.26219512195122	378061.2487792969	1.2388311E7	455.0	23.8109756097561	-781.0	-13.871951219512196	2601.0	3810.9890109890107	6.114832535885167	-2556.0	920.0	-6.63157894736842	4753536.0	97.89705487899722	2772.0	2.200956937799043	
2599.0	3.902173913043478	-3.760869565217391	1894.0	1540.0	7.75	100.0	-0.14992503748125938	-38.0	0.2638680659670165	283.203125	176.0	0.05697151424287856	32768.0	26.982159406418212	153.0	-4.664634146341464	378071.0144042969	1.2388631E7	672.0	23.170731707317074	-760.0	-20.48780487804878	2615.0	3831.5018315018315	5.885167464114832	-2460.0	980.0	-6.698564593301435	4753536.0	97.89705487899722	2800.0	2.3444976076555024	
2593.0	4.434782608695652	-3.6956521739130435	1845.0	1509.0	8.08695652173913	100.0	-0.14992503748125938	-41.0	0.2578710644677661	292.96875	172.0	0.06146926536731634	32768.0	26.982159406418212	273.0	-8.323170731707318	378080.7800292969	1.2388951E7	536.0	9.603658536585368	-315.0	-16.34146341463415	2625.0	3846.153846153846	6.143540669856459	-2568.0	1192.0	-6.5933014354066986	4753536.0	97.89705487899722	2756.0	2.851674641148325	
